date,北向净流入,北向买入,北向卖出,南向净流入,南向买入,南向卖出
2015-04-15,11.72,57.14,53.02,15.0,35.06,31.32
2015-04-16,-54.63,152.84,65.47,-24.62,44.57,19.65
2015-04-17,-55.68,131.4,-0.24,-28.59,70.01,56.89
2015-04-20,94.25,96.86,83.03,-31.44,62.46,105.1
2015-04-21,28.14,137.11,168.75,-37.2,25.81,20.93
2015-04-22,-52.67,150.0,112.85,7.85,84.81,77.32
2015-04-23,90.0,162.59,198.35,28.67,82.57,84.43
2015-04-24,-21.16,78.82,51.87,31.94,45.66,103.4
2015-04-27,-48.72,14.17,113.56,-1.01,66.18,80.66
2015-04-28,-44.12,76.73,113.82,60.6,71.13,20.69
2015-04-29,-33.67,83.14,63.64,-14.77,49.53,11.97
2015-04-30,27.83,48.49,83.87,6.21,17.72,90.29
2015-05-01,-3.43,69.89,90.16,-19.46,70.18,107.59
2015-05-04,12.0,88.34,105.07,-0.71,53.52,68.21
2015-05-05,-27.19,18.87,49.85,52.03,69.43,32.18
2015-05-06,30.81,181.74,96.77,28.92,-17.53,48.82
2015-05-07,-41.55,216.87,115.83,-42.89,26.71,63.07
2015-05-08,17.25,82.24,195.81,-49.68,64.58,-17.18
2015-05-11,-58.68,150.4,155.91,-10.33,60.69,54.02
2015-05-12,54.96,109.13,183.4,-9.6,63.16,41.71
2015-05-13,36.33,56.66,75.17,-8.29,15.96,66.45
2015-05-14,-13.42,99.63,16.73,-38.98,66.9,-12.05
2015-05-15,9.91,39.95,78.55,-64.2,-6.29,56.63
2015-05-18,-30.58,232.95,131.27,19.57,85.37,83.9
2015-05-19,-21.75,60.66,110.78,-21.17,29.33,79.83
2015-05-20,11.91,49.6,120.91,-42.03,76.12,29.31
2015-05-21,54.91,89.92,158.26,19.53,66.59,33.07
2015-05-22,-88.85,90.79,193.17,0.86,51.3,101.95
2015-05-25,-17.61,125.28,110.92,-44.52,45.72,13.19
2015-05-26,38.98,155.81,74.44,17.84,24.4,49.73
2015-05-27,-61.37,109.58,71.13,-0.52,66.98,41.97
2015-05-28,-68.19,91.93,17.97,16.91,109.54,32.98
2015-05-29,52.86,44.11,88.08,13.23,62.18,7.99
2015-06-01,-23.63,140.92,60.77,2.15,56.11,65.67
2015-06-02,99.65,23.4,135.48,-15.68,40.25,98.43
2015-06-03,45.66,37.69,41.41,-4.37,64.97,33.07
2015-06-04,6.92,72.83,123.59,-29.23,52.55,78.89
2015-06-05,-4.09,166.99,76.62,30.1,60.22,22.71
2015-06-08,-4.89,57.6,102.1,0.4,31.8,40.3
2015-06-09,-10.92,128.05,163.37,-17.69,45.13,68.28
2015-06-10,-21.8,92.85,97.12,26.9,-17.33,41.62
2015-06-11,-71.6,116.92,76.4,-19.06,66.3,23.55
2015-06-12,-25.21,214.89,77.03,-26.97,73.71,42.73
2015-06-15,17.89,36.27,139.85,-44.19,45.08,22.84
2015-06-16,-54.52,41.34,67.76,9.68,42.48,51.85
2015-06-17,-59.61,141.1,160.59,29.92,58.2,119.27
2015-06-18,-38.52,94.49,110.51,-25.34,-6.55,39.13
2015-06-19,87.56,135.74,87.6,25.36,70.12,0.99
2015-06-22,73.17,169.35,120.25,20.63,29.0,0.79
2015-06-23,32.5,34.78,82.26,0.35,26.7,5.55
2015-06-24,-28.22,100.88,167.76,36.68,9.12,27.66
2015-06-25,51.96,83.31,211.58,-24.81,0.17,37.79
2015-06-26,-92.53,59.16,-2.81,35.76,90.08,66.34
2015-06-29,37.7,5.36,21.98,24.67,66.41,30.71
2015-06-30,7.39,142.9,126.95,28.29,74.68,65.68
2015-07-01,120.33,126.1,124.22,2.48,46.23,30.65
2015-07-02,33.93,107.96,82.33,-7.92,49.98,76.18
2015-07-03,-22.41,140.8,115.47,5.65,-2.65,79.6
2015-07-06,13.11,105.48,74.76,12.46,58.74,24.64
2015-07-07,-38.04,126.83,117.08,10.36,53.68,56.71
2015-07-08,23.09,152.73,161.41,-3.87,108.05,93.95
2015-07-09,-22.8,108.39,218.45,15.93,73.01,51.32
2015-07-10,39.49,126.41,84.24,-4.34,95.67,23.97
2015-07-13,51.19,76.85,56.12,-9.32,66.62,92.81
2015-07-14,-59.17,97.46,202.12,39.56,30.86,-1.54
2015-07-15,75.11,42.15,200.67,15.4,-8.56,39.85
2015-07-16,-142.78,28.64,109.47,-4.73,13.5,74.86
2015-07-17,-67.28,93.88,193.57,-43.33,82.49,74.82
2015-07-20,41.25,163.75,162.36,-39.41,-1.34,85.31
2015-07-21,41.46,7.21,109.67,48.59,-5.7,20.48
2015-07-22,101.21,42.04,209.74,37.29,85.22,-2.1
2015-07-23,-11.56,6.18,146.32,-7.08,51.26,37.8
2015-07-24,-4.26,59.15,-35.7,-9.81,45.57,22.88
2015-07-27,43.57,167.97,146.88,1.43,61.59,31.89
2015-07-28,-30.56,146.86,152.72,-8.01,-19.55,110.52
2015-07-29,28.37,143.26,137.38,-33.42,57.52,-31.24
2015-07-30,-30.9,98.7,15.47,18.06,36.28,26.46
2015-07-31,-22.1,125.07,25.6,76.8,1.0,55.11
2015-08-03,45.51,125.43,152.77,-10.11,52.18,100.32
2015-08-04,29.99,103.77,8.05,-60.01,51.16,46.39
2015-08-05,-46.01,172.46,95.67,16.21,51.6,105.16
2015-08-06,72.17,41.55,49.68,-13.55,71.7,58.39
2015-08-07,-74.62,93.88,40.97,-22.51,39.03,65.27
2015-08-10,22.06,112.72,90.03,7.95,39.0,14.82
2015-08-11,40.21,25.38,157.2,7.91,85.46,59.94
2015-08-12,-23.76,93.65,151.17,51.75,51.22,41.63
2015-08-13,-64.35,61.11,125.25,-21.4,54.31,47.52
2015-08-14,-52.43,158.94,132.86,-19.05,91.77,76.21
2015-08-17,10.51,75.13,70.26,-17.91,90.22,42.42
2015-08-18,93.62,45.68,43.1,-64.34,29.15,75.37
2015-08-19,-12.42,90.88,218.79,77.83,86.24,111.33
2015-08-20,-98.2,140.36,156.28,-82.25,0.82,34.5
2015-08-21,-28.21,103.2,146.62,-24.39,19.86,44.56
2015-08-24,-89.84,176.74,93.05,-24.21,65.14,38.08
2015-08-25,68.14,72.55,82.24,15.8,75.66,73.46
2015-08-26,28.87,1.07,65.62,-11.42,59.07,65.99
2015-08-27,25.71,109.0,64.27,41.3,49.5,28.09
2015-08-28,-109.84,82.0,53.98,22.61,0.12,21.19
2015-08-31,-85.62,115.69,125.58,-0.06,11.18,59.09
2015-09-01,-65.09,152.46,134.64,-91.91,56.68,11.35
2015-09-02,-13.95,110.65,-10.86,-32.31,25.72,91.0
2015-09-03,-13.62,92.18,102.01,23.72,17.51,60.85
2015-09-04,-31.57,68.98,160.53,16.42,69.81,89.36
2015-09-07,49.98,56.49,148.62,-8.85,93.47,19.46
2015-09-08,-59.0,87.62,48.72,30.59,57.46,-7.18
2015-09-09,58.1,141.51,88.35,-13.3,15.87,40.57
2015-09-10,29.43,191.13,101.93,6.72,37.62,49.08
2015-09-11,-49.83,128.62,-0.76,-25.09,84.67,76.15
2015-09-14,-22.48,165.32,73.2,23.89,151.96,40.61
2015-09-15,99.03,140.47,129.1,-21.04,87.12,75.24
2015-09-16,20.09,130.96,134.58,-7.46,66.91,21.16
2015-09-17,-64.96,-1.85,70.19,0.37,86.75,50.23
2015-09-18,-7.51,87.31,117.56,-15.31,78.04,40.95
2015-09-21,-19.75,86.99,173.85,9.19,16.98,67.79
2015-09-22,34.96,77.06,124.21,82.81,76.92,31.9
2015-09-23,-36.37,68.14,41.46,0.09,110.37,38.56
2015-09-24,41.99,51.71,46.64,-12.47,51.34,29.32
2015-09-25,-17.61,109.47,133.51,8.37,70.1,24.35
2015-09-28,-32.51,118.18,139.55,-31.21,46.71,68.34
2015-09-29,53.94,90.75,63.21,21.18,44.19,103.65
2015-09-30,17.4,136.25,102.41,-27.64,26.01,39.01
2015-10-01,-91.95,209.75,115.91,25.2,37.77,10.13
2015-10-02,7.72,118.61,164.76,3.96,37.74,82.93
2015-10-05,-1.27,98.73,97.23,21.56,3.3,69.58
2015-10-06,16.83,57.21,105.99,6.56,75.04,37.31
2015-10-07,60.66,60.51,72.52,8.31,46.41,69.21
2015-10-08,-77.97,158.32,148.09,33.71,22.14,39.08
2015-10-09,32.1,117.7,73.0,7.0,37.98,67.0
2015-10-12,-19.88,26.36,122.16,61.57,63.2,49.07
2015-10-13,42.38,115.94,94.93,1.22,32.76,51.01
2015-10-14,-47.41,28.62,140.8,31.11,20.09,0.62
2015-10-15,10.54,44.57,145.67,-5.69,43.87,13.48
2015-10-16,79.34,153.13,52.28,32.91,39.68,44.25
2015-10-19,-1.43,128.74,163.31,-14.93,78.59,30.05
2015-10-20,40.68,128.4,42.46,7.97,46.02,113.77
2015-10-21,-134.33,0.11,88.05,-22.58,48.06,64.69
2015-10-22,-60.26,131.34,94.68,46.74,98.82,37.38
2015-10-23,-55.45,161.43,143.65,-7.64,54.2,-10.92
2015-10-26,-15.63,63.48,109.35,1.48,62.84,33.53
2015-10-27,-13.38,133.83,165.15,9.45,38.03,60.87
2015-10-28,34.93,54.9,94.03,-20.05,70.01,39.96
2015-10-29,-59.54,83.35,72.56,-13.34,63.77,56.41
2015-10-30,100.24,94.5,88.65,12.74,49.15,-12.92
2015-11-02,104.99,35.58,176.49,22.26,34.44,93.87
2015-11-03,-34.33,42.79,193.3,-15.96,73.76,7.75
2015-11-04,39.15,139.52,148.88,-9.25,88.77,76.26
2015-11-05,99.2,36.35,141.54,37.25,68.06,69.57
2015-11-06,-16.05,99.02,72.27,18.64,42.12,72.37
2015-11-09,14.22,105.01,98.67,-0.74,40.13,30.88
2015-11-10,58.97,129.44,4.3,-0.19,-8.63,39.28
2015-11-11,64.33,107.3,159.7,95.24,97.74,27.01
2015-11-12,15.75,29.31,74.76,32.11,53.01,17.81
2015-11-13,-2.48,118.4,54.54,-24.07,35.56,13.93
2015-11-16,30.77,31.77,29.65,-31.79,-19.69,19.61
2015-11-17,-2.09,141.48,82.89,82.19,15.88,-0.48
2015-11-18,61.19,12.39,135.74,-34.28,38.5,12.66
2015-11-19,-6.95,83.69,76.53,-28.14,92.53,21.09
2015-11-20,-16.42,59.93,99.04,70.16,7.41,69.33
2015-11-23,-40.39,33.37,114.66,-0.4,49.74,83.8
2015-11-24,94.35,48.55,133.03,36.69,53.2,35.74
2015-11-25,-20.47,22.67,81.89,-26.02,46.27,85.45
2015-11-26,-63.48,35.72,82.86,12.18,23.99,69.52
2015-11-27,31.02,21.26,62.53,6.19,63.88,41.32
2015-11-30,-26.67,106.85,48.6,4.2,65.45,24.48
2015-12-01,33.84,26.26,39.76,2.57,34.68,74.61
2015-12-02,-4.45,45.83,62.88,-5.12,50.62,10.5
2015-12-03,4.3,193.84,79.01,-3.87,51.33,43.42
2015-12-04,2.39,161.39,133.84,30.43,111.67,88.42
2015-12-07,17.61,84.14,39.83,14.51,56.08,39.67
2015-12-08,-7.54,82.61,227.45,-7.19,66.18,71.42
2015-12-09,-44.24,173.28,57.4,0.0,113.27,25.48
2015-12-10,14.2,69.92,2.88,26.95,26.42,26.64
2015-12-11,25.81,84.53,58.55,13.1,-2.55,67.72
2015-12-14,-84.62,153.24,60.62,-5.64,30.55,58.55
2015-12-15,-20.93,13.76,121.98,3.65,53.73,85.99
2015-12-16,15.42,154.35,120.64,-8.21,37.29,-2.85
2015-12-17,39.85,43.9,82.81,69.01,97.06,11.06
2015-12-18,88.95,46.73,46.86,-46.6,21.66,52.62
2015-12-21,49.21,97.76,50.28,-21.18,5.68,14.78
2015-12-22,38.45,132.79,107.21,24.55,82.36,44.03
2015-12-23,5.57,142.3,72.26,59.91,93.91,93.46
2015-12-24,19.49,-25.53,17.66,1.72,45.47,125.53
2015-12-25,-2.37,91.68,131.52,-72.04,20.18,70.96
2015-12-28,32.48,125.88,33.83,17.71,93.58,46.81
2015-12-29,-103.87,118.05,75.93,33.56,88.97,21.31
2015-12-30,-6.21,117.22,97.75,14.0,15.96,83.52
2015-12-31,87.0,94.84,192.14,38.36,85.5,-3.33
2016-01-01,-29.32,169.57,100.54,-10.93,18.98,58.19
2016-01-04,-71.03,94.65,65.09,1.48,75.4,15.49
2016-01-05,-29.64,82.22,99.21,14.66,31.36,67.61
2016-01-06,-6.44,180.51,36.22,27.54,68.66,5.86
2016-01-07,52.58,113.95,85.25,43.6,52.32,23.83
2016-01-08,-100.49,164.25,113.09,-35.8,38.3,57.02
2016-01-11,-13.4,120.68,98.1,35.13,52.81,43.1
2016-01-12,64.12,124.29,147.09,-15.35,35.33,37.61
2016-01-13,21.15,141.39,160.8,21.57,63.53,42.65
2016-01-14,-42.54,-53.93,121.05,-6.56,44.98,99.09
2016-01-15,66.1,129.72,152.52,47.61,56.68,10.29
2016-01-18,5.37,86.07,115.12,24.6,70.46,25.67
2016-01-19,-4.98,171.72,116.99,-0.63,-17.67,31.99
2016-01-20,3.78,-6.84,-12.43,8.84,41.11,20.97
2016-01-21,-25.23,82.77,143.02,13.58,44.6,34.0
2016-01-22,49.93,60.16,169.36,0.45,102.01,53.72
2016-01-25,58.69,197.97,108.49,40.54,16.08,36.51
2016-01-26,12.72,198.49,31.43,0.33,56.66,61.45
2016-01-27,38.8,-13.27,76.97,-20.17,46.29,39.17
2016-01-28,3.97,121.16,158.15,14.81,78.43,-27.76
2016-01-29,-14.99,166.84,123.16,40.72,115.08,15.68
2016-02-01,8.18,157.85,105.16,3.46,112.55,7.97
2016-02-02,-15.88,62.88,59.7,51.51,56.72,129.25
2016-02-03,-1.45,158.57,167.86,30.64,39.28,38.35
2016-02-04,-5.02,41.71,80.41,-61.83,44.85,40.81
2016-02-05,76.34,180.42,30.8,15.41,86.15,54.77
2016-02-08,-82.41,177.63,65.68,-18.69,35.4,34.11
2016-02-09,-20.25,37.77,105.46,49.68,63.74,72.99
2016-02-10,38.59,51.01,176.58,-19.64,38.72,21.3
2016-02-11,-34.75,194.57,71.44,-12.96,108.42,103.25
2016-02-12,-9.14,164.52,125.93,39.2,61.88,44.83
2016-02-15,1.1,107.73,111.42,-15.99,66.86,29.67
2016-02-16,-5.82,152.85,104.12,-9.5,101.66,70.7
2016-02-17,7.4,12.57,27.37,30.24,86.09,21.37
2016-02-18,-39.6,130.03,96.71,-0.03,44.89,25.08
2016-02-19,-24.39,66.02,114.16,-13.13,63.97,9.73
2016-02-22,-54.86,112.13,-15.76,-17.14,90.24,19.11
2016-02-23,-21.25,150.58,113.96,9.72,65.98,75.69
2016-02-24,-42.55,83.98,127.66,15.99,38.52,84.44
2016-02-25,-83.43,142.73,144.91,-12.57,25.95,20.46
2016-02-26,-8.95,54.16,112.16,7.55,53.71,15.53
2016-02-29,1.14,101.54,95.94,-52.15,52.37,26.4
2016-03-01,8.04,136.92,153.93,1.86,45.55,17.48
2016-03-02,1.68,109.07,152.37,32.96,22.15,59.29
2016-03-03,35.91,76.41,43.9,-61.33,2.65,-3.75
2016-03-04,13.58,112.61,133.01,-9.15,57.87,54.76
2016-03-07,5.46,66.05,104.36,47.2,29.41,88.12
2016-03-08,53.1,124.17,42.15,-54.13,6.91,103.14
2016-03-09,4.18,89.42,80.73,-1.23,50.61,11.53
2016-03-10,-43.04,176.39,114.6,-18.96,61.96,30.93
2016-03-11,37.74,127.62,91.48,23.85,41.58,12.29
2016-03-14,3.77,149.16,48.05,-2.74,79.06,70.53
2016-03-15,-82.43,75.65,116.4,20.36,47.12,17.7
2016-03-16,-23.04,172.13,61.93,-26.41,74.71,46.41
2016-03-17,-54.76,145.59,142.94,33.59,50.24,64.63
2016-03-18,16.58,187.14,68.31,-17.84,76.28,35.09
2016-03-21,-15.66,97.01,130.57,4.25,78.82,52.42
2016-03-22,-100.57,42.09,114.4,-0.72,90.66,48.05
2016-03-23,-59.31,112.65,79.34,-18.22,50.0,53.21
2016-03-24,58.34,64.09,118.48,8.38,66.93,-21.5
2016-03-25,-4.49,107.12,188.57,12.69,50.72,39.03
2016-03-28,2.21,155.3,-0.41,18.62,54.76,-32.6
2016-03-29,-20.21,101.67,53.52,37.14,37.66,12.93
2016-03-30,-1.41,132.63,113.24,-4.04,44.57,61.73
2016-03-31,52.17,105.6,130.59,43.7,54.96,6.58
2016-04-01,13.08,94.67,119.96,-16.8,47.68,36.41
2016-04-04,-23.7,143.18,115.86,-46.99,33.01,18.64
2016-04-05,-2.35,87.2,48.94,40.29,60.84,96.64
2016-04-06,71.38,185.0,73.41,-55.35,91.51,9.65
2016-04-07,23.03,93.01,170.62,8.87,81.68,23.57
2016-04-08,-12.32,98.02,-5.28,7.89,41.35,55.3
2016-04-11,72.86,-9.17,117.12,-43.44,105.15,18.0
2016-04-12,-60.78,18.46,163.86,-11.46,74.04,51.15
2016-04-13,-119.72,110.16,115.82,-33.35,54.66,84.51
2016-04-14,-18.52,91.73,100.16,8.21,11.94,98.47
2016-04-15,5.35,109.41,151.71,-3.71,48.3,30.22
2016-04-18,12.21,159.56,125.47,21.71,37.06,70.34
2016-04-19,-77.02,-2.74,175.3,-5.18,52.77,80.8
2016-04-20,-5.56,125.72,106.47,69.31,35.52,46.6
2016-04-21,-25.92,-2.29,28.03,99.87,0.47,94.09
2016-04-22,50.67,55.08,64.82,-2.0,51.43,45.46
2016-04-25,47.04,83.16,61.85,-19.37,43.45,31.05
2016-04-26,3.61,149.38,106.59,-21.68,43.07,20.3
2016-04-27,-49.79,43.38,137.02,-26.1,47.51,98.57
2016-04-28,19.37,156.29,99.87,11.33,46.76,52.21
2016-04-29,1.03,97.5,127.02,-45.55,54.44,59.91
2016-05-02,-3.07,135.37,81.55,28.81,51.33,50.79
2016-05-03,7.64,149.86,117.09,-70.67,35.45,34.67
2016-05-04,50.33,98.07,53.49,6.8,11.11,31.8
2016-05-05,-47.22,-48.35,66.09,-16.56,79.62,63.27
2016-05-06,-68.55,153.04,146.04,40.12,26.87,71.66
2016-05-09,9.77,90.31,103.39,51.01,5.56,38.08
2016-05-10,25.63,161.12,118.3,-6.3,35.78,28.17
2016-05-11,2.18,71.87,182.18,57.77,70.62,35.57
2016-05-12,-88.64,66.47,43.97,37.63,55.38,20.49
2016-05-13,-13.57,110.59,79.55,-5.58,29.47,29.51
2016-05-16,-32.44,134.58,133.69,21.24,95.39,8.53
2016-05-17,-3.5,121.98,180.49,62.07,50.0,52.7
2016-05-18,3.36,102.48,213.91,9.47,43.41,35.2
2016-05-19,-57.84,118.42,72.42,16.96,42.59,62.35
2016-05-20,-31.03,45.36,124.4,2.32,42.16,111.63
2016-05-23,-49.55,17.52,160.54,9.58,12.8,74.57
2016-05-24,-18.91,12.32,60.0,-6.67,30.36,79.94
2016-05-25,44.18,-8.2,130.42,14.04,67.09,50.94
2016-05-26,-60.29,121.3,128.04,-12.67,30.93,11.64
2016-05-27,15.16,102.34,87.63,46.87,61.42,28.46
2016-05-30,8.62,130.24,62.93,15.0,68.98,77.41
2016-05-31,-51.24,109.97,143.64,-39.95,13.8,50.43
2016-06-01,38.67,201.51,64.42,14.79,40.39,34.26
2016-06-02,-129.55,47.3,209.18,4.06,79.51,65.87
2016-06-03,86.1,59.51,63.91,-6.62,87.17,6.78
2016-06-06,58.6,8.38,57.15,49.51,4.03,25.56
2016-06-07,-18.48,211.17,259.9,-14.96,85.85,70.95
2016-06-08,-56.76,155.75,123.41,-26.26,70.26,99.52
2016-06-09,-45.58,50.08,101.34,-51.7,42.3,82.88
2016-06-10,-63.41,11.66,47.4,-10.37,86.35,100.94
2016-06-13,83.98,-12.86,65.9,-13.2,48.08,30.19
2016-06-14,-65.68,68.74,90.57,37.77,59.46,12.14
2016-06-15,13.82,195.1,68.33,-34.31,59.4,46.49
2016-06-16,-79.6,167.48,115.02,25.35,37.45,27.22
2016-06-17,-2.56,92.6,45.13,34.5,40.78,69.1
2016-06-20,20.48,45.79,44.64,-0.47,70.56,10.42
2016-06-21,-24.02,169.32,68.7,-20.28,7.71,17.58
2016-06-22,54.2,103.09,88.95,18.62,56.52,45.67
2016-06-23,-5.17,165.59,15.05,46.79,57.16,108.32
2016-06-24,29.88,120.4,144.01,7.75,96.09,51.52
2016-06-27,-9.69,117.12,56.73,-13.98,8.02,34.71
2016-06-28,-55.2,120.32,109.19,21.12,124.16,30.2
2016-06-29,-12.37,63.27,184.53,23.3,74.61,87.81
2016-06-30,19.0,141.37,33.76,26.96,56.1,45.47
2016-07-01,39.21,98.72,147.24,8.81,50.08,13.2
2016-07-04,-29.44,33.18,127.15,-16.12,55.32,-8.05
2016-07-05,-50.67,189.4,84.09,34.37,81.06,95.75
2016-07-06,-16.29,129.77,172.99,-6.71,21.07,6.61
2016-07-07,-36.56,51.49,65.38,44.34,18.28,12.0
2016-07-08,-10.08,166.2,60.32,8.15,93.07,27.49
2016-07-11,-25.73,81.96,75.06,25.28,94.21,69.31
2016-07-12,11.77,106.74,132.77,-0.12,63.78,58.6
2016-07-13,26.57,122.68,144.09,-20.09,52.03,86.5
