date,HIBOR_Overnight
2000-06-01,2.6108
2000-06-02,4.2624
2000-06-05,2.2737
2000-06-06,4.8408
2000-06-07,3.3867
2000-06-08,3.4006
2000-06-09,1.617
2000-06-12,4.1143
2000-06-13,0.8712
2000-06-14,1.9051
2000-06-15,2.6656
2000-06-16,3.8986
2000-06-19,2.4476
2000-06-20,1.8135
2000-06-21,1.4403
2000-06-22,3.8122
2000-06-23,3.6545
2000-06-26,3.3511
2000-06-27,4.9348
2000-06-28,4.878
2000-06-29,-0.358
2000-06-30,2.0249
2000-07-03,2.1947
2000-07-04,5.106
2000-07-05,1.7048
2000-07-06,0.3814
2000-07-07,2.1821
2000-07-10,0.9194
2000-07-11,1.2567
2000-07-12,3.2121
2000-07-13,2.8061
2000-07-14,6.0145
2000-07-17,2.4182
2000-07-18,5.209
2000-07-19,1.1947
2000-07-20,0.8989
2000-07-21,1.7244
2000-07-24,4.4614
2000-07-25,2.7815
2000-07-26,2.1064
2000-07-27,4.2366
2000-07-28,1.7207
2000-07-31,-0.2623
2000-08-01,4.3607
2000-08-02,1.2047
2000-08-03,2.3869
2000-08-04,1.1494
2000-08-07,2.5324
2000-08-08,4.0736
2000-08-09,-1.1961
2000-08-10,2.2083
2000-08-11,2.6941
2000-08-14,1.3576
2000-08-15,2.318
2000-08-16,5.0707
2000-08-17,4.2664
2000-08-18,3.6782
2000-08-21,2.3047
2000-08-22,3.8961
2000-08-23,4.3092
2000-08-24,4.8758
2000-08-25,2.498
2000-08-28,4.7207
2000-08-29,6.229
2000-08-30,6.4501
2000-08-31,2.2249
2000-09-01,5.1591
2000-09-04,3.9238
2000-09-05,3.2786
2000-09-06,2.2829
2000-09-07,4.4047
2000-09-08,3.5779
2000-09-11,5.5542
2000-09-12,4.713
2000-09-13,6.0023
2000-09-14,3.0654
2000-09-15,1.2291
2000-09-18,5.3596
2000-09-19,4.9191
2000-09-20,4.7122
2000-09-21,2.6567
2000-09-22,1.0802
2000-09-25,6.4
2000-09-26,4.5921
2000-09-27,3.2957
2000-09-28,2.3398
2000-09-29,6.0541
2000-10-02,2.7141
2000-10-03,2.7377
2000-10-04,1.1957
2000-10-05,2.8763
2000-10-06,1.4456
2000-10-09,3.9596
2000-10-10,4.508
2000-10-11,1.7047
2000-10-12,3.8835
2000-10-13,2.496
2000-10-16,4.4651
2000-10-17,2.9495
2000-10-18,5.0836
2000-10-19,1.3079
2000-10-20,2.8567
2000-10-23,5.2424
2000-10-24,0.3201
2000-10-25,1.978
2000-10-26,3.2179
2000-10-27,5.5497
2000-10-30,2.9558
2000-10-31,2.4967
2000-11-01,3.2161
2000-11-02,3.9894
2000-11-03,4.3631
2000-11-06,2.0597
2000-11-07,5.1378
2000-11-08,1.6132
2000-11-09,5.6673
2000-11-10,3.2639
2000-11-13,2.1246
2000-11-14,3.2112
2000-11-15,1.9162
2000-11-16,5.1121
2000-11-17,2.6716
2000-11-20,3.8617
2000-11-21,1.5969
2000-11-22,3.7847
2000-11-23,4.4424
2000-11-24,-0.0099
2000-11-27,3.8824
2000-11-28,4.5297
2000-11-29,0.735
2000-11-30,5.7733
2000-12-01,1.8376
2000-12-04,2.7372
2000-12-05,4.1758
2000-12-06,3.4123
2000-12-07,4.0635
2000-12-08,0.277
2000-12-11,4.7519
2000-12-12,5.269
2000-12-13,2.0213
2000-12-14,1.5722
2000-12-15,2.5564
2000-12-18,2.4102
2000-12-19,4.6736
2000-12-20,0.6617
2000-12-21,2.9229
2000-12-22,4.1772
2000-12-25,1.9208
2000-12-26,3.0637
2000-12-27,3.5185
2000-12-28,3.4505
2000-12-29,0.7445
2001-01-01,2.9955
2001-01-02,1.358
2001-01-03,3.6117
2001-01-04,1.5384
2001-01-05,1.6212
2001-01-08,3.6621
2001-01-09,4.5046
2001-01-10,2.342
2001-01-11,1.373
2001-01-12,2.9467
2001-01-15,2.6623
2001-01-16,1.501
2001-01-17,3.8837
2001-01-18,3.8972
2001-01-19,2.1216
2001-01-22,1.439
2001-01-23,2.6669
2001-01-24,1.5085
2001-01-25,2.6408
2001-01-26,4.7661
2001-01-29,3.4999
2001-01-30,3.3702
2001-01-31,3.1183
2001-02-01,4.0202
2001-02-02,1.5027
2001-02-05,2.8824
2001-02-06,5.3134
2001-02-07,2.8014
2001-02-08,3.7902
2001-02-09,1.4982
2001-02-12,4.4813
2001-02-13,3.3359
2001-02-14,2.8322
2001-02-15,3.8342
2001-02-16,3.3735
2001-02-19,4.4704
2001-02-20,6.4084
2001-02-21,1.8905
2001-02-22,4.2667
2001-02-23,3.6025
2001-02-26,2.8949
2001-02-27,2.0771
2001-02-28,1.3909
2001-03-01,0.9945
2001-03-02,1.7661
2001-03-05,2.2207
2001-03-06,3.7435
2001-03-07,3.0335
2001-03-08,1.6975
2001-03-09,4.6322
2001-03-12,3.0249
2001-03-13,3.1769
2001-03-14,4.805
2001-03-15,1.0179
2001-03-16,3.9287
2001-03-19,5.592
2001-03-20,2.3622
2001-03-21,1.6936
2001-03-22,5.2504
2001-03-23,3.341
2001-03-26,1.7479
2001-03-27,1.6576
2001-03-28,3.319
2001-03-29,4.9743
2001-03-30,4.7852
2001-04-02,3.5781
2001-04-03,4.3059
2001-04-04,3.8491
2001-04-05,3.5662
2001-04-06,1.225
2001-04-09,0.8483
2001-04-10,4.0854
2001-04-11,3.3417
2001-04-12,3.149
2001-04-13,4.6166
2001-04-16,3.6632
2001-04-17,1.2001
2001-04-18,4.9673
2001-04-19,1.6877
2001-04-20,0.9362
2001-04-23,0.863
2001-04-24,3.1175
2001-04-25,-0.1415
2001-04-26,1.0466
2001-04-27,-1.2215
2001-04-30,1.0992
2001-05-01,4.2447
2001-05-02,2.9786
2001-05-03,1.4902
2001-05-04,3.849
2001-05-07,2.9503
2001-05-08,5.3699
2001-05-09,4.6255
2001-05-10,2.8595
2001-05-11,4.7002
2001-05-14,3.8338
2001-05-15,5.1365
2001-05-16,6.9947
2001-05-17,2.3248
2001-05-18,1.9024
2001-05-21,1.7011
2001-05-22,2.9336
2001-05-23,1.5267
2001-05-24,1.9482
2001-05-25,5.812
2001-05-28,-0.3115
2001-05-29,2.9257
2001-05-30,3.2088
2001-05-31,6.8574
2001-06-01,0.717
2001-06-04,3.365
2001-06-05,3.825
2001-06-06,3.0196
2001-06-07,2.4299
2001-06-08,3.8162
2001-06-11,3.6446
2001-06-12,3.4034
2001-06-13,4.3361
2001-06-14,3.4198
2001-06-15,1.4858
2001-06-18,1.8751
2001-06-19,4.1464
2001-06-20,3.204
2001-06-21,3.4218
2001-06-22,5.244
2001-06-25,1.3776
2001-06-26,3.6853
2001-06-27,1.2957
2001-06-28,1.623
2001-06-29,3.6762
2001-07-02,3.5506
2001-07-03,1.7934
2001-07-04,1.2893
2001-07-05,-0.6635
2001-07-06,1.404
2001-07-09,4.1351
2001-07-10,2.4082
2001-07-11,4.7647
2001-07-12,2.1426
2001-07-13,1.6331
2001-07-16,2.5183
2001-07-17,3.0326
2001-07-18,-0.6643
2001-07-19,0.6119
2001-07-20,2.9073
2001-07-23,1.6403
2001-07-24,3.9382
2001-07-25,1.9736
2001-07-26,1.5897
2001-07-27,3.9853
2001-07-30,3.0263
2001-07-31,3.0343
2001-08-01,3.4668
2001-08-02,4.8131
2001-08-03,4.1155
2001-08-06,3.6101
2001-08-07,3.0598
2001-08-08,2.5139
2001-08-09,3.2575
2001-08-10,4.4662
2001-08-13,3.6496
2001-08-14,4.4177
2001-08-15,5.5333
2001-08-16,5.4195
2001-08-17,2.4239
2001-08-20,2.5384
2001-08-21,2.2072
2001-08-22,4.2786
2001-08-23,4.2836
2001-08-24,4.9265
2001-08-27,2.8559
2001-08-28,3.0826
2001-08-29,2.7096
2001-08-30,5.6935
2001-08-31,2.9186
2001-09-03,4.6811
2001-09-04,1.5719
2001-09-05,3.6681
2001-09-06,3.4796
2001-09-07,3.0208
2001-09-10,1.4391
2001-09-11,2.2
2001-09-12,4.1523
2001-09-13,2.4692
2001-09-14,3.2444
2001-09-17,1.9908
2001-09-18,5.7277
2001-09-19,4.0324
2001-09-20,2.0751
2001-09-21,2.9105
2001-09-24,3.9737
2001-09-25,4.7741
2001-09-26,3.6253
2001-09-27,0.2708
2001-09-28,4.3606
2001-10-01,4.1452
2001-10-02,5.9858
2001-10-03,3.0448
2001-10-04,2.7572
2001-10-05,1.6201
2001-10-08,3.4685
2001-10-09,5.6581
2001-10-10,2.51
2001-10-11,2.383
2001-10-12,3.557
2001-10-15,4.6812
2001-10-16,6.518
2001-10-17,4.5547
2001-10-18,1.6899
2001-10-19,2.5431
2001-10-22,4.0719
2001-10-23,2.8719
2001-10-24,2.9388
2001-10-25,0.0794
2001-10-26,1.3625
2001-10-29,1.3166
2001-10-30,5.5503
2001-10-31,3.0215
2001-11-01,4.3871
2001-11-02,2.4985
2001-11-05,-1.2566
2001-11-06,2.2427
2001-11-07,3.1583
2001-11-08,3.5549
2001-11-09,3.7763
2001-11-12,1.5626
2001-11-13,1.945
2001-11-14,4.7349
2001-11-15,2.063
2001-11-16,2.0024
2001-11-19,4.6268
2001-11-20,-0.1907
2001-11-21,2.0585
2001-11-22,4.6433
2001-11-23,3.112
2001-11-26,3.4474
2001-11-27,3.9354
2001-11-28,3.4481
2001-11-29,2.6633
2001-11-30,2.9993
2001-12-03,1.8257
2001-12-04,2.0794
2001-12-05,2.3362
2001-12-06,1.9352
2001-12-07,4.5291
2001-12-10,4.4552
2001-12-11,2.5986
2001-12-12,3.5674
2001-12-13,3.724
2001-12-14,6.4222
2001-12-17,2.6474
2001-12-18,1.9861
2001-12-19,1.3041
2001-12-20,4.5357
2001-12-21,0.693
2001-12-24,2.8421
2001-12-25,2.1413
2001-12-26,1.7871
2001-12-27,4.1022
2001-12-28,2.7613
2001-12-31,1.7717
2002-01-01,2.145
2002-01-02,3.7137
2002-01-03,4.5196
2002-01-04,1.7636
2002-01-07,2.326
2002-01-08,2.4932
2002-01-09,2.0918
2002-01-10,2.8262
2002-01-11,4.1436
2002-01-14,1.7751
2002-01-15,3.7425
2002-01-16,0.1996
2002-01-17,3.0374
2002-01-18,4.1276
2002-01-21,1.4904
2002-01-22,4.713
2002-01-23,2.2846
2002-01-24,3.3679
2002-01-25,2.2011
2002-01-28,2.6976
2002-01-29,5.3827
2002-01-30,4.3959
2002-01-31,2.315
2002-02-01,4.1589
2002-02-04,0.5256
2002-02-05,1.8418
2002-02-06,0.7979
2002-02-07,3.9443
2002-02-08,1.822
2002-02-11,1.2122
2002-02-12,2.7694
2002-02-13,3.7958
2002-02-14,4.7071
2002-02-15,0.5598
2002-02-18,3.6036
2002-02-19,2.8617
2002-02-20,1.3185
2002-02-21,1.1661
2002-02-22,2.8996
2002-02-25,2.7732
2002-02-26,2.1361
2002-02-27,5.5702
2002-02-28,1.9642
2002-03-01,0.5121
2002-03-04,0.7074
2002-03-05,1.8608
2002-03-06,3.7084
2002-03-07,5.0887
2002-03-08,-0.1873
2002-03-11,1.431
2002-03-12,4.2376
2002-03-13,1.6154
2002-03-14,1.679
2002-03-15,3.3927
2002-03-18,3.3599
2002-03-19,3.7893
2002-03-20,2.8202
2002-03-21,1.0012
2002-03-22,4.2183
2002-03-25,1.2996
2002-03-26,3.5298
2002-03-27,-0.0502
2002-03-28,4.2723
2002-03-29,4.0515
2002-04-01,5.3388
2002-04-02,2.595
2002-04-03,2.5
2002-04-04,4.2203
2002-04-05,6.6185
2002-04-08,3.6759
2002-04-09,1.2748
2002-04-10,4.991
2002-04-11,5.3946
2002-04-12,2.3523
2002-04-15,2.8627
2002-04-16,3.8886
2002-04-17,4.1704
2002-04-18,3.2304
2002-04-19,2.9576
2002-04-22,1.01
2002-04-23,3.2122
2002-04-24,-0.1354
2002-04-25,1.9865
2002-04-26,0.7507
2002-04-29,-0.3184
2002-04-30,6.5183
2002-05-01,1.4102
2002-05-02,1.8236
2002-05-03,3.7479
2002-05-06,1.9282
2002-05-07,2.2512
2002-05-08,2.3858
2002-05-09,3.8021
2002-05-10,2.3243
2002-05-13,3.3755
2002-05-14,2.2656
2002-05-15,5.1016
2002-05-16,3.341
2002-05-17,4.0847
2002-05-20,2.8428
2002-05-21,4.6881
2002-05-22,3.138
2002-05-23,2.2937
2002-05-24,5.9881
2002-05-27,4.7124
2002-05-28,5.3144
2002-05-29,3.154
2002-05-30,3.9753
2002-05-31,2.7028
2002-06-03,5.4461
2002-06-04,1.206
2002-06-05,2.3355
2002-06-06,2.4674
2002-06-07,0.9513
2002-06-10,2.6029
2002-06-11,3.4486
2002-06-12,2.1708
2002-06-13,3.2349
2002-06-14,5.7087
2002-06-17,2.3819
2002-06-18,6.3526
2002-06-19,4.4016
2002-06-20,4.2953
2002-06-21,0.2182
2002-06-24,3.4748
2002-06-25,3.8193
2002-06-26,3.1421
2002-06-27,3.7368
2002-06-28,2.3021
2002-07-01,4.5942
2002-07-02,5.1628
2002-07-03,5.0985
2002-07-04,5.3976
2002-07-05,3.035
2002-07-08,0.9558
2002-07-09,1.9095
2002-07-10,2.4669
2002-07-11,6.3185
2002-07-12,1.8436
2002-07-15,2.7125
2002-07-16,1.6416
2002-07-17,3.4868
2002-07-18,1.7397
2002-07-19,1.0913
2002-07-22,2.7981
2002-07-23,2.0013
2002-07-24,2.5734
2002-07-25,1.5243
2002-07-26,3.8218
2002-07-29,3.1192
2002-07-30,4.957
2002-07-31,2.396
2002-08-01,2.885
2002-08-02,4.2353
2002-08-05,3.4534
2002-08-06,3.7323
2002-08-07,2.9515
2002-08-08,1.2827
2002-08-09,3.0036
2002-08-12,3.2563
2002-08-13,1.1469
2002-08-14,2.4853
2002-08-15,3.1115
2002-08-16,5.0265
2002-08-19,1.242
2002-08-20,1.0656
2002-08-21,5.4636
2002-08-22,4.0027
2002-08-23,2.8695
2002-08-26,0.8132
2002-08-27,2.9385
2002-08-28,2.1872
2002-08-29,3.5076
2002-08-30,2.1028
2002-09-02,3.2467
2002-09-03,0.1096
2002-09-04,4.4293
2002-09-05,4.9142
2002-09-06,0.4812
2002-09-09,1.8276
2002-09-10,5.4509
2002-09-11,4.0416
2002-09-12,3.8104
2002-09-13,4.079
2002-09-16,3.1329
2002-09-17,1.2682
2002-09-18,2.824
2002-09-19,3.6382
2002-09-20,2.7176
2002-09-23,3.9119
2002-09-24,4.3315
2002-09-25,-0.2345
2002-09-26,3.2806
2002-09-27,2.1079
2002-09-30,2.8936
2002-10-01,5.3344
2002-10-02,2.8259
2002-10-03,3.6456
2002-10-04,4.0936
2002-10-07,4.1621
2002-10-08,3.2964
2002-10-09,2.6187
2002-10-10,2.785
2002-10-11,2.029
2002-10-14,2.8238
2002-10-15,5.8655
2002-10-16,3.9063
2002-10-17,2.07
2002-10-18,0.8771
2002-10-21,4.4406
2002-10-22,1.2691
2002-10-23,4.6726
2002-10-24,0.739
2002-10-25,2.3983
2002-10-28,2.4484
2002-10-29,3.1073
2002-10-30,1.8349
2002-10-31,3.2728
2002-11-01,1.1784
2002-11-04,3.3596
2002-11-05,2.3182
2002-11-06,5.2954
2002-11-07,3.8097
2002-11-08,1.456
2002-11-11,3.3881
2002-11-12,3.005
2002-11-13,3.5607
2002-11-14,3.0529
2002-11-15,3.2947
2002-11-18,3.8364
2002-11-19,3.3357
2002-11-20,0.4729
2002-11-21,4.9558
2002-11-22,5.137
2002-11-25,3.9221
2002-11-26,0.7775
2002-11-27,2.9141
2002-11-28,2.9055
2002-11-29,3.9667
2002-12-02,3.6671
2002-12-03,5.4616
2002-12-04,4.92
2002-12-05,5.8883
2002-12-06,4.9304
2002-12-09,3.8542
2002-12-10,3.0081
2002-12-11,3.0427
2002-12-12,4.3503
2002-12-13,2.3655
2002-12-16,3.4
2002-12-17,2.0526
2002-12-18,5.6317
2002-12-19,1.1413
2002-12-20,3.4027
2002-12-23,6.1929
2002-12-24,0.6917
2002-12-25,-0.4775
2002-12-26,0.1774
2002-12-27,1.1827
2002-12-30,5.3009
2002-12-31,2.0033
2003-01-01,2.6085
2003-01-02,2.3574
2003-01-03,2.7533
2003-01-06,2.1269
2003-01-07,4.6863
2003-01-08,4.0453
2003-01-09,5.7052
2003-01-10,1.6495
2003-01-13,1.2908
2003-01-14,2.0697
2003-01-15,4.1597
2003-01-16,2.7577
2003-01-17,1.3331
2003-01-20,1.3709
2003-01-21,4.005
2003-01-22,3.9849
2003-01-23,0.251
2003-01-24,3.9834
2003-01-27,5.1903
2003-01-28,3.5497
2003-01-29,2.8634
2003-01-30,3.475
2003-01-31,4.2017
2003-02-03,5.9349
2003-02-04,1.8734
2003-02-05,-0.1939
2003-02-06,1.6596
2003-02-07,3.224
2003-02-10,2.6514
2003-02-11,1.3343
2003-02-12,1.4412
2003-02-13,2.891
2003-02-14,3.7983
2003-02-17,4.0072
2003-02-18,3.583
2003-02-19,3.5889
2003-02-20,4.968
2003-02-21,2.2611
2003-02-24,1.5535
2003-02-25,5.806
2003-02-26,2.7159
2003-02-27,0.5066
2003-02-28,3.7506
2003-03-03,3.5536
2003-03-04,3.0939
2003-03-05,3.0987
2003-03-06,3.5195
2003-03-07,2.2175
2003-03-10,3.6168
2003-03-11,2.8957
2003-03-12,4.0741
2003-03-13,3.182
2003-03-14,2.8048
2003-03-17,0.9902
2003-03-18,0.4446
2003-03-19,3.8355
2003-03-20,3.5898
2003-03-21,2.7585
2003-03-24,4.465
2003-03-25,3.9738
2003-03-26,5.485
2003-03-27,4.5105
2003-03-28,1.8636
2003-03-31,3.1932
2003-04-01,1.7678
2003-04-02,0.2678
2003-04-03,3.2254
2003-04-04,1.5442
2003-04-07,2.7284
2003-04-08,4.8483
2003-04-09,1.9822
2003-04-10,2.0651
2003-04-11,2.2279
2003-04-14,4.8406
2003-04-15,3.8678
2003-04-16,2.2132
2003-04-17,3.4105
2003-04-18,4.0111
2003-04-21,1.5615
2003-04-22,2.1752
2003-04-23,2.2149
2003-04-24,2.9854
2003-04-25,4.246
2003-04-28,3.5303
2003-04-29,2.7861
2003-04-30,2.4759
2003-05-01,2.2968
2003-05-02,3.3599
2003-05-05,2.7508
2003-05-06,2.1128
2003-05-07,3.0645
2003-05-08,4.898
2003-05-09,4.9749
2003-05-12,1.6208
2003-05-13,2.7927
2003-05-14,1.638
2003-05-15,5.6742
2003-05-16,4.0836
2003-05-19,2.6862
2003-05-20,2.2906
2003-05-21,2.2432
2003-05-22,3.7033
2003-05-23,2.8896
2003-05-26,3.75
2003-05-27,3.2071
2003-05-28,1.0183
2003-05-29,2.3858
2003-05-30,3.0932
2003-06-02,2.8683
2003-06-03,1.7872
2003-06-04,3.3833
2003-06-05,4.3913
2003-06-06,1.427
2003-06-09,3.7808
2003-06-10,2.2619
2003-06-11,2.7918
2003-06-12,4.3128
2003-06-13,1.0929
2003-06-16,2.6614
2003-06-17,1.2929
2003-06-18,3.4212
2003-06-19,2.9418
2003-06-20,2.4793
2003-06-23,5.3859
2003-06-24,3.4863
2003-06-25,1.2205
2003-06-26,1.4233
2003-06-27,3.1004
2003-06-30,2.7807
2003-07-01,2.2889
2003-07-02,3.9119
2003-07-03,6.494
2003-07-04,3.0206
2003-07-07,7.3726
2003-07-08,1.5592
2003-07-09,1.2241
2003-07-10,5.5481
2003-07-11,-0.2631
2003-07-14,0.3403
2003-07-15,2.0298
2003-07-16,0.4498
2003-07-17,2.4707
2003-07-18,2.7037
2003-07-21,1.292
2003-07-22,2.5926
2003-07-23,4.4002
2003-07-24,1.2121
2003-07-25,2.4863
2003-07-28,1.0271
2003-07-29,2.8234
2003-07-30,2.7993
2003-07-31,4.8576
2003-08-01,3.2257
2003-08-04,1.8336
2003-08-05,3.0014
2003-08-06,0.6087
2003-08-07,5.1657
2003-08-08,4.2264
2003-08-11,6.0009
2003-08-12,-0.8155
2003-08-13,-0.1471
2003-08-14,2.4852
2003-08-15,1.4315
2003-08-18,6.268
2003-08-19,2.8431
2003-08-20,4.809
2003-08-21,3.4285
2003-08-22,5.2245
2003-08-25,2.2952
2003-08-26,3.5969
2003-08-27,0.4438
2003-08-28,1.7524
2003-08-29,2.5002
2003-09-01,3.9993
2003-09-02,5.8569
2003-09-03,5.8339
2003-09-04,1.8583
2003-09-05,3.7405
2003-09-08,3.6302
2003-09-09,3.4612
2003-09-10,3.2477
2003-09-11,1.8116
2003-09-12,1.4514
2003-09-15,2.4126
2003-09-16,2.6179
2003-09-17,3.2769
2003-09-18,1.9618
2003-09-19,2.0651
2003-09-22,5.3107
2003-09-23,2.5065
2003-09-24,2.8705
2003-09-25,1.7243
2003-09-26,4.0872
2003-09-29,3.6716
2003-09-30,3.2301
2003-10-01,1.3917
2003-10-02,1.9689
2003-10-03,2.7113
2003-10-06,5.0391
2003-10-07,2.0975
2003-10-08,3.1663
2003-10-09,3.0529
2003-10-10,3.4548
2003-10-13,2.0608
2003-10-14,2.3071
2003-10-15,4.2508
2003-10-16,2.2223
2003-10-17,2.2741
2003-10-20,2.1334
2003-10-21,3.2903
2003-10-22,1.9224
2003-10-23,4.7405
2003-10-24,2.0551
2003-10-27,3.9895
2003-10-28,2.0003
2003-10-29,1.8823
2003-10-30,4.4489
2003-10-31,2.9108
2003-11-03,3.9974
2003-11-04,4.4976
2003-11-05,3.2919
2003-11-06,4.4952
2003-11-07,0.0062
2003-11-10,3.0247
2003-11-11,-0.8184
2003-11-12,2.6431
2003-11-13,1.2812
2003-11-14,3.4761
2003-11-17,2.4359
2003-11-18,4.168
2003-11-19,4.8636
2003-11-20,4.551
2003-11-21,1.6599
2003-11-24,3.947
2003-11-25,0.4042
2003-11-26,3.86
2003-11-27,2.8215
2003-11-28,4.1369
2003-12-01,2.858
2003-12-02,1.2284
2003-12-03,2.2027
2003-12-04,4.4797
2003-12-05,1.6837
2003-12-08,4.178
2003-12-09,4.1589
2003-12-10,1.5798
2003-12-11,0.7551
2003-12-12,1.0121
2003-12-15,2.3002
2003-12-16,2.3014
2003-12-17,4.7639
2003-12-18,4.6375
2003-12-19,4.6979
2003-12-22,4.8935
2003-12-23,3.1056
2003-12-24,1.6112
2003-12-25,4.8429
2003-12-26,0.6211
2003-12-29,1.7105
2003-12-30,1.5358
2003-12-31,0.4264
2004-01-01,3.6135
2004-01-02,2.946
2004-01-05,1.8362
2004-01-06,1.9317
2004-01-07,2.7885
2004-01-08,4.7772
2004-01-09,6.782
2004-01-12,4.2966
2004-01-13,1.6533
2004-01-14,3.7081
2004-01-15,3.4972
2004-01-16,2.6543
2004-01-19,1.4748
2004-01-20,4.4586
2004-01-21,3.4304
2004-01-22,3.4623
2004-01-23,2.4004
2004-01-26,4.4232
2004-01-27,0.9363
2004-01-28,5.0877
2004-01-29,2.3532
2004-01-30,1.8492
2004-02-02,4.4135
2004-02-03,3.2247
2004-02-04,3.374
2004-02-05,1.616
2004-02-06,1.3369
2004-02-09,1.3625
2004-02-10,3.2046
2004-02-11,1.1545
2004-02-12,1.8163
2004-02-13,2.6736
2004-02-16,3.9583
2004-02-17,2.9625
2004-02-18,3.7889
2004-02-19,3.6972
2004-02-20,2.6279
2004-02-23,1.978
2004-02-24,1.606
2004-02-25,2.2533
2004-02-26,6.9969
2004-02-27,3.7991
2004-03-01,4.8878
2004-03-02,4.4476
2004-03-03,0.9494
2004-03-04,1.6709
2004-03-05,1.7764
2004-03-08,3.3862
2004-03-09,4.2453
2004-03-10,1.0511
2004-03-11,2.85
2004-03-12,5.7886
2004-03-15,4.2753
2004-03-16,2.5232
2004-03-17,0.3777
2004-03-18,-1.3683
2004-03-19,4.2355
2004-03-22,3.8539
2004-03-23,2.9739
2004-03-24,3.2081
2004-03-25,2.3212
2004-03-26,3.8212
2004-03-29,2.2967
2004-03-30,0.2785
2004-03-31,2.3202
2004-04-01,3.404
2004-04-02,1.1071
2004-04-05,4.5947
2004-04-06,3.7584
2004-04-07,2.2603
2004-04-08,3.0384
2004-04-09,2.3312
2004-04-12,1.6368
2004-04-13,2.772
2004-04-14,2.422
2004-04-15,4.8179
2004-04-16,5.5693
2004-04-19,4.4612
2004-04-20,3.8383
2004-04-21,2.3281
2004-04-22,3.5919
2004-04-23,1.8668
2004-04-26,2.7468
2004-04-27,1.4516
2004-04-28,1.662
2004-04-29,5.1092
2004-04-30,1.4015
2004-05-03,2.9396
2004-05-04,4.7938
2004-05-05,3.1025
2004-05-06,3.0234
2004-05-07,4.0435
2004-05-10,5.9059
2004-05-11,2.9965
2004-05-12,2.3872
2004-05-13,3.7131
2004-05-14,2.3886
2004-05-17,6.6304
2004-05-18,1.9429
2004-05-19,3.8323
2004-05-20,3.1741
2004-05-21,2.7329
2004-05-24,2.0302
2004-05-25,1.788
2004-05-26,2.145
2004-05-27,1.1239
2004-05-28,5.4535
2004-05-31,2.0733
2004-06-01,2.4274
2004-06-02,3.2497
2004-06-03,3.3157
2004-06-04,4.2901
2004-06-07,3.2312
2004-06-08,2.3269
2004-06-09,0.757
2004-06-10,2.7259
2004-06-11,2.8486
2004-06-14,3.6691
2004-06-15,-0.9558
2004-06-16,4.3556
2004-06-17,5.6432
2004-06-18,0.6061
2004-06-21,3.622
2004-06-22,2.6633
2004-06-23,1.5298
2004-06-24,2.379
2004-06-25,1.0263
2004-06-28,4.0347
2004-06-29,0.6675
2004-06-30,4.5684
