date,日债10y
2018-03-01,0.4906
2018-04-01,1.2188
2018-05-01,0.5275
2018-06-01,0.7256
2018-07-01,0.8537
2018-08-01,-0.5903
2018-09-01,0.915
2018-10-01,0.1822
2018-11-01,0.3816
2018-12-01,-0.0846
2019-01-01,-0.1099
2019-02-01,0.234
2019-03-01,1.2954
2019-04-01,1.7996
2019-05-01,0.7849
2019-06-01,1.4551
2019-07-01,0.6416
2019-08-01,-0.3472
2019-09-01,0.8899
2019-10-01,1.0674
2019-11-01,0.5428
2019-12-01,0.9813
2020-01-01,1.1435
2020-02-01,0.282
2020-03-01,-0.0861
2020-04-01,0.6672
2020-05-01,0.6734
2020-06-01,0.5884
2020-07-01,1.3923
2020-08-01,1.8354
2020-09-01,0.55
2020-10-01,1.2193
2020-11-01,1.3646
2020-12-01,1.2279
2021-01-01,1.4285
2021-02-01,0.5665
2021-03-01,1.2439
2021-04-01,2.0147
2021-05-01,1.2822
2021-06-01,0.4281
2021-07-01,1.1646
2021-08-01,1.5574
2021-09-01,1.0214
2021-10-01,0.462
2021-11-01,1.7258
2021-12-01,0.0501
2022-01-01,1.1021
2022-02-01,0.7903
2022-03-01,0.0838
2022-04-01,1.5317
2022-05-01,1.0087
2022-06-01,0.0999
2022-07-01,1.161
2022-08-01,0.541
2022-09-01,-0.3417
2022-10-01,0.3867
2022-11-01,0.9581
2022-12-01,1.1814
2023-01-01,0.8993
2023-02-01,0.8271
2023-03-01,1.082
2023-04-01,0.6734
2023-05-01,1.5062
2023-06-01,0.8892
2023-07-01,0.9764
2023-08-01,1.1245
2023-09-01,0.1657
2023-10-01,0.3745
2023-11-01,1.7171
2023-12-01,1.0012
2024-01-01,0.6304
2024-02-01,1.0049
2024-03-01,0.511
2024-04-01,0.9671
2024-05-01,0.4005
2024-06-01,0.9656
2024-07-01,-0.1466
2024-08-01,1.5986
2024-09-01,0.4922
2024-10-01,-0.1487
2024-11-01,0.6657
2024-12-01,0.5774
2025-01-01,0.8914
2025-02-01,0.1128
2025-03-01,1.0385
2025-04-01,2.9741
2025-05-01,0.0328
2025-06-01,1.0026
2025-07-01,0.6136
2025-08-01,0.9156
2025-09-01,-0.2871
2025-10-01,0.1094
2025-11-01,1.0758
2025-12-01,0.7769
2026-01-01,1.7811
2026-02-01,0.3771
2026-03-01,0.9047
2026-04-01,2.5479
2026-05-01,0.3407
2026-06-01,0.2577
2026-07-01,0.7789
2026-08-01,0.7733
2026-09-01,1.3065
2026-10-01,0.8777
2026-11-01,0.346
2026-12-01,0.9269
2027-01-01,2.3832
2027-02-01,1.5631
2027-03-01,-0.8693
2027-04-01,0.7148
2027-05-01,0.2749
2027-06-01,1.1734
2027-07-01,0.696
2027-08-01,1.9596
2027-09-01,1.3587
2027-10-01,1.3342
2027-11-01,0.9119
2027-12-01,0.7758
2028-01-01,1.0041
2028-02-01,1.5772
2028-03-01,1.1206
2028-04-01,0.5893
2028-05-01,1.5651
2028-06-01,0.9153
2028-07-01,0.7534
2028-08-01,0.3252
2028-09-01,0.4604
2028-10-01,0.4184
2028-11-01,-0.8754
2028-12-01,1.4101
2029-01-01,1.1399
2029-02-01,0.6714
2029-03-01,1.4276
2029-04-01,1.0628
2029-05-01,1.0229
2029-06-01,-0.6849
2029-07-01,0.6602
2029-08-01,1.1193
2029-09-01,1.7658
2029-10-01,1.9042
2029-11-01,1.6555
2029-12-01,0.103
2030-01-01,-0.5186
2030-02-01,1.1423
2030-03-01,0.8166
2030-04-01,1.3775
2030-05-01,0.7245
2030-06-01,0.9319
2030-07-01,-0.1
2030-08-01,1.0688
2030-09-01,0.5331
2030-10-01,1.01
2030-11-01,1.0756
2030-12-01,0.7297
2031-01-01,0.9901
2031-02-01,0.7918
2031-03-01,1.2555
2031-04-01,1.101
2031-05-01,0.4717
2031-06-01,0.4473
2031-07-01,1.8462
2031-08-01,0.739
2031-09-01,1.3951
2031-10-01,1.036
2031-11-01,0.4615
2031-12-01,0.3506
2032-01-01,0.8721
2032-02-01,0.954
2032-03-01,1.1686
2032-04-01,0.0398
2032-05-01,0.4432
2032-06-01,0.7431
2032-07-01,1.7604
2032-08-01,-0.6161
2032-09-01,1.0635
2032-10-01,0.476
2032-11-01,1.0588
2032-12-01,0.5048
2033-01-01,1.0187
2033-02-01,1.7388
2033-03-01,1.0125
2033-04-01,1.06
2033-05-01,1.0237
2033-06-01,0.3498
2033-07-01,1.1258
2033-08-01,0.675
2033-09-01,0.313
2033-10-01,0.7769
2033-11-01,0.6636
2033-12-01,1.2521
2034-01-01,0.7743
2034-02-01,0.4823
2034-03-01,1.6736
2034-04-01,1.393
2034-05-01,1.5618
2034-06-01,1.1646
2034-07-01,0.7342
2034-08-01,0.5485
2034-09-01,0.6324
2034-10-01,1.3686
2034-11-01,0.8671
2034-12-01,-0.0897
2035-01-01,0.7766
2035-02-01,-0.0497
2035-03-01,0.8995
2035-04-01,0.0777
2035-05-01,0.0416
2035-06-01,0.8711
2035-07-01,0.7531
2035-08-01,-0.1971
2035-09-01,1.2489
2035-10-01,2.0979
2035-11-01,-0.0888
2035-12-01,1.8919
2036-01-01,0.3873
2036-02-01,0.5035
2036-03-01,0.6927
2036-04-01,-0.0672
2036-05-01,1.5795
2036-06-01,1.0956
2036-07-01,0.3491
2036-08-01,0.6338
2036-09-01,-0.1098
2036-10-01,0.5913
2036-11-01,1.3617
2036-12-01,-0.2292
2037-01-01,0.5383
2037-02-01,0.8881
2037-03-01,1.4289
2037-04-01,1.6096
2037-05-01,0.5256
2037-06-01,0.3558
2037-07-01,1.0702
2037-08-01,0.582
2037-09-01,0.614
2037-10-01,1.4481
2037-11-01,1.8138
2037-12-01,0.9595
2038-01-01,0.6847
2038-02-01,1.1428
2038-03-01,-0.3325
2038-04-01,0.7891
2038-05-01,0.1637
2038-06-01,2.2337
2038-07-01,1.2321
2038-08-01,0.8848
2038-09-01,0.6834
2038-10-01,-0.709
2038-11-01,1.2277
2038-12-01,1.7776
2039-01-01,0.3627
2039-02-01,1.21
2039-03-01,1.2335
2039-04-01,-0.1289
2039-05-01,1.3614
2039-06-01,1.6129
2039-07-01,0.9371
2039-08-01,0.7621
2039-09-01,1.2728
2039-10-01,-0.1245
2039-11-01,0.856
2039-12-01,1.4326
2040-01-01,0.0545
2040-02-01,1.3955
2040-03-01,0.5491
2040-04-01,-0.4485
2040-05-01,0.7366
2040-06-01,0.2169
2040-07-01,0.9916
2040-08-01,0.0967
2040-09-01,1.4302
2040-10-01,0.3567
2040-11-01,1.0138
2040-12-01,0.4436
2041-01-01,0.6063
2041-02-01,1.5151
2041-03-01,0.9292
2041-04-01,0.563
2041-05-01,0.0491
2041-06-01,1.496
2041-07-01,1.2397
2041-08-01,0.6041
2041-09-01,0.946
2041-10-01,0.1823
2041-11-01,0.1911
2041-12-01,0.3043
2042-01-01,1.0121
2042-02-01,0.9775
2042-03-01,0.3528
2042-04-01,1.2427
2042-05-01,1.2708
2042-06-01,0.9037
2042-07-01,1.423
2042-08-01,0.6276
2042-09-01,0.7322
2042-10-01,1.0837
2042-11-01,0.7796
2042-12-01,1.2763
