date,德债3m,德债2y,德债10y
2006-02-01,1.4027,2.1102,2.2588
2006-03-01,2.757,2.9948,2.5875
2006-04-01,2.1894,1.2276,2.2493
2006-05-01,1.1728,1.9439,3.5449
2006-06-01,1.1314,2.7312,2.4018
2006-07-01,1.2498,2.5841,2.3588
2006-08-01,3.0235,3.0709,1.5978
2006-09-01,1.072,2.397,2.7504
2006-10-01,1.1963,1.6906,1.9059
2006-11-01,1.8526,2.3622,2.6192
2006-12-01,1.3792,0.9974,3.8418
2007-01-01,1.3027,0.3605,3.1659
2007-02-01,0.3859,2.5807,3.3047
2007-03-01,1.4885,1.9449,3.1561
2007-04-01,1.0564,2.3084,2.8592
2007-05-01,2.6661,0.3023,2.6727
2007-06-01,2.1531,1.6349,2.4922
2007-07-01,1.4759,1.4001,3.5591
2007-08-01,2.1684,1.1358,1.7158
2007-09-01,1.1601,-0.255,4.1407
2007-10-01,2.5521,1.6651,2.8341
2007-11-01,1.4946,2.8973,2.0513
2007-12-01,2.0834,2.381,2.3109
2008-01-01,0.2091,1.3991,2.123
2008-02-01,1.8467,1.9851,2.9602
2008-03-01,-0.1882,2.7568,2.0822
2008-04-01,-0.5353,-0.7604,3.9421
2008-05-01,1.1955,1.8755,2.0184
2008-06-01,0.6001,2.5432,0.5275
2008-07-01,1.6641,2.6821,2.069
2008-08-01,3.7448,3.7007,0.7915
2008-09-01,0.6683,3.135,2.7601
2008-10-01,0.8761,2.3126,3.8592
2008-11-01,1.7054,2.302,3.4478
2008-12-01,1.993,2.7869,1.4624
2009-01-01,1.3236,1.4607,2.0377
2009-02-01,1.2941,1.9598,4.5786
2009-03-01,2.2025,2.9062,3.1185
2009-04-01,2.0199,3.9574,2.8041
2009-05-01,0.4663,1.8407,3.8561
2009-06-01,1.4208,1.9516,5.2527
2009-07-01,1.5353,2.1985,4.0966
2009-08-01,0.4455,3.3432,2.9394
2009-09-01,1.7598,1.9697,3.1547
2009-10-01,0.642,3.4694,3.4171
2009-11-01,2.4721,1.0333,2.1873
2009-12-01,1.6927,1.814,1.7413
2010-01-01,1.5893,1.8018,2.8524
2010-02-01,0.909,2.7865,1.8528
2010-03-01,1.3814,3.0453,2.7385
2010-04-01,-0.4977,0.4906,2.8961
2010-05-01,0.3686,1.0849,5.141
2010-06-01,1.8628,2.3369,1.949
2010-07-01,-0.6286,1.3413,2.6782
2010-08-01,2.3466,0.4776,2.6357
2010-09-01,-0.2461,3.0385,3.2373
2010-10-01,2.2567,2.494,3.8467
2010-11-01,0.6545,2.4932,2.3095
2010-12-01,2.279,1.5246,1.9786
2011-01-01,1.631,3.0289,1.1593
2011-02-01,-0.0368,1.76,1.8738
2011-03-01,2.7491,3.0964,3.3364
2011-04-01,2.9417,1.0883,2.8456
2011-05-01,1.4342,1.1459,1.7846
2011-06-01,1.2261,2.2047,2.4272
2011-07-01,1.3401,1.2977,2.8315
2011-08-01,0.5248,2.6755,3.3037
2011-09-01,2.5986,2.2601,2.2066
2011-10-01,0.9571,1.077,2.5496
2011-11-01,1.4488,2.0729,0.9816
2011-12-01,0.7067,1.6487,1.6486
2012-01-01,0.8739,2.9158,4.4177
2012-02-01,0.2223,1.3674,0.6119
2012-03-01,2.7571,1.5608,2.4622
2012-04-01,1.3459,3.2112,3.0192
2012-05-01,2.4659,4.2386,2.4257
2012-06-01,1.5133,3.999,1.9918
2012-07-01,0.8056,2.0632,2.7389
2012-08-01,1.1733,2.2189,2.795
2012-09-01,0.9398,3.5335,2.7179
2012-10-01,1.508,1.8756,0.9223
2012-11-01,1.1247,1.0237,2.6526
2012-12-01,1.2001,2.1169,1.9449
2013-01-01,0.1214,2.4515,2.2523
2013-02-01,0.6932,1.1709,3.027
2013-03-01,3.1541,0.3538,3.4407
2013-04-01,0.8288,0.5633,3.6968
2013-05-01,0.4459,2.6654,2.3036
2013-06-01,1.8373,1.2416,3.724
2013-07-01,2.9073,1.8587,3.9737
2013-08-01,0.046,2.2126,3.9366
2013-09-01,1.2915,2.6191,4.1898
2013-10-01,0.8679,1.6651,2.6543
2013-11-01,-0.261,2.4987,2.6259
2013-12-01,2.2349,1.1099,3.6251
2014-01-01,1.4766,1.6383,1.4335
2014-02-01,1.5714,0.9756,3.0094
2014-03-01,0.7477,3.1318,2.2694
2014-04-01,1.9548,1.9729,2.4312
2014-05-01,0.9607,1.2607,1.0585
2014-06-01,1.3571,1.6476,1.9095
2014-07-01,0.3917,1.7783,2.7795
2014-08-01,0.2839,2.7005,3.6885
2014-09-01,2.8355,0.4044,3.79
2014-10-01,0.9929,0.9628,2.7197
2014-11-01,1.7917,1.6219,2.6107
2014-12-01,1.4662,4.5323,1.9693
2015-01-01,1.0589,2.9557,3.2024
2015-02-01,0.992,1.8885,2.5524
2015-03-01,2.1301,2.712,3.4059
2015-04-01,1.1981,4.0574,4.5517
2015-05-01,1.3486,1.7663,2.7676
2015-06-01,1.5222,1.6336,1.3026
2015-07-01,2.6765,3.2119,1.9391
2015-08-01,2.1805,2.4942,1.3419
2015-09-01,1.8826,2.6713,1.6029
2015-10-01,0.9364,1.4918,4.1053
2015-11-01,0.118,3.9242,3.0267
2015-12-01,2.4495,3.7096,1.2798
2016-01-01,2.4664,2.5659,3.4536
2016-02-01,1.3593,2.6843,4.0604
2016-03-01,2.0419,-0.0273,2.4401
2016-04-01,2.2814,2.6377,2.124
2016-05-01,2.3312,1.8059,2.4626
2016-06-01,2.4214,2.4339,3.0846
2016-07-01,1.0444,2.6825,3.44
2016-08-01,3.015,1.6587,3.9822
2016-09-01,0.2534,0.3095,4.0125
2016-10-01,2.3617,2.3679,3.9854
2016-11-01,1.9939,1.2586,4.1619
2016-12-01,2.3736,1.6698,3.4614
2017-01-01,3.379,1.3955,1.2691
2017-02-01,2.9844,1.6584,2.669
2017-03-01,0.3548,-0.3095,3.1139
2017-04-01,-0.1887,3.2169,2.4169
2017-05-01,2.3169,2.2533,3.7113
2017-06-01,0.485,3.1114,2.4398
2017-07-01,1.4876,3.9798,1.8743
2017-08-01,2.3397,2.0226,4.2443
2017-09-01,-0.1438,0.1976,3.466
2017-10-01,-0.61,1.1061,3.0193
2017-11-01,1.7593,0.7931,3.7267
2017-12-01,1.5444,1.4981,3.8625
2018-01-01,1.2542,2.0796,3.141
2018-02-01,1.5385,-0.0022,0.3423
2018-03-01,0.6395,2.3425,2.1244
2018-04-01,-0.0135,0.4896,2.3434
2018-05-01,1.3333,2.2974,1.8158
2018-06-01,0.5283,1.8905,2.9987
2018-07-01,-0.1435,1.6864,3.9922
2018-08-01,2.0057,1.927,2.3151
2018-09-01,1.4386,1.4602,1.6652
2018-10-01,1.9065,1.3875,4.828
2018-11-01,0.5107,0.3172,2.3486
2018-12-01,0.8419,1.9704,1.567
2019-01-01,0.501,3.8455,3.0377
2019-02-01,0.6134,3.9805,3.2257
2019-03-01,1.6954,3.3218,2.0949
2019-04-01,0.717,2.7058,3.5905
2019-05-01,1.8561,1.3235,2.3127
2019-06-01,1.8398,3.4428,1.877
2019-07-01,3.5252,1.9439,2.9786
2019-08-01,0.1072,1.9311,3.5708
2019-09-01,2.3879,1.7088,2.1661
2019-10-01,1.4105,2.092,3.1306
2019-11-01,1.486,1.5648,2.7065
2019-12-01,0.0501,1.9162,5.6244
2020-01-01,1.0398,0.9154,2.0914
2020-02-01,2.2432,1.6263,4.1842
2020-03-01,1.4175,4.2806,2.7477
2020-04-01,1.5811,1.9304,2.6732
2020-05-01,1.2093,1.7613,3.5217
2020-06-01,2.6546,2.5324,3.694
2020-07-01,1.4785,2.7081,4.067
2020-08-01,-0.7004,0.8862,3.1287
2020-09-01,0.8079,1.7928,2.1996
2020-10-01,-0.4688,2.9183,2.2624
2020-11-01,-1.7514,2.2698,3.3097
2020-12-01,0.9699,2.122,3.3809
2021-01-01,2.8336,3.554,4.1981
2021-02-01,1.5471,1.3222,3.2184
2021-03-01,0.3275,2.0827,3.8602
2021-04-01,0.5593,1.4799,4.3168
2021-05-01,2.6306,3.4903,2.9648
2021-06-01,1.6576,0.0481,1.3144
2021-07-01,1.548,1.3299,1.6207
2021-08-01,1.4465,1.4708,1.3622
2021-09-01,1.5384,2.6635,4.3916
2021-10-01,2.3054,2.6063,1.9526
2021-11-01,2.0526,3.3952,4.0318
2021-12-01,1.7157,0.426,3.3857
2022-01-01,0.4571,2.7505,4.5153
2022-02-01,2.0111,1.7067,3.8031
2022-03-01,0.8158,1.3344,2.6976
2022-04-01,2.5938,2.5396,2.6
2022-05-01,0.2289,1.0799,2.8852
2022-06-01,1.3624,-0.0769,2.9753
2022-07-01,1.4926,1.6298,2.2693
2022-08-01,0.1754,0.5022,2.7674
2022-09-01,3.222,1.3511,4.4093
2022-10-01,2.9604,2.3716,1.0979
2022-11-01,1.0364,2.312,3.0585
2022-12-01,2.2717,3.5869,1.893
2023-01-01,1.8787,1.8003,2.987
2023-02-01,-1.1136,0.4667,3.6399
2023-03-01,1.7504,1.2439,2.7424
2023-04-01,1.4387,1.0806,3.573
2023-05-01,1.5832,0.7822,1.2102
2023-06-01,0.4231,2.4354,3.907
2023-07-01,1.2307,1.3548,2.1969
2023-08-01,1.3217,0.0226,3.4224
2023-09-01,2.6881,2.6969,2.9824
2023-10-01,1.8344,1.8886,0.2144
2023-11-01,1.4944,2.3568,2.0439
2023-12-01,3.029,2.1057,3.0205
2024-01-01,0.9448,2.6317,4.354
2024-02-01,1.1106,2.038,3.0873
2024-03-01,-0.3168,3.2362,3.0577
2024-04-01,3.0691,2.425,1.3873
2024-05-01,2.4643,2.3921,4.2311
2024-06-01,2.4168,2.4099,4.6071
2024-07-01,2.1689,0.5434,2.8286
2024-08-01,1.6101,1.8354,2.5802
2024-09-01,1.7155,1.7407,1.181
2024-10-01,1.248,2.2075,3.6833
2024-11-01,1.2964,0.6413,5.5023
2024-12-01,1.5543,3.6341,3.5171
2025-01-01,3.0118,2.1044,4.0637
2025-02-01,2.0557,0.7887,3.3421
2025-03-01,1.4415,0.2911,1.815
2025-04-01,0.9206,1.7187,4.1367
2025-05-01,0.865,1.9103,1.5654
2025-06-01,3.1027,1.2817,2.5893
2025-07-01,2.0067,2.0921,3.0789
2025-08-01,1.5676,1.3588,3.6829
2025-09-01,1.1538,2.5517,3.216
2025-10-01,0.3909,1.2755,3.1868
2025-11-01,1.4331,1.9615,2.0385
2025-12-01,2.3737,2.9788,1.5106
2026-01-01,1.1075,4.5717,2.8615
2026-02-01,1.2728,0.9924,2.0898
2026-03-01,1.279,1.5355,1.4922
2026-04-01,1.6096,1.1602,1.5341
2026-05-01,-0.093,2.7843,2.3099
2026-06-01,1.2646,0.8519,0.9474
2026-07-01,0.6456,1.5156,1.4525
2026-08-01,2.3846,1.9704,1.1649
2026-09-01,0.7294,1.0213,2.9823
2026-10-01,2.077,1.0427,3.208
2026-11-01,3.0244,1.5244,4.8071
2026-12-01,1.1864,-0.1004,1.3025
2027-01-01,0.8984,0.5545,2.1204
2027-02-01,1.6914,1.587,3.7126
2027-03-01,1.498,2.1482,2.5832
2027-04-01,0.5064,1.8142,2.473
2027-05-01,1.9609,0.226,4.5092
2027-06-01,3.5155,1.5362,2.4616
2027-07-01,1.2419,2.7984,1.6438
2027-08-01,1.2971,2.5559,1.4831
2027-09-01,0.4551,1.9213,3.1357
2027-10-01,1.8191,1.1126,3.1052
2027-11-01,0.253,2.6312,1.4283
2027-12-01,0.3931,1.4211,1.8146
2028-01-01,2.7797,0.8308,3.3347
2028-02-01,0.5945,1.1978,3.3773
2028-03-01,2.5814,3.4483,2.1568
2028-04-01,3.0244,2.2202,3.4222
2028-05-01,1.7593,3.1592,3.3719
2028-06-01,2.0534,1.5207,1.0169
2028-07-01,3.4523,2.9381,2.4879
2028-08-01,1.3033,1.3985,3.2151
2028-09-01,0.907,1.8426,2.2269
2028-10-01,0.1468,4.4864,0.6611
2028-11-01,1.5417,2.7671,2.517
2028-12-01,2.9791,1.4988,3.5521
2029-01-01,2.4596,1.9152,4.3804
2029-02-01,0.5579,2.3262,0.6092
2029-03-01,0.6446,3.2105,5.4133
2029-04-01,0.9958,1.5109,1.6729
2029-05-01,1.7923,0.2587,3.757
2029-06-01,1.2947,1.7204,4.0342
2029-07-01,1.7145,2.0154,3.783
2029-08-01,1.7967,2.1095,2.9496
2029-09-01,1.2012,3.3167,1.6386
2029-10-01,1.4598,2.3167,3.4266
2029-11-01,1.7066,2.8129,2.0848
2029-12-01,1.416,0.8989,0.2773
2030-01-01,2.0035,2.8679,5.6289
2030-02-01,3.3709,4.0962,3.5081
2030-03-01,2.092,2.7729,4.6181
2030-04-01,1.5558,2.2536,1.8884
2030-05-01,-0.1861,2.154,4.2675
2030-06-01,1.888,3.7871,4.3899
2030-07-01,-0.4467,1.0728,4.3545
2030-08-01,0.091,1.8889,2.7788
2030-09-01,2.3546,2.4602,1.5975
2030-10-01,2.2062,2.744,2.6227
2030-11-01,1.3501,1.5627,0.5972
2030-12-01,-0.21,2.3073,1.098
2031-01-01,1.1287,1.7221,2.8919
2031-02-01,0.8213,2.1205,1.8086
2031-03-01,2.1368,1.8679,2.6356
2031-04-01,3.7577,0.8584,2.691
2031-05-01,1.7169,1.9789,4.7307
2031-06-01,0.7207,2.8772,4.0976
2031-07-01,0.3294,1.033,2.7551
2031-08-01,1.4439,1.7589,4.0089
2031-09-01,1.3232,2.6648,2.0203
2031-10-01,0.3485,0.9301,2.4631
2031-11-01,1.6164,2.1826,3.7102
2031-12-01,0.3491,0.9399,1.5583
2032-01-01,2.6121,3.1346,2.521
2032-02-01,2.5627,4.3128,1.4792
2032-03-01,2.5848,4.0223,2.9175
2032-04-01,1.0259,1.7808,4.4325
2032-05-01,2.0145,2.7402,2.0479
2032-06-01,1.3679,2.121,3.0259
2032-07-01,1.1112,2.1021,1.9027
2032-08-01,1.1609,3.5478,1.6505
2032-09-01,0.2003,0.6808,1.5642
2032-10-01,0.0561,3.0553,4.2548
2032-11-01,2.2943,1.951,5.1624
2032-12-01,1.3088,3.4085,3.283
2033-01-01,1.7164,2.1872,2.0837
2033-02-01,2.5017,1.3273,3.5049
2033-03-01,-0.2331,2.2771,2.4657
2033-04-01,0.7159,2.736,3.6014
2033-05-01,1.6753,2.0358,3.091
2033-06-01,1.8921,2.488,3.0797
2033-07-01,1.1229,1.4783,3.4073
2033-08-01,2.5292,-0.1339,2.2205
2033-09-01,1.7104,2.9,2.3956
2033-10-01,0.2866,2.6992,1.0788
2033-11-01,0.5692,2.1482,2.3581
2033-12-01,2.3055,2.0684,1.3777
2034-01-01,1.9638,3.0363,2.6553
2034-02-01,-0.3991,1.5429,1.8424
2034-03-01,2.8477,1.2935,2.9012
2034-04-01,2.098,1.8115,3.2532
2034-05-01,2.8433,3.1891,1.3799
2034-06-01,1.1163,0.6129,1.9867
2034-07-01,1.2043,3.1918,1.8567
2034-08-01,0.3735,1.3607,3.5465
2034-09-01,4.0369,0.8993,4.5064
2034-10-01,1.3245,3.2601,3.6515
2034-11-01,3.0875,1.9031,2.4506
2034-12-01,0.8527,0.6998,4.265
2035-01-01,1.6638,1.6413,1.2859
2035-02-01,-0.1714,2.9311,4.2994
2035-03-01,1.1171,3.1921,2.1438
2035-04-01,2.4838,1.5729,0.0197
2035-05-01,0.2483,2.4063,5.4508
2035-06-01,2.5722,2.7141,4.378
2035-07-01,1.8372,1.3554,1.7681
2035-08-01,0.456,2.355,2.969
2035-09-01,0.9984,1.9681,2.5855
2035-10-01,1.0409,1.464,2.9022
2035-11-01,1.4505,1.5079,1.3167
2035-12-01,0.9639,2.067,2.1185
2036-01-01,0.6727,2.0299,3.268
2036-02-01,1.1954,1.4345,3.0227
2036-03-01,0.4731,1.5741,3.9992
2036-04-01,0.2105,3.1133,2.8798
2036-05-01,1.4518,2.2138,5.1492
2036-06-01,2.3829,2.8851,2.0843
2036-07-01,-0.0294,3.2018,3.0593
2036-08-01,1.5035,2.5888,0.8837
2036-09-01,0.85,4.2709,1.5469
2036-10-01,0.5229,1.1747,4.1285
2036-11-01,2.3534,2.8084,1.8572
2036-12-01,0.9818,1.6819,3.3307
2037-01-01,2.9983,3.8558,2.7382
2037-02-01,0.7202,3.7004,1.7555
2037-03-01,1.8865,0.0458,2.4518
2037-04-01,1.2727,1.0311,2.2858
2037-05-01,0.746,2.6643,2.3126
2037-06-01,2.0877,2.7899,3.5536
2037-07-01,1.345,2.7366,3.4523
2037-08-01,2.1032,1.9291,2.2226
2037-09-01,1.4527,2.4551,1.8929
2037-10-01,0.4142,2.653,3.0823
2037-11-01,1.3979,1.9221,2.7
2037-12-01,1.552,3.0273,3.8283
2038-01-01,2.4585,-0.2595,5.4553
2038-02-01,0.5937,2.6338,3.6429
2038-03-01,1.4607,0.9659,2.7653
2038-04-01,-0.2219,2.9587,2.628
2038-05-01,2.1515,1.7713,1.9433
2038-06-01,0.4185,1.1112,1.8933
2038-07-01,-0.3064,2.3739,1.7966
2038-08-01,1.4408,1.0887,2.4047
2038-09-01,2.6057,1.0872,2.3729
2038-10-01,-0.0244,0.4327,3.5437
2038-11-01,0.412,1.9733,2.401
2038-12-01,0.7567,2.4968,2.6026
2039-01-01,0.3705,3.023,1.5817
2039-02-01,1.8794,1.8583,4.4446
2039-03-01,0.6926,3.0479,3.307
2039-04-01,0.7785,2.018,4.5889
2039-05-01,2.0833,1.9067,3.5969
2039-06-01,0.7445,2.5736,4.2896
2039-07-01,1.9328,3.0584,2.5515
2039-08-01,0.5286,1.6586,3.5172
2039-09-01,0.2879,1.7562,5.5055
2039-10-01,-0.3354,1.8392,1.5765
2039-11-01,3.3612,2.0828,3.9763
2039-12-01,1.1797,1.0996,4.4979
2040-01-01,1.7439,3.028,3.2211
2040-02-01,1.469,1.5996,3.5652
2040-03-01,1.66,2.4624,4.0796
2040-04-01,1.5497,1.1745,2.1297
2040-05-01,3.4082,2.3588,3.2174
2040-06-01,0.4611,2.3916,1.912
2040-07-01,-0.0575,1.5793,2.1088
2040-08-01,0.488,4.0209,2.1684
2040-09-01,0.1653,2.371,2.6537
2040-10-01,2.247,3.7769,2.9498
2040-11-01,2.3204,2.9591,3.263
2040-12-01,0.5387,1.3377,1.3491
2041-01-01,0.1096,1.6178,4.8268
2041-02-01,1.1452,2.4361,3.9835
2041-03-01,2.8911,2.0612,3.5436
2041-04-01,-1.3196,2.0495,2.4335
2041-05-01,2.0266,1.7138,2.7087
2041-06-01,0.4242,0.1915,3.3612
2041-07-01,2.5404,1.7746,3.2214
2041-08-01,0.4221,-0.2181,1.0789
2041-09-01,1.2146,2.3718,3.5593
2041-10-01,-0.0063,1.2739,5.7882
2041-11-01,0.5227,1.2846,0.9067
2041-12-01,2.8858,1.7807,3.8197
2042-01-01,2.3206,2.2727,3.1785
2042-02-01,1.0983,0.568,2.6856
2042-03-01,0.6298,0.2514,4.207
2042-04-01,-0.3938,0.9339,1.5864
2042-05-01,1.1063,-0.0417,2.9671
2042-06-01,1.4691,1.0332,4.302
2042-07-01,1.4159,3.5909,2.5979
2042-08-01,1.4062,0.9434,2.3707
2042-09-01,0.3782,2.6514,2.918
2042-10-01,1.4337,0.6284,2.3432
2042-11-01,1.4613,2.2991,4.3892
2042-12-01,2.7906,1.6803,1.8682
