date,美债3m,美债2y,美债10y
2000-11-22,2.9734,2.7567,2.6691
2000-11-23,4.3088,4.8462,7.1776
2000-11-24,1.4064,3.4087,4.5786
2000-11-27,1.5188,3.2468,3.3502
2000-11-28,-0.7209,4.0808,2.6601
2000-11-29,2.256,4.3114,3.6651
2000-11-30,0.9064,3.9403,1.0671
2000-12-01,1.7058,4.7034,3.3771
2000-12-04,1.1847,3.7304,3.6056
2000-12-05,2.3586,3.2012,2.3884
2000-12-06,-0.1366,4.487,5.1218
2000-12-07,0.2994,2.8909,3.6719
2000-12-08,5.6939,3.0399,3.0463
2000-12-11,0.5689,5.0659,3.512
2000-12-12,0.8548,4.9463,4.5327
2000-12-13,5.2554,2.9902,4.1098
2000-12-14,6.8576,2.4557,2.9485
2000-12-15,0.7427,4.7558,4.1885
2000-12-18,1.9476,3.9605,3.924
2000-12-19,3.0123,3.3787,2.2908
2000-12-20,5.093,2.6138,3.5672
2000-12-21,1.0197,3.398,4.869
2000-12-22,2.1321,2.9739,4.8582
2000-12-25,3.666,2.2028,3.6551
2000-12-26,3.1521,3.1549,5.0152
2000-12-27,1.9358,3.3185,2.5301
2000-12-28,2.2993,2.5495,2.5765
2000-12-29,0.4377,4.0846,3.6231
2001-01-01,2.1427,4.5466,6.2463
2001-01-02,2.1004,4.1639,4.2449
2001-01-03,2.8483,2.6685,3.587
2001-01-04,1.667,3.907,6.3162
2001-01-05,3.2073,3.0936,3.5696
2001-01-08,4.0191,1.5171,7.3521
2001-01-09,2.7331,3.8073,3.2331
2001-01-10,3.0276,3.1754,2.4824
2001-01-11,2.5797,6.1123,3.7505
2001-01-12,2.5001,4.7487,3.6264
2001-01-15,1.4177,3.8534,2.7884
2001-01-16,2.9747,3.299,7.903
2001-01-17,2.3541,3.1965,4.4779
2001-01-18,5.6398,1.7956,4.6964
2001-01-19,4.86,0.9132,3.3072
2001-01-22,3.0788,1.9529,3.1335
2001-01-23,1.3554,2.9427,5.5383
2001-01-24,0.8314,0.4734,1.4862
2001-01-25,4.2867,2.3468,2.2857
2001-01-26,2.8941,2.7029,3.629
2001-01-29,3.2202,2.7415,6.0266
2001-01-30,-0.1169,2.2059,3.4382
2001-01-31,3.8912,2.5902,4.6242
2001-02-01,3.1816,5.0687,4.0416
2001-02-02,0.8344,3.7946,5.9444
2001-02-05,1.7927,2.3276,1.6229
2001-02-06,2.8956,2.918,5.1039
2001-02-07,2.5787,2.966,3.7017
2001-02-08,2.0617,2.0785,5.3873
2001-02-09,2.3448,2.077,2.7711
2001-02-12,2.122,4.2126,4.0366
2001-02-13,2.7288,2.4963,3.8462
2001-02-14,4.7072,1.6864,2.4963
2001-02-15,-1.35,2.9482,2.0794
2001-02-16,2.1447,3.1416,3.1294
2001-02-19,2.7648,0.6328,4.1949
2001-02-20,2.944,2.9511,2.8646
2001-02-21,1.9421,4.0416,3.5049
2001-02-22,-0.1351,3.5415,1.1713
2001-02-23,2.992,5.6758,3.444
2001-02-26,5.091,4.5013,5.5354
2001-02-27,0.1992,4.7387,5.0578
2001-02-28,3.7957,6.3601,3.8696
2001-03-01,2.0072,3.9098,4.3655
2001-03-02,2.408,3.1957,2.7576
2001-03-05,0.9207,4.1685,6.4367
2001-03-06,1.9983,2.3289,7.1016
2001-03-07,4.4501,3.1292,4.2472
2001-03-08,3.374,2.2227,7.886
2001-03-09,5.0985,3.4776,2.9797
2001-03-12,4.2661,2.2177,2.1234
2001-03-13,3.1586,2.1757,2.9356
2001-03-14,5.1159,3.4962,3.6708
2001-03-15,3.1585,2.8347,7.4681
2001-03-16,3.742,0.687,3.5783
2001-03-19,2.0551,1.2533,2.7105
2001-03-20,2.5998,1.6233,2.6523
2001-03-21,1.4539,1.9404,5.71
2001-03-22,3.9844,3.4973,5.496
2001-03-23,0.7325,3.2627,3.2718
2001-03-26,3.6735,4.2783,1.1863
2001-03-27,2.214,3.9034,2.3071
2001-03-28,4.2569,4.2863,6.5819
2001-03-29,3.6263,3.7301,5.0332
2001-03-30,5.231,3.2516,4.0982
2001-04-02,3.5962,4.3192,6.8032
2001-04-03,0.1419,4.1033,6.9375
2001-04-04,2.3996,3.4513,3.9461
2001-04-05,0.742,4.5253,3.9736
2001-04-06,1.7226,0.1851,3.1269
2001-04-09,4.7668,2.6514,3.5731
2001-04-10,3.4563,2.6331,1.7705
2001-04-11,1.4516,4.3832,1.7644
2001-04-12,0.9794,4.8857,1.416
2001-04-13,2.5492,1.2598,5.6265
2001-04-16,0.6752,4.6934,1.6579
2001-04-17,1.4933,1.5943,6.9249
2001-04-18,2.968,1.6305,2.9044
2001-04-19,4.233,2.7189,6.606
2001-04-20,3.4131,2.6182,3.4524
2001-04-23,-0.9369,1.1299,1.6507
2001-04-24,2.9566,3.7799,5.9257
2001-04-25,2.6081,3.8153,6.1028
2001-04-26,3.1208,4.2648,2.6409
2001-04-27,4.9243,2.4799,3.5025
2001-04-30,-0.5949,2.9525,2.6413
2001-05-01,1.6133,2.9635,3.8192
2001-05-02,3.3864,5.0256,4.1617
2001-05-03,0.1276,-0.4011,3.4729
2001-05-04,4.7139,1.8517,1.2717
2001-05-07,3.0525,3.0066,3.1287
2001-05-08,3.7699,1.6973,5.0553
2001-05-09,1.6436,2.69,3.6867
2001-05-10,3.7206,2.8487,3.5088
2001-05-11,4.1027,2.2108,2.6038
2001-05-14,2.8493,3.0774,3.0849
2001-05-15,2.8516,3.7538,6.1134
2001-05-16,2.9055,2.7165,2.2903
2001-05-17,1.205,2.4562,5.0812
2001-05-18,2.2787,2.8011,4.0706
2001-05-21,2.2712,2.9911,4.3672
2001-05-22,3.0751,0.9116,2.9015
2001-05-23,3.9997,3.5539,3.4723
2001-05-24,0.9122,2.4588,3.9914
2001-05-25,2.3125,4.5138,3.219
2001-05-28,4.7222,3.7093,4.4971
2001-05-29,1.3846,4.4041,4.6862
2001-05-30,1.2666,1.7868,7.2591
2001-05-31,2.8035,2.5543,4.4173
2001-06-01,3.7666,1.509,1.1316
2001-06-04,2.5171,2.1538,5.7445
2001-06-05,4.4934,4.5025,3.6942
2001-06-06,3.7852,4.785,7.0179
2001-06-07,3.7627,1.6222,6.2064
2001-06-08,3.3312,2.4501,3.2421
2001-06-11,5.9915,2.9086,5.0829
2001-06-12,2.1923,3.7027,3.1091
2001-06-13,-0.5053,0.8882,4.004
2001-06-14,4.9064,1.0764,5.014
2001-06-15,1.8135,3.5876,5.6695
2001-06-18,2.6618,0.6612,5.3428
2001-06-19,4.4643,2.4638,4.1125
2001-06-20,0.0966,3.1945,7.7251
2001-06-21,0.6225,3.4988,3.4525
2001-06-22,0.0981,2.8299,1.5892
2001-06-25,1.3088,2.5611,1.878
2001-06-26,3.1595,4.0135,6.211
2001-06-27,3.2863,3.3422,3.885
2001-06-28,2.9144,2.2236,4.2386
2001-06-29,0.3809,3.0453,3.1862
2001-07-02,-0.9652,3.4598,3.3209
2001-07-03,2.5815,5.0619,2.8194
2001-07-04,1.7923,3.9436,4.7067
2001-07-05,3.1891,4.4575,3.8539
2001-07-06,3.5529,2.2673,4.6525
2001-07-09,2.7074,2.371,4.5092
2001-07-10,3.6402,2.7175,3.3612
2001-07-11,2.8438,2.8277,1.8119
2001-07-12,3.2951,1.7904,1.6813
2001-07-13,1.443,4.5191,8.54
2001-07-16,2.2306,4.06,6.2173
2001-07-17,2.7952,2.6332,6.0103
2001-07-18,3.7308,3.7701,2.9881
2001-07-19,1.9094,3.2675,4.0143
2001-07-20,3.2818,3.8638,2.777
2001-07-23,2.1012,1.3868,2.0319
2001-07-24,2.3237,2.8252,3.1168
2001-07-25,3.7443,2.9304,5.9893
2001-07-26,-0.4896,3.7484,5.2611
2001-07-27,0.5553,2.2459,2.5449
2001-07-30,0.2767,0.0001,3.5278
2001-07-31,-1.0004,1.702,5.1237
2001-08-01,1.4826,2.9267,3.1435
2001-08-02,3.6242,3.0767,4.1194
2001-08-03,2.0727,5.0205,4.6028
2001-08-06,2.7967,3.6993,4.5864
2001-08-07,4.1338,3.0978,4.3812
2001-08-08,4.4915,2.9611,3.0195
2001-08-09,2.3963,4.325,3.1735
2001-08-10,4.5304,2.2919,2.2995
2001-08-13,2.6382,2.8317,1.658
2001-08-14,1.2439,1.6929,3.8279
2001-08-15,1.6084,4.7027,5.2244
2001-08-16,0.2792,3.471,1.9296
2001-08-17,1.1678,2.151,4.4095
2001-08-20,1.963,2.8627,5.1769
2001-08-21,3.7054,3.6116,1.2449
2001-08-22,5.0812,2.6991,3.5941
2001-08-23,0.4267,2.3586,6.4693
2001-08-24,3.0892,2.2149,4.8279
2001-08-27,0.9392,3.4068,1.1943
2001-08-28,3.212,2.5703,4.9875
2001-08-29,2.3034,2.4555,2.8784
2001-08-30,-0.2464,1.3967,5.037
2001-08-31,3.8924,3.0932,2.9649
2001-09-03,1.5925,2.7825,3.9205
2001-09-04,1.6991,2.614,3.1937
2001-09-05,0.8954,3.2385,4.0047
2001-09-06,1.5186,3.8976,3.1491
2001-09-07,3.1418,3.8419,3.6647
2001-09-10,2.2161,3.6633,2.2366
2001-09-11,2.993,2.7112,4.736
2001-09-12,3.0429,2.3196,4.2629
2001-09-13,4.481,1.7473,1.5752
2001-09-14,1.9858,2.2882,5.4894
2001-09-17,0.2847,3.0236,3.7356
2001-09-18,4.1008,2.0565,4.2426
2001-09-19,2.0028,3.1153,5.1468
2001-09-20,4.1719,1.8415,4.4924
2001-09-21,3.0751,1.0068,5.7478
2001-09-24,2.3033,3.9833,3.5601
2001-09-25,3.0232,2.4307,5.5516
2001-09-26,5.4265,1.9956,4.1844
2001-09-27,5.6155,1.6874,4.7615
2001-09-28,2.6041,3.5076,4.6054
2001-10-01,2.7403,4.6499,5.8611
2001-10-02,4.1144,2.5163,5.0821
2001-10-03,1.2315,2.7413,3.3356
2001-10-04,2.9996,4.286,3.0381
2001-10-05,2.4612,0.8275,3.9254
2001-10-08,2.9709,5.3602,2.8598
2001-10-09,1.2499,5.9329,2.4217
2001-10-10,0.1156,-0.2476,0.8079
2001-10-11,-0.6095,2.883,1.6761
2001-10-12,0.8239,2.1373,6.9781
2001-10-15,1.812,2.6823,3.0152
2001-10-16,2.0602,2.4979,6.8552
2001-10-17,5.4058,3.9741,4.6047
2001-10-18,4.159,2.8649,3.9254
2001-10-19,1.0569,1.9069,1.7491
2001-10-22,3.0216,2.7934,4.007
2001-10-23,1.8894,3.6177,6.8383
2001-10-24,2.0735,1.5795,6.3365
2001-10-25,2.778,1.0245,4.4114
2001-10-26,3.4288,5.3913,2.277
2001-10-29,1.9911,2.2291,2.5643
2001-10-30,4.0958,2.8352,2.7211
2001-10-31,0.7871,2.5226,5.9172
2001-11-01,2.5095,3.6577,6.4476
2001-11-02,6.3965,5.1273,4.2938
2001-11-05,2.8346,3.6959,3.5454
2001-11-06,4.6498,1.178,6.3231
2001-11-07,2.6373,1.3391,2.5321
2001-11-08,3.3712,2.5212,4.0777
2001-11-09,2.4148,2.6781,4.6944
2001-11-12,2.2444,0.9337,2.7058
2001-11-13,1.3308,3.9832,3.0461
2001-11-14,3.1455,1.6964,2.9294
2001-11-15,1.2227,4.792,6.1251
2001-11-16,3.4984,5.1848,6.8716
2001-11-19,4.1279,2.7021,4.1722
2001-11-20,3.0498,3.5268,3.5977
2001-11-21,2.0706,1.5217,3.1002
2001-11-22,3.1809,3.7484,4.0026
2001-11-23,2.037,2.4022,3.1747
2001-11-26,3.9033,1.6953,3.8545
2001-11-27,-0.2471,2.6528,4.6198
2001-11-28,1.9966,2.4411,3.392
2001-11-29,-0.4862,2.6098,3.7156
2001-11-30,0.2574,4.1396,3.7218
2001-12-03,4.5458,2.0576,3.5237
2001-12-04,3.8428,5.082,3.3378
2001-12-05,1.4208,1.4099,5.1433
2001-12-06,0.2462,4.9385,1.3439
2001-12-07,-1.9468,1.7802,6.3614
2001-12-10,1.6848,2.9988,4.2033
2001-12-11,6.1306,2.4118,4.915
2001-12-12,3.1523,2.5875,5.0876
2001-12-13,1.6606,3.9616,2.9379
2001-12-14,3.1976,4.7998,2.6285
2001-12-17,0.1586,4.4286,2.4516
2001-12-18,2.054,2.5142,3.6294
2001-12-19,2.6492,3.2211,5.0488
2001-12-20,2.3708,2.0615,3.1244
2001-12-21,3.6862,1.8101,4.9119
2001-12-24,3.017,1.6244,0.4481
2001-12-25,3.5025,2.4749,3.4216
2001-12-26,1.4674,3.2995,5.7507
2001-12-27,3.8467,0.7058,3.7435
2001-12-28,4.9434,2.9444,2.7563
2001-12-31,1.0448,4.8192,3.0147
2002-01-01,1.1685,4.3463,-0.542
2002-01-02,4.5037,2.2978,2.4823
2002-01-03,2.213,1.3238,5.5859
2002-01-04,4.6057,3.5518,3.1261
2002-01-07,1.8362,0.2191,3.3032
2002-01-08,4.6826,4.3322,0.5023
2002-01-09,2.6972,2.7437,1.5537
2002-01-10,2.8873,5.1976,5.7851
2002-01-11,4.8471,0.9276,4.9259
2002-01-14,1.9573,4.1018,2.0538
2002-01-15,1.0883,2.8794,3.0541
2002-01-16,1.8272,2.6027,3.9562
2002-01-17,3.1785,1.3562,2.2058
2002-01-18,0.1514,3.7149,0.9938
2002-01-21,3.4562,3.8114,3.7612
2002-01-22,1.6918,5.1422,4.8589
2002-01-23,4.2217,4.2097,4.8878
2002-01-24,-1.0914,2.2873,5.3129
2002-01-25,1.3202,1.7954,1.6697
2002-01-28,-0.0297,1.3578,4.0869
2002-01-29,1.2607,4.7679,3.5973
2002-01-30,2.8715,2.0662,3.8692
2002-01-31,2.2312,4.7763,3.6823
2002-02-01,2.1199,3.6301,3.0093
2002-02-04,2.2612,3.3959,-0.5267
2002-02-05,2.8051,2.6318,5.7427
2002-02-06,0.9872,3.7928,4.495
2002-02-07,3.5603,2.9814,1.7736
2002-02-08,3.494,2.5569,4.7097
2002-02-11,3.0776,3.8352,3.329
2002-02-12,3.3348,2.8272,3.3715
2002-02-13,2.9446,2.042,2.8474
2002-02-14,5.5526,3.7198,4.8054
2002-02-15,2.3694,2.9232,2.8003
2002-02-18,2.0394,3.5867,2.3547
2002-02-19,1.3697,2.4554,5.6976
2002-02-20,0.9516,1.5491,3.7317
2002-02-21,0.6333,5.0821,3.7788
2002-02-22,1.1668,4.8559,5.0387
2002-02-25,2.394,4.0605,2.9986
2002-02-26,3.0014,2.5346,3.2978
2002-02-27,2.5767,2.6396,4.4586
2002-02-28,1.3517,4.6588,1.6879
2002-03-01,3.8503,2.5754,4.3316
2002-03-04,3.6091,2.2409,2.8664
2002-03-05,2.2605,5.2467,5.2832
2002-03-06,1.5206,2.9428,4.82
2002-03-07,3.3226,5.1221,4.6218
2002-03-08,2.782,1.3219,1.5896
2002-03-11,0.3278,3.6218,3.8449
2002-03-12,2.398,5.4853,2.2341
2002-03-13,2.8931,3.0357,3.9447
2002-03-14,1.1505,2.6832,0.5271
2002-03-15,2.7848,1.5987,1.6888
2002-03-18,0.3178,4.2988,5.7836
2002-03-19,4.5043,2.0758,4.5536
2002-03-20,4.3719,2.8862,3.4693
2002-03-21,2.1212,1.5186,2.6369
2002-03-22,3.0452,4.8683,2.3736
2002-03-25,-1.1149,4.3859,4.3002
2002-03-26,0.7655,2.9621,3.4846
2002-03-27,2.0593,1.615,6.32
2002-03-28,0.8918,4.8431,3.7229
2002-03-29,3.5716,2.5609,4.0881
2002-04-01,5.4959,1.6738,1.9172
2002-04-02,0.7351,0.8855,3.459
2002-04-03,1.2438,2.2248,4.2655
2002-04-04,2.8532,1.2544,3.4408
2002-04-05,4.9167,2.2526,3.2716
2002-04-08,0.6664,3.8933,4.4904
2002-04-09,2.8736,2.5495,6.2722
2002-04-10,5.2319,3.4268,4.2175
2002-04-11,0.0224,2.132,5.7163
2002-04-12,0.5784,3.0782,4.9324
2002-04-15,1.8646,5.3051,5.6265
2002-04-16,1.7191,2.5818,3.0854
2002-04-17,3.7189,3.4613,3.6896
2002-04-18,2.8625,1.1214,3.6958
2002-04-19,-0.1624,4.8241,4.8194
2002-04-22,3.2731,2.4274,5.1886
2002-04-23,1.6337,4.2606,4.1876
2002-04-24,4.4117,2.8522,5.3151
2002-04-25,1.5586,3.7339,3.155
2002-04-26,1.5451,3.8052,5.3281
2002-04-29,3.3117,2.4571,5.5237
2002-04-30,3.6444,4.3103,5.0162
2002-05-01,3.1721,2.0892,4.2013
2002-05-02,-0.0284,3.9335,5.07
2002-05-03,3.3071,2.5318,2.659
2002-05-06,0.9485,3.4195,4.2975
2002-05-07,2.8529,2.4456,4.4508
2002-05-08,0.3644,3.06,2.0057
2002-05-09,3.1695,1.7104,4.7119
2002-05-10,1.2901,3.2971,2.1268
2002-05-13,0.576,3.053,3.3581
2002-05-14,3.5707,2.3518,4.0596
2002-05-15,2.8625,2.934,2.9039
2002-05-16,1.579,3.1608,4.1238
2002-05-17,4.6768,2.2604,4.0998
2002-05-20,1.839,2.8455,2.7697
2002-05-21,2.5482,1.7933,4.852
2002-05-22,2.9034,5.8149,2.8538
2002-05-23,1.5705,4.2709,7.432
2002-05-24,3.2067,3.3277,3.8358
2002-05-27,1.6998,4.4065,2.2431
2002-05-28,1.8825,0.6249,2.5235
2002-05-29,4.544,-0.0692,5.7214
2002-05-30,0.9391,2.5209,3.3863
2002-05-31,-1.1192,1.3457,1.9544
2002-06-03,4.9164,2.7161,5.2806
2002-06-04,6.324,3.2468,3.3766
2002-06-05,1.8921,4.1045,4.9801
2002-06-06,-0.4053,1.6341,5.4033
2002-06-07,2.0343,3.4796,4.4117
2002-06-10,2.0707,3.0173,7.5939
2002-06-11,2.2151,3.417,1.4129
2002-06-12,0.8299,2.3763,2.7731
2002-06-13,3.3693,4.6598,3.6161
2002-06-14,3.2868,2.8758,7.3918
2002-06-17,0.2584,5.129,6.697
