date,美元指数,美元人民币,美元日元,美元欧元
2000-06-08,94.8894,7.5489,102.37,1.0725
2000-06-09,92.9904,6.7675,116.72,1.0367
2000-06-12,95.1755,8.4152,111.66,1.1092
2000-06-13,107.7458,10.967,96.87,1.2032
2000-06-14,85.9856,9.6819,105.55,1.3937
2000-06-15,84.7607,10.03,77.06,1.1126
2000-06-16,94.3348,6.7552,138.05,0.9033
2000-06-19,94.3343,5.825,100.42,1.0517
2000-06-20,86.8554,7.2332,112.35,1.2039
2000-06-21,86.2054,7.0454,78.48,0.9449
2000-06-22,98.7766,7.2687,107.67,1.2876
2000-06-23,108.3784,8.4731,115.43,1.0274
2000-06-26,102.1299,7.1558,126.68,1.2413
2000-06-27,101.8512,7.6195,110.15,1.0467
2000-06-28,107.4574,8.1407,118.38,1.4152
2000-06-29,75.0903,6.2656,120.82,1.0806
2000-06-30,79.8967,7.9086,92.69,1.3141
2000-07-03,87.946,7.977,83.62,0.9757
2000-07-04,83.0489,6.0695,93.35,1.2293
2000-07-05,85.106,6.6586,77.4,1.4012
2000-07-06,95.6987,9.3021,84.82,1.0142
2000-07-07,82.1561,6.5363,131.65,1.0625
2000-07-10,90.565,6.5873,122.61,0.9411
2000-07-11,74.5685,6.4574,134.74,1.3762
2000-07-12,85.2603,6.8239,115.46,0.8436
2000-07-13,108.4555,6.6312,118.42,0.7352
2000-07-14,89.571,8.3733,129.48,0.9357
2000-07-17,98.2414,8.4909,113.01,1.1765
2000-07-18,102.0815,7.5224,102.23,0.9716
2000-07-19,90.091,7.9059,129.96,0.8954
2000-07-20,100.7908,8.5004,87.48,0.8374
2000-07-21,97.1454,6.4258,109.33,1.1376
2000-07-24,101.9741,6.277,110.86,1.1562
2000-07-25,88.6445,8.6073,89.99,1.1202
2000-07-26,80.5983,9.0529,130.21,0.9056
2000-07-27,84.7788,5.2795,96.67,1.412
2000-07-28,89.4518,8.5424,150.89,1.0085
2000-07-31,100.3583,7.3912,94.01,0.9588
2000-08-01,92.9569,9.1953,77.43,0.9394
2000-08-02,91.0119,7.6603,77.35,1.2469
2000-08-03,93.2032,5.3717,116.55,0.8929
2000-08-04,105.9976,5.4889,122.79,0.8264
2000-08-07,89.245,7.5394,146.97,0.8394
2000-08-08,110.1133,8.6557,108.36,1.0471
2000-08-09,82.7241,5.5992,131.18,1.3631
2000-08-10,89.0776,4.8632,136.64,1.0707
2000-08-11,103.55,7.2649,134.26,0.9138
2000-08-14,100.1783,6.922,109.54,1.2231
2000-08-15,86.4449,11.1807,100.2,1.0356
2000-08-16,93.9097,5.8039,95.04,1.0744
2000-08-17,87.9107,6.1713,123.29,1.1082
2000-08-18,103.5102,5.5067,136.31,1.4318
2000-08-21,100.3974,5.8955,110.56,0.9916
2000-08-22,87.8689,6.5911,81.86,1.0776
2000-08-23,98.9718,8.4115,106.8,1.2113
2000-08-24,91.3285,7.8663,100.75,1.2411
2000-08-25,94.2808,8.239,90.37,1.0888
2000-08-28,95.6461,5.6138,109.77,1.3092
2000-08-29,89.3596,6.2235,115.95,1.1008
2000-08-30,99.2501,7.9025,141.16,1.0995
2000-08-31,99.6028,7.1716,98.72,1.0726
2000-09-01,99.2593,6.1824,122.13,1.2772
2000-09-04,106.0464,6.8056,103.77,1.2298
2000-09-05,92.2826,8.469,91.8,0.8849
2000-09-06,80.1714,8.9266,113.85,1.259
2000-09-07,90.1093,9.556,128.81,1.0821
2000-09-08,97.0074,7.3055,121.48,1.0479
2000-09-11,95.2199,10.2862,125.32,1.2557
2000-09-12,100.7869,7.1001,110.37,1.165
2000-09-13,103.0642,7.8316,161.69,0.9415
2000-09-14,93.8241,8.5363,106.71,1.0148
2000-09-15,93.8963,6.1381,84.27,1.1371
2000-09-18,85.1259,7.323,123.47,1.4859
2000-09-19,105.331,6.5842,100.96,1.0824
2000-09-20,92.3606,9.9245,83.33,0.8742
2000-09-21,84.1669,8.5784,106.29,0.997
2000-09-22,83.8563,5.0256,114.18,0.9866
2000-09-25,90.8523,7.5462,99.21,1.0079
2000-09-26,110.554,8.4681,84.52,1.1986
2000-09-27,102.7255,9.9593,95.34,1.0983
2000-09-28,78.0596,7.3033,98.76,0.9869
2000-09-29,93.7639,3.487,107.4,0.9218
2000-10-02,97.6396,7.2699,118.03,0.9121
2000-10-03,101.2656,9.1818,90.03,1.2321
2000-10-04,98.4366,7.6353,83.17,0.8961
2000-10-05,88.5926,5.6744,119.61,1.0683
2000-10-06,99.1189,6.4751,99.83,1.1447
2000-10-09,89.4585,6.4693,98.56,1.0999
2000-10-10,72.5935,9.9884,137.98,0.9491
2000-10-11,87.9114,7.309,132.42,1.2215
2000-10-12,88.1403,5.2945,133.47,1.372
2000-10-13,104.5363,6.226,69.56,0.9915
2000-10-16,105.56,9.4307,79.35,0.9862
2000-10-17,84.5472,2.6169,108.35,0.9999
2000-10-18,96.7391,4.0793,116.43,0.9409
2000-10-19,95.9014,5.7021,128.21,0.7742
2000-10-20,80.642,6.8257,99.83,1.2309
2000-10-23,74.4686,4.4428,80.08,0.8699
2000-10-24,94.0723,8.9251,145.32,0.9661
2000-10-25,96.3644,6.0266,88.13,1.2257
2000-10-26,89.0517,4.966,90.07,1.2986
2000-10-27,67.8883,6.1992,119.24,0.9403
2000-10-30,94.7052,3.5971,118.37,1.2867
2000-10-31,89.2138,6.0863,92.57,1.0977
2000-11-01,86.1059,9.6374,80.57,1.252
2000-11-02,91.7581,5.1856,110.34,1.1089
2000-11-03,83.7144,6.9494,79.0,1.2989
2000-11-06,100.5984,6.8212,140.64,0.9879
2000-11-07,95.106,6.0712,126.27,1.1971
2000-11-08,89.4054,9.0376,119.52,0.8575
2000-11-09,97.8187,11.6205,114.55,1.0641
2000-11-10,94.679,4.6282,84.22,1.2484
2000-11-13,79.8179,6.8487,102.65,1.1572
2000-11-14,93.5585,5.671,113.87,0.9683
2000-11-15,90.4284,6.5579,96.79,1.078
2000-11-16,77.5928,8.372,82.31,1.0515
2000-11-17,88.4796,11.9538,99.12,1.0325
2000-11-20,99.2634,7.3279,118.55,1.1092
2000-11-21,88.805,6.9713,90.81,0.7229
2000-11-22,109.0751,5.1627,94.72,1.1246
2000-11-23,111.9822,6.3234,103.62,1.0591
2000-11-24,91.9365,8.7026,118.94,1.0254
2000-11-27,100.5343,6.4187,122.98,1.1845
2000-11-28,114.9265,5.1417,116.46,1.3593
2000-11-29,91.6847,5.6742,138.02,1.004
2000-11-30,86.0104,4.3421,116.43,1.3785
2000-12-01,90.7767,5.8083,131.98,1.1091
2000-12-04,81.2578,8.437,121.72,0.9969
2000-12-05,81.5081,9.1442,100.48,1.2803
2000-12-06,97.0865,9.4532,127.78,1.0991
2000-12-07,90.8324,6.3491,117.72,0.8695
2000-12-08,97.4644,5.9655,135.41,0.9353
2000-12-11,99.8837,9.1199,108.68,1.3286
2000-12-12,87.3568,4.5081,114.72,0.9053
2000-12-13,93.0555,8.7577,105.0,1.1608
2000-12-14,92.307,8.6976,117.69,1.0184
2000-12-15,88.3134,6.427,123.6,1.1986
2000-12-18,86.6354,6.5967,102.06,1.0426
2000-12-19,98.1555,12.4199,151.53,1.2037
2000-12-20,93.5975,7.5191,127.05,1.2587
2000-12-21,98.3229,7.2562,101.19,1.0623
2000-12-22,105.0092,10.2301,71.13,1.1084
2000-12-25,105.1422,7.1759,150.0,1.0672
2000-12-26,83.8794,5.6329,121.8,1.1129
2000-12-27,86.4418,7.6573,100.16,0.9143
2000-12-28,92.4375,8.4994,113.17,0.9488
2000-12-29,96.2364,6.9513,124.4,1.2272
2001-01-01,104.3839,8.0309,84.66,1.1031
2001-01-02,85.3782,9.4709,111.94,0.9381
2001-01-03,90.6315,6.481,154.94,0.9093
2001-01-04,97.4704,6.4295,89.59,1.1514
2001-01-05,107.2887,7.7079,56.93,1.0042
2001-01-08,108.7923,8.7307,118.47,1.0715
2001-01-09,84.9402,4.8746,102.75,1.4393
2001-01-10,92.8796,8.5941,121.45,0.7727
2001-01-11,86.9225,3.0172,102.13,1.3677
2001-01-12,103.4748,8.0956,85.72,1.2495
2001-01-15,99.469,4.5174,132.12,1.334
2001-01-16,91.422,7.7552,111.42,0.9132
2001-01-17,88.8875,8.3802,99.02,0.9419
2001-01-18,97.9495,4.9329,92.36,0.9806
2001-01-19,104.8029,5.0969,131.54,0.9431
2001-01-22,87.3256,7.6355,101.99,1.0595
2001-01-23,91.7634,7.795,90.24,1.3522
2001-01-24,96.1297,7.4054,100.72,1.1468
2001-01-25,95.1801,5.3224,107.81,1.2297
2001-01-26,98.3787,7.2385,112.48,1.1242
2001-01-29,85.0042,6.9073,127.05,1.2885
2001-01-30,89.0507,8.3168,98.73,1.2365
2001-01-31,73.9989,7.9061,118.17,1.2823
2001-02-01,95.5573,7.9619,149.21,0.9778
2001-02-02,105.7016,5.2834,87.77,1.2257
2001-02-05,74.428,8.6372,111.22,1.154
2001-02-06,88.6819,9.4866,134.98,1.1254
2001-02-07,103.9852,7.835,90.11,0.9685
2001-02-08,93.572,6.9275,129.11,1.1365
2001-02-09,76.0496,5.4195,126.12,1.2635
2001-02-12,106.6879,6.3607,123.41,0.9614
2001-02-13,80.7403,5.3659,60.33,1.0536
2001-02-14,108.7091,8.2777,101.58,1.3008
2001-02-15,89.1536,7.4294,114.76,1.3354
2001-02-16,87.9345,6.0552,121.12,1.2369
2001-02-19,95.2694,8.9119,98.43,1.0616
2001-02-20,94.7782,7.2466,102.83,1.0459
2001-02-21,101.0048,7.8211,139.26,1.0576
2001-02-22,100.0251,5.7377,69.87,1.181
2001-02-23,93.5206,6.6259,115.09,1.1689
2001-02-26,108.2253,6.8687,89.66,1.4885
2001-02-27,102.1347,6.6728,148.31,1.12
2001-02-28,97.7379,8.7216,101.18,1.1203
2001-03-01,96.3512,6.9825,137.39,0.9655
2001-03-02,94.0467,6.5601,102.05,1.0397
2001-03-05,94.2242,9.4509,110.69,1.0195
2001-03-06,101.649,7.9616,106.12,1.2511
2001-03-07,99.7425,9.3015,126.97,1.093
2001-03-08,95.3973,6.3505,93.73,1.2004
2001-03-09,105.1511,4.4823,123.7,1.1309
2001-03-12,92.3779,5.3134,101.25,1.12
2001-03-13,99.359,7.5879,104.51,1.2634
2001-03-14,103.5952,7.4207,121.77,1.0358
2001-03-15,83.845,8.2601,150.15,1.1811
2001-03-16,92.3589,8.6099,140.92,1.4467
2001-03-19,111.6881,7.0094,84.42,1.2059
2001-03-20,85.429,6.526,115.82,0.9141
2001-03-21,106.5208,8.0842,130.28,1.1024
2001-03-22,84.4024,6.1266,74.54,1.0915
2001-03-23,99.0554,5.8579,130.0,1.2892
2001-03-26,84.3581,6.8807,104.67,0.9694
2001-03-27,88.8361,7.9593,87.9,1.1049
2001-03-28,91.2469,7.4337,137.41,1.264
2001-03-29,89.5118,6.2943,150.55,0.9983
2001-03-30,105.0857,7.4621,125.26,1.0271
2001-04-02,103.3349,5.5403,73.7,1.2933
2001-04-03,103.7006,7.5974,130.22,1.0396
2001-04-04,96.9349,4.3945,94.1,0.8877
2001-04-05,111.3669,8.7524,110.8,1.1124
2001-04-06,105.2879,5.5218,96.32,0.9865
2001-04-09,98.2475,7.0739,134.51,1.0377
2001-04-10,84.5121,5.5477,146.91,1.1546
2001-04-11,101.8545,6.849,107.36,1.2489
2001-04-12,101.5216,7.8802,108.31,0.9191
2001-04-13,95.9434,4.0189,75.2,1.0223
2001-04-16,102.1289,9.3114,97.51,1.0225
2001-04-17,102.6994,5.4519,114.74,0.7245
2001-04-18,92.0154,4.9462,115.18,1.1113
2001-04-19,100.653,7.8818,111.03,1.0613
2001-04-20,98.4707,5.3601,65.87,1.2228
2001-04-23,98.1315,6.9354,85.79,1.1432
2001-04-24,91.582,6.8928,99.18,1.0276
2001-04-25,90.3702,9.0862,76.62,1.0439
2001-04-26,96.1862,7.0888,116.0,1.1416
2001-04-27,109.3172,6.8993,106.73,0.8641
2001-04-30,118.2599,4.5199,83.92,1.3903
2001-05-01,91.3019,6.077,119.78,1.3087
2001-05-02,84.4565,5.9943,104.41,1.402
2001-05-03,91.5844,7.2141,129.25,1.3399
2001-05-04,86.6486,8.3098,76.17,1.2825
2001-05-07,90.8294,4.5046,124.53,0.9802
2001-05-08,98.9678,6.752,130.03,1.0072
2001-05-09,85.8575,8.8946,70.73,1.3628
2001-05-10,101.0897,5.7003,94.47,0.9199
2001-05-11,102.9155,7.3886,98.28,1.0872
2001-05-14,110.1644,7.7634,96.88,0.9651
2001-05-15,113.1927,10.3695,148.37,1.0591
2001-05-16,104.9783,8.2719,149.82,1.2188
2001-05-17,117.6719,6.5456,125.02,1.0283
2001-05-18,90.0037,6.0962,116.23,1.0606
2001-05-21,97.7647,6.9968,81.94,1.0158
2001-05-22,96.7206,8.583,113.78,1.197
2001-05-23,99.3919,9.2785,84.06,1.28
2001-05-24,105.2459,6.6676,89.23,1.1456
2001-05-25,91.7673,7.3704,79.71,1.2696
2001-05-28,112.1337,5.9295,90.4,0.9852
2001-05-29,107.7597,7.5803,93.7,0.9334
2001-05-30,98.5308,5.4988,93.06,1.1736
2001-05-31,99.7172,7.2311,78.47,1.3502
2001-06-01,85.3658,6.5091,122.71,0.8972
2001-06-04,70.2402,6.3704,135.63,1.1805
2001-06-05,94.1909,8.483,118.48,1.1594
2001-06-06,98.24,4.5785,126.25,0.9445
2001-06-07,97.3537,8.0619,102.91,0.7534
2001-06-08,84.1021,6.7364,116.29,1.0374
2001-06-11,90.5788,7.8288,79.46,1.121
2001-06-12,112.5926,6.2461,117.56,1.1912
2001-06-13,102.362,5.0199,146.45,1.0425
2001-06-14,101.243,6.4033,98.78,1.0458
2001-06-15,92.0101,5.4649,128.47,1.2896
2001-06-18,102.4675,5.1622,117.11,1.1663
2001-06-19,107.9238,5.1893,152.15,1.0005
2001-06-20,102.6638,7.0363,130.67,1.0553
2001-06-21,91.0681,4.195,93.58,1.0683
2001-06-22,97.9516,6.2959,94.01,1.2976
2001-06-25,86.3589,9.1467,132.5,1.1572
2001-06-26,92.0826,8.616,108.88,1.1102
2001-06-27,101.0108,6.0312,107.92,1.3571
2001-06-28,89.8044,8.7228,101.71,1.2996
2001-06-29,92.8267,5.4604,87.68,1.3134
2001-07-02,109.4003,7.3483,128.12,0.9052
2001-07-03,93.4606,7.2037,126.93,1.3103
2001-07-04,102.7548,8.6408,108.08,0.9631
2001-07-05,92.1505,4.7611,55.9,1.0676
2001-07-06,83.8317,10.7514,101.4,1.0408
2001-07-09,95.1833,7.9981,126.36,1.3163
2001-07-10,91.5669,8.1336,102.95,1.1309
2001-07-11,75.1614,7.8169,124.13,1.071
2001-07-12,83.1988,7.7621,157.25,1.0824
2001-07-13,90.967,8.9356,109.37,1.2349
2001-07-16,109.8025,7.7916,133.87,0.8209
2001-07-17,89.4383,6.3137,116.83,1.0691
2001-07-18,94.8267,4.8354,71.85,1.2541
2001-07-19,101.3975,9.4012,110.91,1.395
2001-07-20,98.0373,8.3285,113.76,1.1779
2001-07-23,91.7897,6.6343,78.64,1.3954
2001-07-24,112.0318,6.2309,86.66,1.1278
2001-07-25,108.4437,7.7542,78.14,1.2126
2001-07-26,70.937,5.5905,96.41,1.0941
2001-07-27,104.6807,7.7018,131.2,1.0755
2001-07-30,100.5447,9.0243,129.98,1.2281
2001-07-31,104.8692,4.7236,121.16,1.3411
2001-08-01,96.0339,6.4781,123.85,0.9162
2001-08-02,103.3377,7.9606,119.27,1.1499
2001-08-03,114.2703,8.7131,123.14,0.9867
2001-08-06,112.1302,8.0274,135.15,1.2348
2001-08-07,112.9022,6.9818,100.05,0.9165
2001-08-08,105.6,5.6995,116.75,0.9716
2001-08-09,104.3091,6.9884,164.23,1.2806
2001-08-10,104.4978,3.091,139.07,1.3425
2001-08-13,84.0558,5.3807,103.48,0.8856
2001-08-14,117.6977,8.1024,114.37,0.9213
2001-08-15,97.5109,6.5635,132.1,1.0221
2001-08-16,98.3766,6.0814,101.38,0.9916
2001-08-17,96.3435,9.0703,54.83,1.2019
2001-08-20,99.8566,5.9357,98.6,1.1169
2001-08-21,74.1159,7.9811,108.59,1.0195
2001-08-22,97.4373,8.2306,116.52,1.0656
2001-08-23,82.5891,7.2391,103.55,0.9607
2001-08-24,85.3735,7.1345,139.66,1.2044
2001-08-27,76.7049,5.6449,170.34,1.0015
2001-08-28,78.1073,9.5994,146.96,1.0881
2001-08-29,100.9602,7.0849,81.83,1.0825
2001-08-30,90.2833,6.3006,87.82,0.947
2001-08-31,94.1086,8.7532,93.49,1.15
2001-09-03,93.4317,7.5736,101.4,0.923
2001-09-04,83.606,8.2856,114.17,0.9725
2001-09-05,88.089,5.8083,101.06,1.2829
2001-09-06,82.609,8.6099,82.61,1.1537
2001-09-07,92.021,6.5813,106.38,1.2837
2001-09-10,73.0531,5.68,129.15,1.2093
2001-09-11,91.1851,8.1411,69.1,1.1335
2001-09-12,104.1273,6.3155,88.44,1.119
2001-09-13,107.0625,6.2554,124.31,1.2163
2001-09-14,106.4385,5.8157,91.66,0.8436
2001-09-17,99.9878,9.1043,136.13,0.9483
2001-09-18,85.0751,5.2148,112.15,1.0863
2001-09-19,104.0597,6.011,107.96,0.8664
2001-09-20,100.206,7.4852,86.6,1.2397
2001-09-21,97.6842,8.5406,99.72,1.2717
2001-09-24,82.9956,4.8209,93.52,0.8535
2001-09-25,98.9191,9.3165,116.86,0.9986
2001-09-26,109.0589,7.6312,108.69,1.0159
2001-09-27,102.4039,4.9184,126.67,0.9538
2001-09-28,92.7571,7.3749,114.68,1.1019
2001-10-01,100.4481,7.4459,66.49,1.1271
2001-10-02,95.0625,6.7483,130.28,1.0727
2001-10-03,96.7954,6.8996,100.0,1.2587
2001-10-04,103.4236,5.4378,123.01,1.0153
2001-10-05,98.4373,8.1667,109.42,1.3768
2001-10-08,95.7454,8.2713,90.46,0.991
2001-10-09,98.8412,9.8593,87.01,0.9456
2001-10-10,86.873,3.6625,148.43,1.1357
2001-10-11,85.1172,7.7007,133.36,1.1317
2001-10-12,99.8323,6.4181,75.89,0.981
2001-10-15,89.1225,8.6896,135.06,1.1576
2001-10-16,100.5708,4.5313,128.14,1.0597
2001-10-17,76.7228,3.8436,65.95,1.0054
2001-10-18,106.9127,7.6276,121.19,0.9614
2001-10-19,94.0166,6.8309,95.23,1.426
2001-10-22,111.5635,7.0378,127.67,0.8537
2001-10-23,70.4059,7.9622,104.32,0.9827
2001-10-24,78.2966,7.1665,97.5,0.9744
2001-10-25,108.9665,4.1825,90.03,0.973
2001-10-26,96.5801,7.1062,101.81,1.1365
2001-10-29,98.0478,8.0875,108.87,1.017
2001-10-30,96.2684,9.5277,111.53,1.2007
2001-10-31,96.6268,7.1522,144.77,1.0342
2001-11-01,100.3849,7.1943,102.49,1.1547
2001-11-02,85.0136,5.316,104.08,1.1803
2001-11-05,93.3844,7.6076,87.7,1.1542
2001-11-06,107.9701,6.3394,101.76,1.0685
2001-11-07,96.8475,6.3169,122.39,1.3025
2001-11-08,88.8858,5.5874,147.45,1.2599
2001-11-09,96.0074,9.8634,81.98,0.9696
2001-11-12,105.4355,8.1928,126.59,1.2851
2001-11-13,93.076,5.5279,86.59,1.2229
2001-11-14,93.2929,7.61,90.59,1.0944
2001-11-15,99.9405,6.5517,99.84,1.0571
2001-11-16,103.5143,5.8111,86.06,1.0507
2001-11-19,109.7369,9.3972,116.7,1.2644
2001-11-20,93.7829,6.3756,133.91,0.9893
2001-11-21,98.5326,5.7807,111.8,1.182
2001-11-22,105.4557,4.7244,105.01,1.2686
2001-11-23,76.1747,7.2244,92.54,0.9955
2001-11-26,96.523,8.2222,128.84,1.1347
2001-11-27,99.6941,7.0066,99.06,1.0334
2001-11-28,94.2816,8.5578,117.52,1.2261
2001-11-29,86.6449,6.3228,100.03,1.0956
2001-11-30,100.9436,4.5684,106.42,1.0111
2001-12-03,107.4898,5.5144,70.25,0.9902
2001-12-04,94.2616,8.452,117.86,1.0697
2001-12-05,90.3485,5.5832,127.12,1.1342
2001-12-06,93.0175,2.8979,95.74,0.9555
2001-12-07,110.6465,6.2398,107.59,1.001
2001-12-10,107.544,5.4596,101.75,0.9926
2001-12-11,95.6149,6.6235,83.57,1.2414
2001-12-12,84.2854,8.0434,110.93,1.276
2001-12-13,82.6135,8.4548,129.85,1.0536
2001-12-14,92.0001,7.0086,110.97,0.886
2001-12-17,92.0747,5.9771,107.57,0.8631
2001-12-18,97.8749,7.6458,93.72,1.2046
2001-12-19,83.9755,7.3258,115.92,1.1971
2001-12-20,93.9885,8.2209,101.7,1.1871
2001-12-21,100.5416,7.1618,116.85,1.0438
2001-12-24,78.444,6.9342,84.0,1.0057
2001-12-25,118.1075,6.4045,108.82,1.2066
2001-12-26,100.991,6.5563,93.27,0.9935
2001-12-27,100.5043,8.0375,112.32,1.1544
2001-12-28,82.2991,8.3,108.97,1.026
2001-12-31,85.0606,6.2885,107.08,1.2491
2002-01-01,105.4238,7.5584,91.05,0.824
2002-01-02,104.134,10.2101,82.82,1.1768
2002-01-03,71.0352,6.6414,114.54,1.1642
2002-01-04,106.8145,5.9081,108.57,0.9997
2002-01-07,102.5696,5.2877,89.46,1.1782
2002-01-08,101.5328,6.6797,81.63,0.9239
2002-01-09,84.2562,9.3913,148.77,1.2368
2002-01-10,97.9063,5.3817,119.93,0.9466
2002-01-11,89.2978,4.8946,108.64,0.6695
2002-01-14,100.9516,8.1421,113.21,0.8851
2002-01-15,113.7154,5.7351,152.02,1.2158
2002-01-16,101.7608,9.1009,114.32,1.1503
2002-01-17,105.5153,9.0197,105.41,1.2169
2002-01-18,92.2711,7.9241,143.95,1.0607
2002-01-21,85.1936,5.8809,85.5,1.1221
2002-01-22,95.54,5.8421,112.19,1.0059
2002-01-23,105.7592,6.7501,115.54,1.0588
2002-01-24,110.0765,8.0638,122.92,1.1813
2002-01-25,94.8292,5.542,117.57,1.1187
2002-01-28,97.9611,7.2196,104.67,0.9296
2002-01-29,91.4571,5.3146,145.05,1.0714
