date,HKHSI,SH000001,SPX,IXIC,DJI
2021-06-04,19120.68,2973.69,5423.67,10899.14,37339.5
2021-06-07,17966.47,3411.48,3627.45,12819.58,34883.13
2021-06-08,20546.21,3305.19,4050.02,15956.33,32724.1
2021-06-09,20867.12,2841.75,4449.09,14101.24,30770.48
2021-06-10,27214.84,3722.15,4032.71,14177.67,31070.08
2021-06-11,15025.86,3125.68,4325.73,12755.56,31471.65
2021-06-14,17161.1,2233.73,4254.17,12834.79,34068.86
2021-06-15,20112.22,3404.18,3969.75,15306.82,37496.08
2021-06-16,18483.23,2688.64,3542.4,15219.3,36734.99
2021-06-17,23503.89,3623.13,3895.7,15182.57,30329.07
2021-06-18,17753.27,4070.03,4222.48,15779.63,32284.25
2021-06-21,18927.79,2773.65,5144.36,11236.61,36453.81
2021-06-22,16452.23,3332.53,5704.62,12879.94,35557.35
2021-06-23,23308.54,3737.81,4177.7,12387.12,39784.75
2021-06-24,23337.47,3222.1,4082.31,15523.78,32057.64
2021-06-25,20748.92,4363.7,4417.38,12282.03,42879.89
2021-06-28,20757.52,2800.35,4536.86,15769.78,33884.22
2021-06-29,24412.86,2810.63,4365.19,14986.63,30009.29
2021-06-30,18373.99,3816.06,4784.75,14031.4,31464.55
2021-07-01,18165.93,3110.42,4216.08,14178.58,34715.01
2021-07-02,25058.32,3090.06,4897.12,16198.05,38052.86
2021-07-05,22674.52,3185.92,4521.32,11917.13,41014.17
2021-07-06,18099.64,3719.45,4345.11,16672.05,37711.32
2021-07-07,23488.92,3236.18,5271.43,12944.18,32964.79
2021-07-08,17230.58,4093.37,4424.51,12063.69,28772.73
2021-07-09,16787.4,2498.23,5828.86,16419.17,36750.86
2021-07-12,19447.96,2993.63,4486.66,13776.22,42236.86
2021-07-13,21767.53,3650.07,4548.65,13895.92,31185.57
2021-07-14,16802.64,2800.36,4032.6,13496.07,34738.46
2021-07-15,13921.49,4051.02,4572.48,12972.39,29487.03
2021-07-16,26026.3,3002.54,4861.2,12785.64,39979.85
2021-07-19,21754.72,2942.72,4829.82,15808.12,29535.82
2021-07-20,20243.07,3391.91,4449.98,15918.53,33187.54
2021-07-21,18308.86,3313.27,5131.03,12611.0,27710.49
2021-07-22,20464.73,3161.92,4111.26,12799.95,39571.94
2021-07-23,21252.28,3449.76,4181.02,13524.27,35738.27
2021-07-26,14836.24,2835.22,4390.08,12680.27,32173.76
2021-07-27,19202.02,3725.26,4432.34,13711.21,39201.32
2021-07-28,20854.69,3412.1,4537.58,17254.95,42147.54
2021-07-29,16783.26,3105.94,4408.91,8471.4,33599.15
2021-07-30,23450.07,3253.87,5015.22,17576.09,31684.58
2021-08-02,19888.18,2637.06,4157.7,14349.86,35519.53
2021-08-03,19428.8,2967.9,4674.89,11090.81,26313.23
2021-08-04,22030.13,3036.01,3998.53,11448.22,38428.03
2021-08-05,17244.49,3607.19,3921.09,13974.12,33123.7
2021-08-06,16211.98,3688.41,4448.73,12132.46,33413.8
2021-08-09,26798.22,2490.3,5094.66,14564.29,31318.06
2021-08-10,24225.41,2761.72,4710.85,17489.67,41595.5
2021-08-11,19059.32,2609.9,4936.45,10015.82,41224.95
2021-08-12,15612.65,3568.37,4132.3,13004.31,42063.48
2021-08-13,21039.77,2831.8,4689.36,14788.9,32927.49
2021-08-16,17463.92,3421.63,4800.87,16952.58,36220.23
2021-08-17,15787.66,2514.87,4942.14,11366.49,30280.33
2021-08-18,20486.11,3192.13,4236.64,18029.44,34093.78
2021-08-19,11949.49,2857.14,4211.18,16583.06,32296.7
2021-08-20,18634.41,2783.07,4756.72,16785.1,38846.27
2021-08-23,17868.0,2338.52,4806.46,13430.65,35751.47
2021-08-24,24768.08,3559.14,4406.0,14240.43,32331.95
2021-08-25,18211.12,3341.98,5328.62,18802.82,30603.85
2021-08-26,22701.24,2466.25,4288.56,15880.46,37366.48
2021-08-27,18920.29,3168.7,3365.23,18296.76,33062.32
2021-08-30,19001.17,2435.81,4010.75,13282.78,38665.19
2021-08-31,18888.16,2797.72,4060.21,14497.28,31057.2
2021-09-01,21440.92,3428.05,5149.64,11587.81,35533.03
2021-09-02,22541.92,3444.38,4770.8,14473.47,33819.87
2021-09-03,20065.82,3357.53,4821.83,13671.29,35419.11
2021-09-06,21020.44,3356.58,4851.77,14309.34,37449.33
2021-09-07,17314.92,3443.22,4710.02,14947.82,40101.43
2021-09-08,21436.14,3284.65,4524.49,13551.89,34040.17
2021-09-09,15993.67,2990.22,3729.79,15853.7,28239.21
2021-09-10,22056.16,2889.58,4509.6,12071.35,40386.37
2021-09-13,17718.32,2696.13,4489.53,10749.16,29775.84
2021-09-14,21076.25,3454.65,4476.04,10615.65,33744.27
2021-09-15,21234.06,3040.27,4115.9,13795.96,23554.95
2021-09-16,20579.97,2997.01,5107.21,13271.87,34635.04
2021-09-17,18828.6,2909.47,4761.34,9370.26,36152.13
2021-09-20,20686.17,3226.91,4497.99,16502.74,37093.88
2021-09-21,21388.87,3555.67,4414.85,11084.26,32142.97
2021-09-22,21884.68,3516.76,4633.75,13856.35,28261.53
2021-09-23,18385.91,3924.78,3745.65,12179.44,40821.21
2021-09-24,21461.56,3405.45,4324.05,13179.84,33505.56
2021-09-27,17752.0,2947.72,4451.73,14533.75,34368.42
2021-09-28,18987.96,4501.15,4734.69,8914.52,43798.1
2021-09-29,21761.78,2914.54,4780.46,16483.25,30187.82
2021-09-30,20601.63,3159.29,4093.37,11910.48,31139.68
2021-10-01,20672.63,3492.54,4637.4,15959.84,37240.13
2021-10-04,20353.88,2762.43,4485.97,13652.43,39960.01
2021-10-05,18674.45,2720.94,4585.07,13181.09,28809.43
2021-10-06,24221.99,3167.33,4969.78,17313.2,38143.72
2021-10-07,18538.43,3925.67,4809.46,15622.06,39561.28
2021-10-08,23102.16,4014.9,3723.38,9081.07,34527.08
2021-10-11,19076.51,2833.45,4701.2,12218.64,33919.85
2021-10-12,18233.89,2605.71,4743.03,17075.78,32929.29
2021-10-13,18922.4,2739.05,4278.18,10744.5,36348.36
2021-10-14,25756.6,3315.35,4486.82,11575.23,36130.41
2021-10-15,19028.91,3130.94,4466.9,16314.2,46784.34
2021-10-18,20727.59,3309.35,4615.66,19928.87,35216.96
2021-10-19,24547.02,3763.05,4838.75,13705.32,38872.5
2021-10-20,20845.99,3193.14,4471.41,14297.72,31262.33
2021-10-21,18764.61,2842.96,4680.37,14140.16,33556.92
2021-10-22,18586.08,3277.83,4890.44,15454.58,31490.59
2021-10-25,23167.52,2782.86,3959.08,17281.25,39310.18
2021-10-26,19715.05,2667.25,4399.83,11126.5,37348.63
2021-10-27,19397.16,2766.65,4473.65,11470.35,35935.57
2021-10-28,19636.09,3355.0,3883.84,14700.33,36252.72
2021-10-29,20544.72,3651.53,4890.36,13055.07,32864.68
2021-11-01,20523.45,3054.85,4489.65,14678.13,33224.64
2021-11-02,18468.76,2908.67,5185.35,15196.96,33490.63
2021-11-03,16500.59,3114.93,4846.33,13371.44,39647.86
2021-11-04,23283.49,2414.18,5298.33,13002.91,37946.48
2021-11-05,24252.81,2781.24,4739.22,15319.02,36284.94
2021-11-08,18690.22,2355.24,4403.29,15993.71,38588.92
2021-11-09,19728.22,3371.98,5039.03,15109.59,40516.54
2021-11-10,20704.43,3732.68,5027.93,14914.47,38305.97
2021-11-11,16879.91,3474.24,4376.14,15328.67,39426.09
2021-11-12,19011.98,2932.47,3658.91,12931.66,37820.89
2021-11-15,18573.69,3828.06,5108.83,9999.31,32850.31
2021-11-16,22218.22,3037.29,4847.96,13232.53,34094.3
2021-11-17,19729.09,2750.62,4289.55,14155.87,29394.33
2021-11-18,17914.92,2858.09,4970.59,13192.15,31797.9
2021-11-19,14726.91,3426.3,4309.32,10448.55,33084.48
2021-11-22,20884.33,3370.62,4693.98,12762.87,39504.77
2021-11-23,19013.03,3443.41,4997.36,9854.33,34472.22
2021-11-24,12527.27,3168.19,4077.33,12909.28,39587.87
2021-11-25,18564.04,2894.14,3904.64,11397.48,20999.95
2021-11-26,20916.42,2502.54,4585.25,14555.94,27245.1
2021-11-29,23743.84,2701.61,4459.89,13423.02,36752.86
2021-11-30,22115.86,3153.95,3766.13,13851.27,33977.7
2021-12-01,19500.15,3292.09,4803.85,11687.64,33242.88
2021-12-02,23561.0,2944.4,4967.51,17039.77,39610.49
2021-12-03,16869.02,3360.69,4995.39,12792.23,47069.58
2021-12-06,23623.78,3081.86,3919.97,17276.35,34665.27
2021-12-07,24170.18,2681.33,5128.13,15441.37,35907.86
2021-12-08,22245.1,3805.92,3965.44,17710.55,35752.91
2021-12-09,16248.06,3618.53,4058.06,13345.76,34341.18
2021-12-10,10863.55,3338.11,4920.13,15617.05,31584.06
2021-12-13,25060.98,3170.63,4174.74,14244.72,34060.48
2021-12-14,19452.96,3178.9,3537.53,13820.64,31392.31
2021-12-15,18510.31,3551.75,5190.36,13054.9,34233.51
2021-12-16,19505.99,3264.58,4538.46,11281.78,31818.32
2021-12-17,21912.24,3126.95,4808.53,15396.92,32006.83
2021-12-20,13924.74,3659.13,5177.81,14829.2,37182.68
2021-12-21,21948.09,3320.1,4145.32,13096.05,41601.22
2021-12-22,21875.68,3296.61,5720.25,15145.04,30626.12
2021-12-23,21715.67,2718.13,5091.21,11902.23,31470.15
2021-12-24,21670.58,3507.36,4286.16,16065.4,42189.45
2021-12-27,14157.23,2868.3,4332.11,14249.89,37210.64
2021-12-28,18663.21,3392.98,5072.99,15827.34,36335.48
2021-12-29,23429.34,2782.16,4916.69,11907.69,34505.53
2021-12-30,19846.72,3022.77,4697.88,10122.77,35135.09
2021-12-31,24080.15,4084.36,4860.46,15329.72,30581.23
2022-01-03,21507.13,3539.58,5183.26,17866.96,40937.54
2022-01-04,19265.42,3411.7,4390.16,14134.75,39126.59
2022-01-05,24173.29,2804.74,4790.09,13586.44,34634.21
2022-01-06,23059.11,3176.94,3117.46,16226.66,38025.37
2022-01-07,24976.3,3059.43,3975.08,11537.17,25628.43
2022-01-10,23099.08,3390.78,4475.12,16198.02,37965.98
2022-01-11,16151.59,3105.12,4554.94,16416.44,34419.57
2022-01-12,19838.67,3571.0,3954.06,13682.73,35216.49
2022-01-13,15901.1,3677.4,4910.59,11907.35,31819.94
2022-01-14,15950.27,3314.01,4422.87,13326.74,33971.2
2022-01-17,24257.08,2877.84,4396.67,12555.54,28332.87
2022-01-18,20761.48,3327.08,3728.46,13952.36,38336.23
2022-01-19,19377.14,2237.42,5216.1,14090.34,41390.79
2022-01-20,19912.46,2749.37,4756.8,10841.18,28837.53
2022-01-21,26068.02,2398.16,4847.11,13343.69,39434.78
2022-01-24,23766.88,3691.76,3922.93,12845.75,34898.74
2022-01-25,23766.69,3186.24,4471.18,11791.51,39416.53
2022-01-26,23945.68,2622.57,4770.33,17406.55,30604.26
2022-01-27,20073.73,3566.73,4316.22,15043.89,37325.2
2022-01-28,15941.99,3619.24,5117.55,7651.59,34716.78
2022-01-31,15564.27,3474.74,5298.45,14440.7,35159.51
2022-02-01,23457.62,2863.54,5436.8,10389.21,41463.9
2022-02-02,24301.16,3285.61,4247.3,13204.49,31511.65
2022-02-03,20297.19,3247.89,3854.37,14576.19,38473.37
2022-02-04,20500.64,3034.64,4783.82,12378.93,36622.67
2022-02-07,19856.89,2954.96,3442.48,16166.04,38318.15
2022-02-08,19594.09,3086.61,3794.2,18050.83,38908.81
2022-02-09,21746.58,3010.23,4477.08,12823.03,38980.94
2022-02-10,17497.18,3013.36,3878.26,15468.53,34004.93
2022-02-11,23560.12,2780.88,5209.64,14731.08,33552.16
2022-02-14,18113.55,3400.02,4629.85,14564.15,34890.64
2022-02-15,21427.97,2557.21,4542.45,12011.57,39570.12
2022-02-16,18051.5,3454.03,4700.57,14060.61,33267.4
2022-02-17,20489.93,3495.15,5464.4,11722.8,38131.24
2022-02-18,22022.68,3052.94,4624.34,16809.21,35689.11
2022-02-21,20817.94,3610.33,4630.52,14027.04,37274.11
2022-02-22,22361.77,3376.37,3848.6,13305.73,32639.48
2022-02-23,21010.45,3003.88,4158.62,15615.08,36230.39
2022-02-24,21892.33,2351.22,4557.76,15667.25,43433.18
2022-02-25,16918.66,3077.7,4131.33,13069.76,35651.83
2022-02-28,16254.1,2610.38,5453.55,13559.2,36189.87
2022-03-01,21321.68,3186.45,4827.2,12333.14,38323.41
2022-03-02,18223.9,3562.34,4517.45,15753.38,36938.2
2022-03-03,16727.78,3596.29,4638.31,13780.21,30216.43
2022-03-04,24373.44,3037.25,4608.49,11273.21,27432.32
2022-03-07,19268.29,3600.8,5043.61,13589.38,39519.68
2022-03-08,15288.29,3135.69,4107.19,12736.74,37538.26
2022-03-09,20125.75,2306.65,4620.21,15530.28,27890.46
2022-03-10,21950.71,3486.3,4640.44,10788.52,37499.29
2022-03-11,23707.74,2770.44,5072.24,13055.18,37755.17
2022-03-14,25060.31,2792.59,4580.2,10803.53,31938.95
2022-03-15,22849.13,3432.14,4034.22,14128.04,36565.28
2022-03-16,16096.52,3018.94,4112.78,17202.02,35547.86
2022-03-17,15805.03,2838.55,4904.22,14799.29,32018.4
2022-03-18,19678.77,3026.3,5247.48,12784.66,35057.08
2022-03-21,25745.95,3031.08,5280.16,14279.6,27724.61
2022-03-22,19463.09,3472.72,4963.36,15459.64,38179.3
2022-03-23,23568.48,3660.91,4735.3,14284.69,35178.17
2022-03-24,23945.33,2880.51,4160.22,12403.24,34641.07
2022-03-25,15417.76,2626.88,4873.85,12327.69,36705.55
2022-03-28,19086.82,2865.5,3756.51,12978.83,35233.57
2022-03-29,19566.27,3570.1,4975.78,13633.65,33874.12
2022-03-30,20133.33,3446.13,4114.59,11727.63,35262.56
2022-03-31,20026.88,3069.8,4673.91,15997.32,32984.75
2022-04-01,18536.87,3349.97,4249.86,10579.34,37446.0
2022-04-04,18602.47,2916.16,4938.65,16769.4,41854.09
2022-04-05,21847.93,3186.14,4830.32,16516.89,34002.84
2022-04-06,21163.32,3369.22,4169.76,17784.51,29252.54
2022-04-07,19965.22,3276.33,5312.17,15166.63,30794.21
2022-04-08,14940.66,3918.58,4176.95,14071.77,31823.11
2022-04-11,21762.28,3480.38,4719.35,11987.11,31495.5
2022-04-12,19997.52,3709.3,4995.98,15117.87,34464.2
2022-04-13,22518.56,3511.25,4621.21,14449.44,36637.57
2022-04-14,20589.05,3232.39,4166.75,13813.96,29376.54
2022-04-15,19737.21,3420.53,4363.21,13429.96,39023.4
2022-04-18,19667.9,3537.94,4029.22,12631.76,32062.22
2022-04-19,20625.47,3699.35,3853.44,12250.92,37356.11
2022-04-20,23394.1,3968.27,4429.09,17092.02,34573.75
2022-04-21,18432.3,2988.56,4014.43,18177.76,28063.14
2022-04-22,14485.52,3044.27,4507.03,11344.34,35207.89
2022-04-25,20612.97,3472.94,3749.01,15359.43,33806.83
2022-04-26,15922.92,2994.55,4676.55,16137.49,31632.69
2022-04-27,18808.16,3681.06,3521.02,10466.64,27940.45
2022-04-28,18955.21,2985.5,4595.1,13786.92,34724.45
2022-04-29,21500.12,3885.38,4850.39,16409.27,39934.69
2022-05-02,25972.15,3145.97,5145.42,11683.01,34776.93
2022-05-03,20256.48,3178.89,3722.44,12709.48,31229.92
2022-05-04,18615.86,3299.93,5134.27,15499.6,37804.33
2022-05-05,21209.65,2627.29,4493.98,13993.24,33777.16
2022-05-06,17215.61,3700.15,3795.81,11731.78,37093.59
2022-05-09,20649.08,2963.87,4864.35,14679.65,28422.63
2022-05-10,18814.5,3155.45,5205.58,15579.01,24178.73
2022-05-11,27280.13,2883.45,4565.51,14314.09,32533.91
2022-05-12,17320.49,2991.56,4069.4,15313.87,28993.31
2022-05-13,19159.68,3409.89,4300.16,18040.3,39353.28
2022-05-16,23118.78,3430.55,4023.7,13960.77,27830.01
2022-05-17,16029.61,3122.92,4406.43,13987.64,34364.56
2022-05-18,19167.82,3928.57,3616.11,16195.36,30080.35
2022-05-19,18086.16,3571.8,4340.9,13344.71,31563.03
2022-05-20,12599.04,3113.31,5623.72,15639.56,37091.1
2022-05-23,17074.74,3414.63,5675.86,13185.19,28277.48
2022-05-24,19622.89,2943.53,4655.79,16402.58,35289.63
2022-05-25,17874.84,2474.95,4700.68,17007.93,43371.16
2022-05-26,12583.05,4143.11,4805.63,11095.07,36383.12
2022-05-27,13633.04,3190.21,4360.02,13204.59,32369.15
2022-05-30,20222.13,3308.27,4375.08,16405.33,39090.24
2022-05-31,21492.8,3988.87,4470.69,14792.0,31256.45
2022-06-01,19538.79,2840.3,3962.16,11256.91,41619.88
2022-06-02,25401.37,1932.66,4425.01,13118.17,34174.28
2022-06-03,15432.09,3535.08,3681.71,15655.37,31098.8
2022-06-06,24888.3,2713.63,5297.02,11540.68,27076.15
2022-06-07,19510.74,3183.98,5258.56,15723.46,38275.93
2022-06-08,23752.1,3928.03,4905.69,16671.46,30282.05
2022-06-09,16581.96,2646.65,4808.94,14712.28,33343.99
2022-06-10,15137.23,3258.71,3362.47,14226.38,46332.94
2022-06-13,21145.82,3180.82,4106.7,17221.34,32863.77
2022-06-14,20135.11,3392.43,4818.62,14550.87,33143.5
2022-06-15,11573.64,3533.83,4008.12,10607.34,29546.73
2022-06-16,16856.55,3031.96,4216.84,14258.07,34920.2
2022-06-17,20599.42,3138.54,5283.72,10959.63,32748.89
2022-06-20,16341.35,2744.8,4899.12,16149.62,35465.44
2022-06-21,18189.24,3604.04,4531.68,13445.72,30048.96
2022-06-22,21329.58,2713.24,4949.31,18321.22,26917.02
2022-06-23,22378.3,2404.09,4234.77,11325.65,39107.27
2022-06-24,20919.97,2940.65,4656.99,16838.92,38746.87
2022-06-27,18977.55,3045.84,3418.05,13014.72,33697.03
2022-06-28,10515.86,3326.49,4753.77,9854.1,33098.22
2022-06-29,21157.83,3795.8,3693.26,15022.12,37121.14
2022-06-30,18790.07,2579.79,5091.48,15883.05,33753.35
2022-07-01,21793.09,3872.87,4057.2,15226.98,34646.2
2022-07-04,23489.61,2790.84,4634.6,12266.71,38758.08
2022-07-05,21322.87,2632.51,4464.92,10814.44,40989.8
2022-07-06,21581.75,3124.55,5694.21,9943.25,31510.83
2022-07-07,25910.66,3268.42,3703.14,15981.87,30366.69
2022-07-08,18856.98,3123.56,4952.13,12330.78,31435.96
2022-07-11,17926.44,3359.79,4542.63,13534.21,27942.37
2022-07-12,26133.18,3399.43,5260.72,16581.14,31936.27
2022-07-13,18126.97,2850.05,4299.83,17297.45,42735.87
2022-07-14,22468.91,3638.26,5324.69,14843.06,37700.88
2022-07-15,19228.29,3152.89,4942.82,12578.08,32777.43
2022-07-18,25244.39,3326.95,5067.8,16899.98,32362.47
2022-07-19,20970.86,2511.87,5063.88,13366.96,36297.71
2022-07-20,21514.06,2805.83,3778.54,11470.65,33577.46
2022-07-21,20405.27,3174.8,3882.24,11122.54,33592.38
2022-07-22,20792.58,2887.96,4698.67,9036.86,38969.49
2022-07-25,18107.32,3909.41,5273.76,12843.85,39234.38
2022-07-26,17957.1,3187.11,4150.64,16464.73,41069.37
2022-07-27,16574.92,3604.72,3788.82,14927.34,30804.16
2022-07-28,20590.54,3403.38,3606.71,11549.8,34090.29
2022-07-29,20801.01,4177.86,3917.12,14977.63,35322.65
2022-08-01,26536.78,2840.62,4378.52,14004.95,33716.25
2022-08-02,17711.6,3834.47,4813.35,10779.71,41450.1
2022-08-03,27817.03,2997.58,4518.36,12396.34,34707.54
2022-08-04,21447.69,3423.17,5415.21,15416.51,34051.34
2022-08-05,22341.89,2679.04,4486.52,13664.75,33652.58
2022-08-08,17757.04,3244.79,4141.41,13587.45,30587.98
2022-08-09,16779.54,3081.15,4214.99,11214.76,39716.64
2022-08-10,24624.36,2940.02,4278.55,13319.07,36172.91
2022-08-11,24621.19,3216.03,4936.99,15023.1,39871.14
2022-08-12,22176.87,3087.32,4355.27,14972.3,33743.19
2022-08-15,20577.02,3800.38,3642.16,15239.39,34503.45
2022-08-16,17425.3,3522.4,4639.04,9256.96,35039.33
2022-08-17,19059.34,2734.09,4608.44,15330.29,31175.37
2022-08-18,20869.52,2595.72,4072.23,14901.48,33153.76
2022-08-19,22325.17,3414.36,4851.3,11504.98,33008.01
2022-08-22,15251.02,3215.27,4697.22,12735.45,41160.96
2022-08-23,23409.55,3301.88,4680.56,12310.84,29639.29
2022-08-24,17962.56,3775.8,5033.85,19576.28,35938.62
2022-08-25,22041.15,2825.33,4255.37,19572.56,31564.83
2022-08-26,20184.07,3325.01,5056.64,13582.44,37372.04
2022-08-29,20165.35,3449.7,4957.51,10063.61,27211.0
2022-08-30,18129.13,3440.93,4513.86,16251.73,37618.26
2022-08-31,20926.25,2880.99,3297.84,12319.18,39296.48
2022-09-01,19845.67,3312.25,4203.26,14577.21,24581.94
