date,黄金,白银,原油,铜
2021-08-12,359.73,5458.74,69.65,9142.73
2021-08-13,470.1,6775.89,113.3,10506.77
2021-08-16,484.37,5256.7,94.94,6740.38
2021-08-17,420.8,6316.98,80.72,7012.93
2021-08-18,491.36,6235.44,69.89,9326.88
2021-08-19,393.02,6164.85,88.85,9639.19
2021-08-20,395.15,6756.77,109.35,8492.99
2021-08-23,407.41,4128.17,72.79,9115.81
2021-08-24,413.1,5917.92,92.06,9979.92
2021-08-25,398.51,5281.27,66.46,5414.72
2021-08-26,498.62,5278.17,97.35,11906.36
2021-08-27,395.37,6637.49,85.32,10535.29
2021-08-30,426.14,5112.57,107.08,9293.54
2021-08-31,417.39,5026.5,91.1,9883.06
2021-09-01,561.48,6559.65,85.37,8028.9
2021-09-02,404.15,3972.08,72.49,8575.4
2021-09-03,473.7,6656.47,69.78,7956.05
2021-09-06,542.01,4711.88,77.6,8708.06
2021-09-07,389.7,7082.46,92.39,8465.24
2021-09-08,407.59,4954.85,84.42,9068.31
2021-09-09,433.02,6048.12,87.39,10895.83
2021-09-10,382.64,5834.32,86.11,10167.54
2021-09-13,511.83,5673.56,96.25,10323.74
2021-09-14,425.72,6019.99,108.32,8934.56
2021-09-15,503.02,5581.63,86.72,6774.82
2021-09-16,476.72,6493.82,95.54,11715.0
2021-09-17,450.88,6107.07,60.73,8824.52
2021-09-20,498.23,4159.19,54.02,10330.24
2021-09-21,434.5,3420.34,68.49,9460.96
2021-09-22,503.05,7451.63,90.03,8977.77
2021-09-23,383.6,3715.36,65.86,9269.0
2021-09-24,412.27,5634.06,64.87,9808.22
2021-09-27,510.7,5078.45,92.22,8875.42
2021-09-28,344.22,5044.9,81.32,7057.39
2021-09-29,473.82,4832.25,79.98,7877.08
2021-09-30,429.16,7279.85,71.76,10434.54
2021-10-01,422.38,6353.17,91.9,9551.03
2021-10-04,414.75,4667.72,85.34,9186.8
2021-10-05,514.54,6122.97,81.59,11439.19
2021-10-06,373.1,5725.34,66.29,10596.78
2021-10-07,491.76,7185.23,62.65,7699.09
2021-10-08,473.86,5635.11,105.28,9110.66
2021-10-11,428.51,4162.06,72.28,7963.68
2021-10-12,445.56,6967.84,75.22,7457.88
2021-10-13,485.35,7045.06,72.13,9519.95
2021-10-14,420.11,7109.19,62.09,6552.42
2021-10-15,373.92,6186.87,63.43,10765.47
2021-10-18,464.1,3978.79,85.36,11490.24
2021-10-19,407.67,4624.3,51.09,8242.89
2021-10-20,429.35,5240.65,96.6,8189.88
2021-10-21,452.63,5619.49,59.06,9106.8
2021-10-22,486.86,5122.99,53.2,7530.33
2021-10-25,540.83,5924.49,48.98,10468.42
2021-10-26,467.13,4514.91,80.43,8163.28
2021-10-27,455.76,4961.54,112.84,9822.29
2021-10-28,490.98,4763.71,95.17,9486.95
2021-10-29,464.29,5247.34,89.22,9784.94
2021-11-01,365.44,4088.59,76.88,7889.11
2021-11-02,419.86,7059.59,91.96,6368.86
2021-11-03,388.02,4542.46,85.24,9976.52
2021-11-04,484.83,4844.82,84.3,9281.18
2021-11-05,513.67,5771.14,86.81,9145.92
2021-11-08,467.81,4726.16,107.12,10527.16
2021-11-09,398.42,6190.68,99.19,7147.14
2021-11-10,490.06,6165.75,106.81,7796.12
2021-11-11,401.82,6251.47,81.71,6982.37
2021-11-12,462.67,4771.44,99.51,11526.02
2021-11-15,390.01,4694.17,93.37,9037.78
2021-11-16,380.64,5080.93,62.82,9972.86
2021-11-17,379.78,4984.77,69.45,7288.66
2021-11-18,450.86,5376.13,94.78,7006.39
2021-11-19,416.91,5598.26,82.73,9067.07
2021-11-22,471.82,5362.93,97.09,9825.95
2021-11-23,385.03,4997.41,84.05,9190.59
2021-11-24,474.51,6354.04,81.55,8824.95
2021-11-25,419.04,6435.41,70.43,11122.25
2021-11-26,512.63,6121.24,52.73,7624.1
2021-11-29,500.99,5912.17,95.53,11853.34
2021-11-30,439.19,5806.58,73.82,6865.74
2021-12-01,455.41,6788.94,79.28,7177.98
2021-12-02,462.18,4975.98,71.87,8666.68
2021-12-03,473.19,4416.37,89.19,8576.14
2021-12-06,436.29,5293.74,76.54,10034.46
2021-12-07,504.78,5411.13,72.08,7689.42
2021-12-08,424.58,5177.71,72.42,7226.26
2021-12-09,353.74,5223.41,72.72,8837.46
2021-12-10,462.32,5246.49,80.44,9873.97
2021-12-13,444.58,5698.29,86.59,11025.68
2021-12-14,491.62,4872.16,41.09,7521.76
2021-12-15,479.8,4612.8,67.21,8889.0
2021-12-16,456.47,5382.73,76.69,10553.87
2021-12-17,455.36,5870.83,96.26,11003.8
2021-12-20,456.34,5311.97,91.97,9222.58
2021-12-21,417.04,4416.48,72.04,8304.19
2021-12-22,389.13,5440.52,66.23,7069.46
2021-12-23,408.95,5008.82,80.33,11041.45
2021-12-24,445.43,5862.34,66.74,6342.42
2021-12-27,336.73,5093.08,89.94,9889.49
2021-12-28,428.21,5451.96,105.76,9051.08
2021-12-29,400.9,6248.49,97.83,8409.09
2021-12-30,445.59,5604.49,95.08,9817.88
2021-12-31,409.33,5431.19,69.48,7339.07
2022-01-03,453.11,5282.22,50.99,9409.62
2022-01-04,438.59,4840.28,64.75,9442.84
2022-01-05,514.8,5959.01,88.02,11900.5
2022-01-06,432.84,4360.29,109.54,9651.44
2022-01-07,437.82,4978.74,98.26,9216.33
2022-01-10,451.29,4676.99,87.05,8762.53
2022-01-11,359.11,5898.15,69.63,10273.8
2022-01-12,396.39,7369.17,88.38,8994.85
2022-01-13,521.81,4480.94,70.96,9405.57
2022-01-14,475.82,6072.17,61.21,10532.89
2022-01-17,454.21,5476.44,69.43,7969.82
2022-01-18,504.08,7192.32,66.87,7782.14
2022-01-19,440.99,3481.85,105.36,7012.31
2022-01-20,437.54,4795.27,71.58,10981.82
2022-01-21,434.87,6011.58,96.94,10776.01
2022-01-24,361.2,5560.41,84.76,9546.02
2022-01-25,496.95,5903.5,82.22,11136.74
2022-01-26,440.54,4070.63,87.76,10967.69
2022-01-27,445.29,5303.93,87.03,8437.0
2022-01-28,433.29,5015.79,113.25,9152.74
2022-01-31,418.25,7307.35,66.79,11349.79
2022-02-01,337.04,5874.27,75.74,9717.62
2022-02-02,457.56,5904.16,87.85,10282.39
2022-02-03,559.05,5347.46,94.08,7454.83
2022-02-04,499.41,6788.75,63.82,9974.26
2022-02-07,435.59,5672.64,77.18,6098.59
2022-02-08,403.77,5878.11,101.78,10532.09
2022-02-09,451.28,4779.86,80.49,6122.56
2022-02-10,468.54,6371.29,79.09,8372.09
2022-02-11,443.98,6330.49,77.9,10003.33
2022-02-14,491.7,4658.55,72.09,8580.49
2022-02-15,402.34,4883.74,95.59,9255.53
2022-02-16,503.38,5839.79,66.02,7680.83
2022-02-17,457.76,5371.5,89.43,11558.06
2022-02-18,422.54,4767.87,87.49,10537.56
2022-02-21,435.82,5651.62,61.75,8534.0
2022-02-22,467.37,6092.49,89.36,11515.87
2022-02-23,488.11,5508.52,94.29,8184.33
2022-02-24,453.62,5145.87,108.63,9156.76
2022-02-25,479.09,5842.4,89.94,8258.99
2022-02-28,570.18,5342.17,81.89,10231.36
2022-03-01,368.05,5265.34,86.95,10916.74
2022-03-02,349.73,5867.61,63.65,7742.08
2022-03-03,454.44,6672.35,93.19,6583.94
2022-03-04,401.61,6627.93,93.77,9685.77
2022-03-07,455.65,5710.48,64.62,9382.98
2022-03-08,369.48,5310.51,53.98,9731.99
2022-03-09,456.65,5580.72,60.98,8556.81
2022-03-10,515.54,5783.47,76.29,10861.31
2022-03-11,505.42,6108.02,73.13,8921.89
2022-03-14,395.1,5386.71,99.92,8622.63
2022-03-15,434.52,5521.93,85.58,7014.19
2022-03-16,494.26,5817.63,75.02,8732.75
2022-03-17,541.23,4727.63,91.16,8162.95
2022-03-18,402.34,5516.16,83.01,8624.19
2022-03-21,407.3,5772.74,71.0,8707.34
2022-03-22,505.88,6179.34,67.65,11295.08
2022-03-23,432.04,5764.34,75.8,10864.28
2022-03-24,398.66,5053.67,100.92,8938.01
2022-03-25,502.56,4519.66,93.91,11779.39
2022-03-28,366.0,4847.87,111.29,8534.0
2022-03-29,415.8,4367.26,75.07,9087.09
2022-03-30,498.32,4548.12,88.86,7269.07
2022-03-31,418.58,4851.89,71.51,7982.49
2022-04-01,488.19,5003.6,72.12,13873.21
2022-04-04,388.67,5898.81,67.07,6842.32
2022-04-05,488.77,5250.63,59.38,7839.08
2022-04-06,473.61,5305.13,96.72,9088.3
2022-04-07,531.03,5575.75,76.91,5837.04
2022-04-08,437.71,4785.81,60.79,10262.76
2022-04-11,432.37,4393.56,59.65,10260.57
2022-04-12,445.21,4906.83,78.08,9625.72
2022-04-13,502.38,4582.82,82.29,6885.55
2022-04-14,412.87,6674.32,83.55,7574.54
2022-04-15,442.89,6672.7,63.03,8128.96
2022-04-18,547.48,5402.03,60.71,9916.56
2022-04-19,489.01,5768.76,53.2,12362.68
2022-04-20,486.21,6694.65,86.12,7855.26
2022-04-21,423.95,6661.6,78.48,8292.95
2022-04-22,493.05,6349.87,101.15,7766.02
2022-04-25,391.77,6116.54,74.74,9622.05
2022-04-26,375.4,6457.23,84.06,7077.87
2022-04-27,402.88,4622.24,71.72,9490.82
2022-04-28,520.89,3832.88,56.49,11236.95
2022-04-29,458.36,4835.92,96.11,7967.43
2022-05-02,403.3,5865.18,56.29,9264.58
2022-05-03,432.09,4748.53,91.14,8829.21
2022-05-04,472.54,5132.15,97.56,7128.02
2022-05-05,509.08,5485.27,64.25,7826.78
2022-05-06,368.33,5434.87,73.05,8212.56
2022-05-09,516.85,4608.05,77.75,6478.01
2022-05-10,496.57,5311.44,72.26,7064.5
2022-05-11,415.12,6223.58,91.67,10336.98
2022-05-12,430.03,5983.12,55.33,8616.31
2022-05-13,474.53,5484.29,59.02,7702.03
2022-05-16,435.67,5330.8,81.93,9785.05
2022-05-17,456.87,6666.7,65.67,9522.49
2022-05-18,396.99,6835.88,89.43,7309.15
2022-05-19,358.86,4684.29,65.03,8653.24
2022-05-20,571.44,4986.55,68.42,4925.76
2022-05-23,458.53,5078.67,99.48,8666.56
2022-05-24,461.22,5970.83,69.1,11031.16
2022-05-25,475.44,5474.16,64.19,9184.48
2022-05-26,516.77,5221.05,76.57,8472.34
2022-05-27,496.45,6805.47,80.5,10039.03
2022-05-30,398.58,5863.47,79.6,6271.32
2022-05-31,444.35,4812.73,76.51,11487.9
2022-06-01,453.46,5499.03,104.67,10165.31
2022-06-02,488.09,5387.99,65.18,10632.62
2022-06-03,419.98,6695.63,78.44,6194.82
2022-06-06,469.07,3953.53,88.79,6943.67
2022-06-07,461.26,5446.96,61.88,8160.88
2022-06-08,518.97,5637.55,92.47,6361.38
2022-06-09,319.55,6468.37,87.81,10129.15
2022-06-10,453.98,5491.96,63.12,8295.56
2022-06-13,466.96,6106.55,97.93,6110.55
2022-06-14,483.73,6126.49,98.15,9492.59
2022-06-15,449.57,4101.21,61.4,8986.43
2022-06-16,408.57,5015.18,90.83,8592.24
2022-06-17,483.47,4962.56,70.32,7358.72
2022-06-20,468.44,5538.39,77.73,8942.91
2022-06-21,407.95,4412.5,86.4,8737.85
2022-06-22,381.94,5770.67,87.09,7324.35
2022-06-23,477.89,5184.69,75.87,10243.63
2022-06-24,406.63,5619.5,67.42,8471.03
2022-06-27,482.49,3618.83,95.09,8936.21
2022-06-28,525.79,5699.2,69.89,8723.53
2022-06-29,460.3,5662.04,77.14,8314.05
2022-06-30,461.44,4295.85,70.57,7601.07
2022-07-01,456.27,5236.43,80.49,8593.15
2022-07-04,519.3,5853.67,66.65,6723.16
2022-07-05,520.15,7086.43,81.53,9586.71
2022-07-06,454.21,4901.15,80.66,8321.41
2022-07-07,487.12,5456.85,85.93,8877.65
2022-07-08,452.25,4737.66,88.89,9590.89
2022-07-11,425.15,5839.62,108.84,9079.97
2022-07-12,488.41,4282.42,79.18,8712.47
2022-07-13,445.56,4897.13,79.34,6695.92
2022-07-14,407.5,5485.37,73.29,11128.34
2022-07-15,375.1,5388.7,67.42,7345.39
2022-07-18,499.61,5084.36,101.03,6040.84
2022-07-19,401.81,5071.48,72.25,9199.37
2022-07-20,394.47,4837.04,57.09,7940.42
2022-07-21,436.82,6109.41,69.63,6796.73
2022-07-22,486.97,5383.11,92.45,7723.9
2022-07-25,363.63,4290.65,62.8,5943.5
2022-07-26,481.84,5761.45,101.97,7665.81
2022-07-27,469.58,5812.93,91.96,8814.43
2022-07-28,389.21,6450.76,82.04,11804.76
2022-07-29,393.04,6821.72,69.86,10322.97
2022-08-01,441.28,5439.0,70.09,10931.18
2022-08-02,546.69,6555.2,90.95,8799.05
2022-08-03,437.46,5682.93,84.64,9121.17
2022-08-04,504.3,5942.68,73.43,9618.17
2022-08-05,497.19,5093.6,55.74,7543.95
2022-08-08,370.63,5447.79,86.9,8326.17
2022-08-09,449.93,5182.93,59.16,10388.55
2022-08-10,499.35,3840.57,86.49,8983.18
2022-08-11,425.15,5220.13,74.99,6135.49
2022-08-12,511.1,4228.25,74.97,9276.61
2022-08-15,396.13,5686.08,75.51,6903.63
2022-08-16,376.54,3501.6,67.2,11130.47
2022-08-17,428.09,5575.08,76.75,12061.25
2022-08-18,482.94,4074.16,88.1,8840.98
2022-08-19,430.83,4728.4,81.82,9543.23
2022-08-22,496.24,5235.52,87.69,7372.67
2022-08-23,372.94,5747.02,77.71,8104.09
2022-08-24,421.11,4612.87,79.21,8507.71
2022-08-25,518.62,5356.8,66.36,8559.22
2022-08-26,327.43,6255.65,60.83,7995.83
2022-08-29,465.7,5356.84,107.56,8540.73
2022-08-30,405.75,5861.37,85.27,7690.93
2022-08-31,413.02,5408.07,97.29,9590.8
2022-09-01,433.87,6387.65,72.95,8738.42
2022-09-02,376.75,6096.83,105.73,11032.06
2022-09-05,496.61,6443.89,108.87,7789.39
2022-09-06,479.39,5387.01,72.16,9881.21
2022-09-07,511.23,5280.73,92.99,9137.73
2022-09-08,458.44,3106.92,52.81,8572.85
2022-09-09,403.0,4530.83,73.8,11630.89
2022-09-12,482.66,4584.53,79.36,11158.95
2022-09-13,383.28,6171.59,87.31,8286.59
2022-09-14,404.37,5074.54,92.85,11503.96
2022-09-15,555.24,4594.79,76.13,6610.26
2022-09-16,504.1,5218.03,87.65,7975.2
2022-09-19,472.45,4844.37,78.96,6978.65
2022-09-20,524.51,4530.25,111.8,8351.56
2022-09-21,435.83,4415.93,55.86,9515.46
2022-09-22,479.75,6195.66,73.91,8486.04
2022-09-23,409.7,6625.2,82.25,8872.85
2022-09-26,433.73,5327.32,82.31,11992.44
2022-09-27,454.85,5666.1,43.89,8749.49
2022-09-28,525.29,6122.04,66.5,7891.07
2022-09-29,415.58,5076.29,88.88,10298.71
2022-09-30,503.43,5674.73,85.11,8502.8
2022-10-03,450.05,4393.31,45.33,8776.78
2022-10-04,362.41,3810.52,73.32,6949.29
2022-10-05,353.82,4777.31,84.4,7881.01
2022-10-06,415.61,6291.14,78.16,9327.72
2022-10-07,504.32,5312.91,73.82,6648.71
2022-10-10,463.48,4378.05,45.64,9309.94
2022-10-11,541.71,5743.22,60.04,8447.64
2022-10-12,459.66,6386.64,72.84,7104.18
2022-10-13,521.66,4676.59,98.44,8192.68
2022-10-14,463.16,5903.16,68.79,7205.12
2022-10-17,404.87,7167.44,80.03,10597.35
2022-10-18,486.45,5144.55,65.51,7059.8
2022-10-19,413.29,5537.19,79.64,10071.4
2022-10-20,379.8,4854.45,98.98,9408.68
2022-10-21,412.91,4279.1,76.29,9980.34
2022-10-24,431.07,4340.27,77.02,9797.91
2022-10-25,463.17,6205.12,96.28,9015.69
2022-10-26,493.39,5831.92,65.15,10339.12
2022-10-27,481.24,5281.3,79.97,9000.54
2022-10-28,555.62,7048.82,68.02,8325.04
2022-10-31,352.42,5176.02,93.62,9195.41
2022-11-01,441.69,5571.56,75.21,9720.6
2022-11-02,580.6,6094.8,96.32,6063.34
2022-11-03,435.13,4952.19,106.77,9762.74
2022-11-04,387.67,4662.45,67.56,9647.74
2022-11-07,412.97,5050.98,99.07,8871.56
2022-11-08,402.19,4593.63,99.94,7616.55
2022-11-09,426.15,5578.35,76.92,10953.47
2022-11-10,537.81,5648.76,68.0,9097.17
2022-11-11,380.8,4985.21,96.58,10357.52
2022-11-14,416.08,3758.5,80.5,11590.22
2022-11-15,522.21,4998.14,74.3,5667.07
2022-11-16,465.94,4378.76,84.53,6076.55
2022-11-17,467.61,5078.62,77.16,10857.78
2022-11-18,432.15,5692.74,83.71,6597.24
2022-11-21,498.4,6658.7,95.07,6069.82
2022-11-22,399.98,6540.88,87.3,10701.08
2022-11-23,499.18,4376.97,69.55,10079.59
2022-11-24,457.3,5577.45,83.44,9576.03
2022-11-25,441.71,5001.04,65.83,9112.66
2022-11-28,424.27,5625.21,60.45,8458.47
2022-11-29,498.91,6898.69,83.04,10064.74
2022-11-30,468.16,6026.35,92.48,8425.38
2022-12-01,431.52,5824.6,52.1,8682.78
2022-12-02,457.18,5140.1,98.2,10517.41
2022-12-05,398.54,4952.36,115.87,10051.15
2022-12-06,515.52,5265.05,106.96,6018.43
2022-12-07,520.73,6000.7,31.31,6247.6
2022-12-08,508.32,6779.36,89.98,7426.39
2022-12-09,465.97,5997.69,83.14,9487.34
2022-12-12,477.13,5385.25,92.98,9416.3
2022-12-13,383.29,5474.78,101.37,10893.9
2022-12-14,433.13,6136.18,84.72,9407.01
2022-12-15,439.34,6906.72,55.94,10581.84
2022-12-16,444.97,7163.38,69.9,10952.7
2022-12-19,483.32,4775.02,82.53,9960.63
2022-12-20,429.59,4384.21,83.49,8572.67
2022-12-21,414.62,6281.65,91.58,10224.83
2022-12-22,511.99,6219.44,82.09,7173.97
2022-12-23,436.01,6393.22,103.18,8719.93
2022-12-26,419.39,6916.47,66.0,10492.61
2022-12-27,350.49,5382.3,71.39,7841.69
2022-12-28,383.11,6203.94,94.17,7469.3
2022-12-29,439.91,4672.46,86.5,11368.95
2022-12-30,465.04,6550.77,112.03,10457.72
2023-01-02,362.04,5432.82,65.91,9640.14
2023-01-03,450.41,5407.1,51.13,12305.73
2023-01-04,467.66,4617.23,75.36,9572.48
2023-01-05,425.87,6649.01,98.45,8403.58
2023-01-06,453.93,6286.51,68.6,9469.29
2023-01-09,521.64,6043.46,65.08,10185.74
2023-01-10,413.55,4427.27,90.14,8605.76
2023-01-11,366.15,4898.46,82.35,8706.93
2023-01-12,431.99,6377.57,83.9,11295.67
2023-01-13,406.74,5391.08,77.09,10228.16
2023-01-16,448.44,5651.85,59.22,10251.04
2023-01-17,485.75,5776.66,116.45,9361.69
2023-01-18,495.39,5155.53,69.8,8712.48
2023-01-19,466.95,6378.7,97.57,11879.24
2023-01-20,521.02,3876.16,54.31,7937.77
2023-01-23,468.96,6813.97,70.89,11403.9
2023-01-24,502.23,6765.42,55.01,11218.48
2023-01-25,468.38,5872.25,58.66,6682.28
2023-01-26,464.57,6116.17,56.38,11826.79
2023-01-27,425.43,5398.26,88.58,9301.16
2023-01-30,450.88,6985.35,77.6,9169.9
2023-01-31,421.99,5018.38,86.22,7506.95
2023-02-01,435.89,4723.24,85.91,8525.56
2023-02-02,454.36,5841.65,58.01,10185.49
2023-02-03,508.47,5077.52,74.79,7462.56
2023-02-06,437.89,5234.13,54.07,8027.79
2023-02-07,481.76,6821.59,104.82,9716.81
2023-02-08,388.75,3856.73,90.36,8499.92
2023-02-09,436.28,6051.19,77.02,8319.66
2023-02-10,514.45,4623.89,51.42,9446.99
2023-02-13,467.97,5626.48,96.56,9288.41
2023-02-14,359.81,5876.37,68.22,10859.56
2023-02-15,449.12,5743.87,59.77,8855.31
2023-02-16,438.32,4230.67,51.27,9480.91
2023-02-17,391.27,5529.9,104.73,7218.72
2023-02-20,362.67,5961.69,95.46,10180.44
2023-02-21,402.99,7065.79,71.87,8774.3
