date,中国国债收益率10年,中国国债收益率10年-2年
2018-03-23,3.3322,0.294
2018-03-26,2.8201,0.3023
2018-03-27,3.1837,0.5341
2018-03-28,3.191,0.2544
2018-03-29,5.0322,0.7489
2018-03-30,2.9447,0.3023
2018-04-02,3.823,0.8458
2018-04-03,3.4033,0.7006
2018-04-04,3.1541,0.6774
2018-04-05,3.4041,0.2423
2018-04-06,3.3792,0.2499
2018-04-09,3.1841,0.5658
2018-04-10,3.0753,0.0986
2018-04-11,3.0128,0.4386
2018-04-12,3.0072,0.67
2018-04-13,3.3395,0.1766
2018-04-16,3.141,0.8513
2018-04-17,3.682,-0.5987
2018-04-18,3.8898,1.3727
2018-04-19,3.1723,0.6885
2018-04-20,3.0508,0.4506
2018-04-23,3.86,0.7152
2018-04-24,3.1646,0.1752
2018-04-25,3.3051,0.1027
2018-04-26,3.0075,0.7287
2018-04-27,3.2667,0.864
2018-04-30,3.8471,0.4217
2018-05-01,3.6478,0.4253
2018-05-02,2.6538,0.3093
2018-05-03,2.7746,0.4926
2018-05-04,2.9962,0.104
2018-05-07,3.0487,-0.04
2018-05-08,3.5507,0.4939
2018-05-09,2.1351,0.3471
2018-05-10,3.8447,0.9198
2018-05-11,2.6254,0.4377
2018-05-14,3.7189,0.7667
2018-05-15,2.5702,0.415
2018-05-16,3.0973,0.3967
2018-05-17,3.6326,0.2808
2018-05-18,3.218,0.0735
2018-05-21,3.7845,-0.0134
2018-05-22,4.4553,0.7684
2018-05-23,2.9409,0.4281
2018-05-24,2.7129,0.7133
2018-05-25,2.6159,0.568
2018-05-28,2.4479,-0.1031
2018-05-29,3.0637,0.1211
2018-05-30,2.4006,0.4804
2018-05-31,1.8741,0.5658
2018-06-01,2.8756,0.3396
2018-06-04,4.0035,0.7253
2018-06-05,3.3316,1.2942
2018-06-06,2.554,0.8916
2018-06-07,2.7582,0.4959
2018-06-08,3.6009,0.2511
2018-06-11,3.301,0.9091
2018-06-12,2.9915,1.0782
2018-06-13,3.7581,0.5263
2018-06-14,3.3473,0.3782
2018-06-15,3.0024,0.418
2018-06-18,3.1956,0.638
2018-06-19,3.353,0.6268
2018-06-20,3.8359,0.4671
2018-06-21,2.6562,0.3823
2018-06-22,3.1299,0.1182
2018-06-25,3.0515,0.2155
2018-06-26,2.1948,0.5881
2018-06-27,2.861,0.6568
2018-06-28,2.3951,0.8991
2018-06-29,3.2507,0.6622
2018-07-02,3.0976,0.0426
2018-07-03,3.3385,0.5243
2018-07-04,3.3239,0.5902
2018-07-05,2.3883,0.2615
2018-07-06,3.1862,0.7637
2018-07-09,3.4162,0.3456
2018-07-10,3.6594,0.4873
2018-07-11,3.2025,0.6823
2018-07-12,2.8933,-0.0339
2018-07-13,3.3113,1.0895
2018-07-16,3.8589,0.3305
2018-07-17,3.3096,0.3856
2018-07-18,2.3477,0.2961
2018-07-19,3.4402,0.6217
2018-07-20,3.2138,1.011
2018-07-23,3.2004,0.7787
2018-07-24,2.9843,0.934
2018-07-25,3.2123,-0.0093
2018-07-26,3.2422,0.2149
2018-07-27,2.4765,0.4658
2018-07-30,3.5929,0.9982
2018-07-31,3.0462,0.4328
2018-08-01,3.127,0.4388
2018-08-02,2.9972,0.3014
2018-08-03,3.9027,0.4864
2018-08-06,3.7045,0.7745
2018-08-07,3.9279,0.5606
2018-08-08,3.0384,0.6557
2018-08-09,2.5048,-0.1092
2018-08-10,3.0467,0.6959
2018-08-13,3.7533,0.461
2018-08-14,3.8208,0.648
2018-08-15,2.7636,0.7158
2018-08-16,3.8255,0.5526
2018-08-17,2.478,0.2592
2018-08-20,3.1401,0.1632
2018-08-21,3.2448,0.4043
2018-08-22,3.9336,-0.3092
2018-08-23,2.2521,0.3535
2018-08-24,2.4512,0.5444
2018-08-27,2.0369,-0.0344
2018-08-28,2.6834,0.687
2018-08-29,2.1677,0.7002
2018-08-30,3.3726,0.0055
2018-08-31,2.5922,0.3392
2018-09-03,2.8284,0.5719
2018-09-04,4.2082,0.4806
2018-09-05,3.4137,0.5154
2018-09-06,2.8979,0.5429
2018-09-07,3.4428,0.3985
2018-09-10,3.4886,0.4759
2018-09-11,3.7732,1.0064
2018-09-12,2.8065,0.6288
2018-09-13,3.3081,0.689
2018-09-14,3.1729,0.3919
2018-09-17,3.1291,0.691
2018-09-18,2.962,0.6588
2018-09-19,3.5946,0.5343
2018-09-20,3.5521,0.2059
2018-09-21,2.3895,0.0929
2018-09-24,2.821,0.635
2018-09-25,3.1276,0.9909
2018-09-26,3.5813,0.4522
2018-09-27,3.3,0.1567
2018-09-28,3.6175,0.7451
2018-10-01,3.0856,0.6375
2018-10-02,2.9207,0.3293
2018-10-03,3.2803,0.9183
2018-10-04,3.8565,0.1785
2018-10-05,2.8544,0.4819
2018-10-08,2.9874,0.967
2018-10-09,2.8251,0.1362
2018-10-10,3.1308,0.6929
2018-10-11,3.6719,0.6746
2018-10-12,3.1849,-0.0527
2018-10-15,3.0947,0.5635
2018-10-16,2.9921,0.3531
2018-10-17,2.583,0.503
2018-10-18,3.0471,0.2709
2018-10-19,1.7608,0.6212
2018-10-22,3.3043,0.3315
2018-10-23,2.8923,0.5937
2018-10-24,3.4439,0.3508
2018-10-25,3.199,0.6821
2018-10-26,3.1611,-0.1923
2018-10-29,2.7685,0.7266
2018-10-30,3.652,0.7133
2018-10-31,3.6296,0.5491
2018-11-01,2.5426,0.5825
2018-11-02,3.2452,0.362
2018-11-05,3.9505,0.7633
2018-11-06,3.2781,0.7396
2018-11-07,2.715,0.2178
2018-11-08,2.2486,0.2639
2018-11-09,3.8728,0.5523
2018-11-12,2.5213,1.0161
2018-11-13,2.1865,0.5495
2018-11-14,3.7047,0.6063
2018-11-15,3.4705,0.8756
2018-11-16,3.2057,0.6795
2018-11-19,3.3737,0.5044
2018-11-20,3.1312,0.502
2018-11-21,3.429,0.5129
2018-11-22,3.217,-0.0914
2018-11-23,3.2838,0.482
2018-11-26,3.1952,0.2875
2018-11-27,3.4563,0.6101
2018-11-28,2.8424,0.0038
2018-11-29,3.2701,0.9001
2018-11-30,2.3124,0.13
2018-12-03,2.9681,0.6478
2018-12-04,3.7863,0.1808
2018-12-05,3.1261,-0.0532
2018-12-06,2.9052,0.6683
2018-12-07,3.0016,0.5281
2018-12-10,3.5341,0.671
2018-12-11,2.7903,0.0512
2018-12-12,4.0382,0.5316
2018-12-13,3.2171,0.3805
2018-12-14,3.3839,0.7404
2018-12-17,4.2699,0.4265
2018-12-18,4.2038,0.3993
2018-12-19,2.9337,0.2496
2018-12-20,2.8581,0.4996
2018-12-21,3.0297,0.5014
2018-12-24,3.2782,0.2857
2018-12-25,3.78,0.5201
2018-12-26,2.804,0.2578
2018-12-27,3.2034,0.1139
2018-12-28,2.5558,0.9654
2018-12-31,3.907,0.1255
2019-01-01,3.8099,0.5216
2019-01-02,2.0376,0.8408
2019-01-03,3.2938,0.3192
2019-01-04,3.0703,0.6894
2019-01-07,3.2726,0.3265
2019-01-08,3.3164,0.7518
2019-01-09,3.1772,0.3633
2019-01-10,3.428,0.2074
2019-01-11,3.0831,0.832
2019-01-14,3.8461,0.6408
2019-01-15,3.7099,0.1146
2019-01-16,1.9984,0.4936
2019-01-17,3.6957,0.361
2019-01-18,3.2387,1.0041
2019-01-21,2.596,0.0903
2019-01-22,2.9988,1.0151
2019-01-23,3.3781,0.2856
2019-01-24,3.7593,0.8836
2019-01-25,3.8099,0.9579
2019-01-28,2.994,0.5908
2019-01-29,3.0982,0.5589
2019-01-30,3.7682,0.5672
2019-01-31,3.2439,0.3281
2019-02-01,3.002,0.6034
2019-02-04,2.1441,0.4216
2019-02-05,3.4845,0.7394
2019-02-06,3.3613,0.4922
2019-02-07,2.9925,0.6523
2019-02-08,3.1783,0.3351
2019-02-11,2.3925,1.0209
2019-02-12,3.4358,0.8105
2019-02-13,3.8833,0.8951
2019-02-14,3.7363,0.4534
2019-02-15,2.733,0.6111
2019-02-18,2.8218,0.76
2019-02-19,2.91,0.6032
2019-02-20,2.9635,1.0712
2019-02-21,3.4319,0.5433
2019-02-22,3.6344,0.0054
2019-02-25,2.791,0.2751
2019-02-26,2.9407,0.409
2019-02-27,2.5687,0.6705
2019-02-28,4.3917,0.483
2019-03-01,2.6117,0.7699
2019-03-04,3.8819,0.7628
2019-03-05,3.3404,0.1564
2019-03-06,3.3922,0.7859
2019-03-07,3.4536,0.0812
2019-03-08,2.8169,0.3036
2019-03-11,3.6784,0.1465
2019-03-12,2.4238,0.7111
2019-03-13,3.0298,0.5422
2019-03-14,3.8075,0.9188
2019-03-15,3.3114,0.8491
2019-03-18,2.569,0.0679
2019-03-19,2.8341,0.7598
2019-03-20,2.8717,0.5759
2019-03-21,4.0771,0.6161
2019-03-22,3.1844,0.3059
2019-03-25,3.2085,0.1718
2019-03-26,3.5246,0.3792
2019-03-27,3.7657,0.3041
2019-03-28,3.1623,0.5223
2019-03-29,3.3046,0.72
2019-04-01,2.6847,0.1802
2019-04-02,3.2252,0.7034
2019-04-03,2.2598,0.6658
2019-04-04,3.4074,0.7807
2019-04-05,3.5688,0.8208
2019-04-08,2.6963,0.5442
2019-04-09,2.9094,0.2263
2019-04-10,2.8633,0.5007
2019-04-11,2.4075,-0.3133
2019-04-12,3.6628,0.8844
2019-04-15,2.7861,0.6285
2019-04-16,2.4758,0.2784
2019-04-17,2.9389,0.9034
2019-04-18,3.5127,0.9327
2019-04-19,2.8644,0.937
2019-04-22,3.3592,0.5264
2019-04-23,3.1329,0.426
2019-04-24,3.1316,0.0612
2019-04-25,3.2391,0.2323
2019-04-26,3.8048,0.7206
2019-04-29,3.8172,0.733
2019-04-30,3.6337,0.4836
2019-05-01,3.2689,0.441
2019-05-02,2.9707,1.1719
2019-05-03,2.7727,0.5126
2019-05-06,4.1581,0.5251
2019-05-07,3.7091,0.0453
2019-05-08,3.1219,0.652
2019-05-09,3.4461,-0.2355
2019-05-10,3.3747,0.4282
2019-05-13,3.9918,0.8211
2019-05-14,3.9494,0.2803
2019-05-15,2.0876,0.5602
2019-05-16,3.7429,0.3704
2019-05-17,3.05,0.8269
2019-05-20,3.2103,0.7634
2019-05-21,2.6539,0.5444
2019-05-22,2.9213,0.8345
2019-05-23,2.9897,0.6773
2019-05-24,3.4953,1.0962
2019-05-27,2.8028,0.1482
2019-05-28,2.3499,0.7081
2019-05-29,3.1299,0.7042
2019-05-30,2.966,0.8285
2019-05-31,2.9359,0.3782
2019-06-03,3.3535,0.2651
2019-06-04,2.3725,0.6422
2019-06-05,2.2175,0.5039
2019-06-06,3.2608,0.4235
2019-06-07,3.4086,0.7922
2019-06-10,3.667,0.5623
2019-06-11,3.3144,0.8807
2019-06-12,3.8497,0.3668
2019-06-13,2.8948,0.7916
2019-06-14,4.0465,0.5018
2019-06-17,4.0125,0.2777
2019-06-18,3.3353,0.7472
2019-06-19,3.1696,0.1578
2019-06-20,2.8206,0.956
2019-06-21,3.3178,0.7288
2019-06-24,2.9043,0.687
2019-06-25,3.4031,0.7279
2019-06-26,3.8357,0.4806
2019-06-27,3.5357,0.7967
2019-06-28,2.4653,0.6048
2019-07-01,2.5061,0.4398
2019-07-02,3.861,0.5672
2019-07-03,3.4989,0.1623
2019-07-04,3.9073,1.0822
2019-07-05,4.3754,0.0406
2019-07-08,3.215,0.1935
2019-07-09,3.264,0.7852
2019-07-10,2.7353,0.5695
2019-07-11,3.6736,0.7157
2019-07-12,2.4913,0.9466
2019-07-15,2.9457,1.3563
2019-07-16,2.7576,0.0345
2019-07-17,2.2967,0.8575
2019-07-18,2.7949,0.6072
2019-07-19,3.6,0.7744
2019-07-22,3.856,0.4534
2019-07-23,3.7451,0.4805
2019-07-24,3.1652,0.2604
2019-07-25,3.6628,0.6873
2019-07-26,3.1226,0.4147
2019-07-29,3.6471,0.4799
2019-07-30,2.9295,0.3466
2019-07-31,2.7683,0.804
2019-08-01,3.0888,0.4185
2019-08-02,3.6743,0.0049
2019-08-05,4.1232,0.5041
2019-08-06,3.6323,0.5207
2019-08-07,2.0352,0.1706
2019-08-08,3.4029,1.0066
2019-08-09,2.9822,0.4672
2019-08-12,2.9643,0.6457
2019-08-13,3.2401,0.5799
2019-08-14,3.143,0.3019
2019-08-15,3.5746,0.9646
2019-08-16,3.5605,1.1644
2019-08-19,3.0721,0.5731
2019-08-20,2.9254,0.7179
2019-08-21,4.061,0.4144
2019-08-22,3.2796,0.77
2019-08-23,2.5477,0.2774
2019-08-26,3.5306,0.967
2019-08-27,4.2133,0.2194
2019-08-28,3.7818,0.486
2019-08-29,4.1707,0.7662
2019-08-30,2.9434,0.7295
2019-09-02,3.2341,0.6365
2019-09-03,4.4315,1.2326
2019-09-04,3.0113,0.1735
2019-09-05,2.3287,0.1118
2019-09-06,3.9474,0.7781
2019-09-09,2.888,-0.1187
2019-09-10,4.1808,0.4438
2019-09-11,3.9101,0.5012
2019-09-12,2.6167,0.4964
2019-09-13,2.3722,1.0772
2019-09-16,3.4086,0.3633
2019-09-17,2.7378,0.5368
2019-09-18,3.4128,0.3495
2019-09-19,3.8924,0.4124
2019-09-20,2.8929,0.4671
2019-09-23,3.6145,0.6867
2019-09-24,3.6738,0.4282
2019-09-25,2.8397,0.3698
2019-09-26,3.3276,0.6703
2019-09-27,3.0414,0.3722
2019-09-30,3.3745,0.7068
2019-10-01,3.5589,0.8331
2019-10-02,3.0466,0.477
2019-10-03,3.5458,0.3946
2019-10-04,3.2478,0.7186
2019-10-07,3.5431,0.5439
2019-10-08,3.2388,-0.1428
2019-10-09,3.0164,0.4468
2019-10-10,2.224,0.924
2019-10-11,2.4882,0.1391
2019-10-14,2.1408,1.0929
2019-10-15,4.587,0.1625
2019-10-16,3.413,0.2519
2019-10-17,2.7952,0.8644
2019-10-18,2.8501,0.3365
2019-10-21,3.5607,0.937
2019-10-22,3.0649,0.5798
2019-10-23,3.1391,0.3058
2019-10-24,3.8203,0.2359
2019-10-25,2.9401,0.5769
2019-10-28,3.0858,0.3092
2019-10-29,3.0674,0.8609
2019-10-30,3.8461,0.6302
2019-10-31,3.78,0.2475
2019-11-01,3.1988,0.3363
2019-11-04,3.6788,0.548
2019-11-05,2.8971,0.3765
2019-11-06,3.3391,0.6201
2019-11-07,3.3624,0.8447
2019-11-08,3.5169,0.6991
2019-11-11,1.719,0.252
2019-11-12,3.1695,0.3138
2019-11-13,2.7452,0.8204
2019-11-14,3.2457,0.838
2019-11-15,3.2518,0.5375
2019-11-18,3.8088,1.0044
2019-11-19,3.5165,0.2617
2019-11-20,3.5177,0.4208
2019-11-21,3.3509,0.8003
2019-11-22,4.0614,0.3043
2019-11-25,2.8826,0.3931
2019-11-26,3.3634,0.8478
2019-11-27,2.6944,0.3793
2019-11-28,4.0107,0.4827
2019-11-29,2.7184,0.6449
2019-12-02,3.844,0.5304
2019-12-03,2.0025,0.6723
2019-12-04,3.7115,0.7781
2019-12-05,2.4239,1.1572
2019-12-06,3.3376,0.3418
2019-12-09,3.5804,1.3139
2019-12-10,3.15,0.6597
2019-12-11,2.7014,0.3725
2019-12-12,2.2097,0.2626
2019-12-13,2.8278,1.0054
2019-12-16,2.8078,0.4006
2019-12-17,3.7274,0.5985
2019-12-18,2.9358,0.3968
2019-12-19,3.0394,0.2571
2019-12-20,2.7751,0.3132
2019-12-23,2.8363,0.3549
2019-12-24,3.3068,0.8579
2019-12-25,3.7406,0.4964
2019-12-26,2.9899,0.3391
2019-12-27,2.6357,0.0475
2019-12-30,2.5918,0.6308
2019-12-31,2.7235,0.8234
2020-01-01,3.5843,-0.0433
2020-01-02,3.7553,0.2802
2020-01-03,2.311,0.4769
2020-01-06,2.9168,1.0169
2020-01-07,2.5139,1.0279
2020-01-08,2.916,0.068
2020-01-09,3.0788,0.7533
2020-01-10,3.8083,0.6155
2020-01-13,3.7075,0.6007
2020-01-14,2.8127,0.4274
2020-01-15,3.2297,0.3978
2020-01-16,2.457,0.3676
2020-01-17,3.6122,0.3514
2020-01-20,3.3247,0.7835
2020-01-21,3.2371,0.647
2020-01-22,3.2637,0.663
2020-01-23,3.3258,0.4713
2020-01-24,3.144,0.6294
2020-01-27,3.42,0.5546
2020-01-28,3.689,0.9164
2020-01-29,3.4144,0.2171
2020-01-30,3.1177,0.7516
2020-01-31,3.0508,0.485
2020-02-03,3.5446,0.5556
2020-02-04,2.9457,0.7258
2020-02-05,3.1493,0.0492
2020-02-06,3.418,0.6244
2020-02-07,3.4527,0.2654
2020-02-10,4.3835,0.8641
2020-02-11,2.8295,0.5478
2020-02-12,2.3063,0.5095
2020-02-13,3.1238,0.666
2020-02-14,3.5858,0.5475
2020-02-17,3.8491,0.1125
2020-02-18,3.6423,0.1885
2020-02-19,2.8023,0.2081
2020-02-20,3.6164,0.5025
2020-02-21,3.0292,0.6691
2020-02-24,3.5123,0.2894
2020-02-25,3.3724,0.3197
2020-02-26,2.2452,0.9052
2020-02-27,2.562,-0.161
2020-02-28,3.0543,0.2511
2020-03-02,3.3016,0.5415
2020-03-03,2.8827,0.8442
2020-03-04,3.0508,0.3048
2020-03-05,3.337,0.3593
2020-03-06,3.3063,0.5101
2020-03-09,3.8056,0.6976
2020-03-10,2.8624,-0.0892
2020-03-11,2.9807,0.8101
2020-03-12,2.9113,0.6649
2020-03-13,3.3536,0.8578
2020-03-16,2.6807,0.5403
2020-03-17,2.2967,0.5531
2020-03-18,2.983,0.4881
2020-03-19,2.6477,0.865
2020-03-20,3.4108,0.561
2020-03-23,3.6654,0.7064
2020-03-24,2.279,0.5472
2020-03-25,3.3602,0.2693
2020-03-26,3.3158,0.0777
2020-03-27,3.9299,0.0302
2020-03-30,3.6553,0.6312
2020-03-31,2.3564,0.535
2020-04-01,3.7957,0.8217
2020-04-02,3.9833,0.2973
2020-04-03,2.8879,0.4021
2020-04-06,4.1649,0.4845
2020-04-07,2.7063,0.3923
2020-04-08,3.217,0.8086
2020-04-09,2.764,0.2837
2020-04-10,4.1032,0.6306
2020-04-13,3.7931,0.2397
2020-04-14,3.7007,0.5511
2020-04-15,3.1994,0.4909
2020-04-16,3.227,0.1988
2020-04-17,3.6662,0.2487
2020-04-20,3.2365,0.7366
2020-04-21,3.4582,0.7841
2020-04-22,3.6206,0.6758
2020-04-23,3.1451,0.405
2020-04-24,3.4681,0.5252
2020-04-27,3.2285,0.5707
2020-04-28,2.6262,0.3171
2020-04-29,4.2358,0.1258
2020-04-30,3.2189,0.5204
2020-05-01,3.1959,1.6984
2020-05-04,3.0288,-0.0632
2020-05-05,2.8171,0.1186
2020-05-06,2.9033,0.2845
2020-05-07,3.9304,0.6046
2020-05-08,3.6231,0.8406
2020-05-11,3.3228,0.9931
2020-05-12,3.8328,0.6138
2020-05-13,3.3088,0.3393
2020-05-14,3.2065,0.6883
2020-05-15,3.4786,0.3593
2020-05-18,3.5988,0.7469
2020-05-19,2.8832,0.1324
2020-05-20,2.8747,0.712
2020-05-21,3.5894,0.8197
2020-05-22,4.1274,0.4109
2020-05-25,3.3065,0.7151
2020-05-26,2.6382,0.1485
2020-05-27,3.6205,0.7607
2020-05-28,3.1838,0.1957
2020-05-29,3.1708,0.4448
2020-06-01,2.3063,0.4344
2020-06-02,4.1999,0.247
2020-06-03,3.4595,0.2291
2020-06-04,2.5873,0.9146
2020-06-05,2.1482,0.4636
2020-06-08,3.8801,0.4899
2020-06-09,2.8169,0.1676
2020-06-10,2.6202,0.5474
2020-06-11,2.447,0.9824
2020-06-12,2.7582,0.515
2020-06-15,3.3149,0.5647
2020-06-16,3.4867,0.7801
2020-06-17,3.4679,0.5929
2020-06-18,3.4228,0.9733
2020-06-19,3.024,0.2343
2020-06-22,3.3517,0.9674
2020-06-23,3.0018,0.7697
2020-06-24,4.0294,0.3092
2020-06-25,2.9437,0.9692
2020-06-26,3.4984,0.5151
2020-06-29,2.5387,0.1781
2020-06-30,3.654,1.115
2020-07-01,3.2829,0.2435
2020-07-02,3.4082,0.7433
2020-07-03,3.5212,0.3364
2020-07-06,3.3624,0.7666
2020-07-07,3.444,0.241
2020-07-08,3.5028,0.4573
2020-07-09,2.8665,-0.0147
2020-07-10,3.4267,0.7199
2020-07-13,3.2871,0.1709
2020-07-14,2.6166,0.8145
2020-07-15,4.0495,0.7149
2020-07-16,3.2403,0.4705
2020-07-17,3.3761,-0.0762
2020-07-20,3.0747,0.8048
2020-07-21,3.3105,0.4446
2020-07-22,3.4327,0.1837
2020-07-23,3.3803,0.3029
2020-07-24,3.6257,0.3741
2020-07-27,2.2834,0.0106
2020-07-28,4.1978,0.8502
2020-07-29,3.7651,0.3982
2020-07-30,3.2484,0.1379
2020-07-31,3.1061,0.5223
2020-08-03,2.8417,0.3866
2020-08-04,2.4593,0.0574
2020-08-05,3.5434,0.8525
2020-08-06,4.002,0.6895
2020-08-07,2.9131,0.8516
2020-08-10,3.415,0.2647
2020-08-11,1.7529,0.8617
2020-08-12,2.808,0.0369
2020-08-13,3.1822,0.5802
2020-08-14,2.734,0.8615
2020-08-17,3.6481,0.6471
2020-08-18,3.2146,0.5761
2020-08-19,2.4872,0.2576
2020-08-20,3.9374,0.4831
2020-08-21,2.3425,0.5523
2020-08-24,3.9171,0.8462
2020-08-25,3.7386,0.637
2020-08-26,3.5968,1.1155
2020-08-27,3.983,0.2472
2020-08-28,2.6093,-0.2089
2020-08-31,3.1005,0.7737
2020-09-01,3.571,0.6664
2020-09-02,3.3985,0.5439
2020-09-03,4.0629,-0.091
2020-09-04,3.5713,0.3479
2020-09-07,2.8325,0.2353
2020-09-08,2.6753,1.1895
2020-09-09,3.6072,0.8708
2020-09-10,2.8167,0.5508
2020-09-11,3.2057,0.0643
2020-09-14,2.6646,0.6032
2020-09-15,3.568,0.7077
2020-09-16,3.4957,0.6875
2020-09-17,2.3972,0.7246
2020-09-18,2.9075,0.342
2020-09-21,3.0594,0.4847
2020-09-22,3.0745,0.6626
2020-09-23,3.0998,0.8431
2020-09-24,3.1169,0.7623
2020-09-25,2.7212,0.7888
2020-09-28,3.4324,0.7083
2020-09-29,2.7956,0.878
2020-09-30,2.1432,0.5965
2020-10-01,2.8941,0.7565
2020-10-02,3.2437,0.3254
2020-10-05,3.5746,0.4212
2020-10-06,2.5584,0.0181
2020-10-07,3.3206,-0.0105
2020-10-08,3.0305,0.6047
2020-10-09,3.9586,0.9476
2020-10-12,3.1346,0.0789
2020-10-13,3.317,0.4191
2020-10-14,4.0879,1.141
2020-10-15,2.7416,0.4358
2020-10-16,1.6465,0.2226
2020-10-19,2.0166,0.3699
2020-10-20,2.2629,-0.3648
2020-10-21,2.8282,0.7339
2020-10-22,2.4976,0.157
2020-10-23,3.7103,0.4706
2020-10-26,3.1984,0.7264
2020-10-27,3.2603,0.4213
2020-10-28,3.2236,0.5404
2020-10-29,2.3922,0.2717
2020-10-30,4.626,0.5024
2020-11-02,3.8207,0.6409
2020-11-03,3.8083,0.0923
2020-11-04,3.1416,0.6546
2020-11-05,2.7003,0.5632
2020-11-06,2.6667,0.7544
2020-11-09,4.0285,0.439
2020-11-10,3.7526,0.7481
2020-11-11,3.3039,0.0618
2020-11-12,2.7935,0.4242
2020-11-13,3.361,0.6504
2020-11-16,3.4403,0.1274
2020-11-17,2.7983,-0.0493
2020-11-18,2.9057,0.1405
2020-11-19,2.9214,0.275
2020-11-20,2.9213,0.5016
2020-11-23,2.4581,0.2422
2020-11-24,2.5363,0.3946
2020-11-25,4.1202,0.5506
2020-11-26,3.7501,0.4261
2020-11-27,3.26,0.2848
2020-11-30,3.0106,0.7352
2020-12-01,2.8484,0.6114
2020-12-02,2.5047,0.1963
2020-12-03,3.3489,0.5406
2020-12-04,2.7012,0.6587
2020-12-07,3.5896,0.3674
2020-12-08,2.2584,0.4981
2020-12-09,3.1813,0.4748
2020-12-10,3.0351,0.4637
2020-12-11,2.7394,0.806
2020-12-14,3.2844,0.2163
2020-12-15,3.2888,0.6865
2020-12-16,4.5825,0.6163
2020-12-17,3.0077,0.7139
2020-12-18,3.9281,0.2421
2020-12-21,2.9847,0.9534
2020-12-22,3.1193,0.4746
2020-12-23,3.2778,1.2844
2020-12-24,3.2897,0.0849
2020-12-25,2.8531,0.4397
2020-12-28,3.1995,0.4553
2020-12-29,3.1212,0.5102
2020-12-30,4.511,0.755
2020-12-31,3.1061,0.3655
2021-01-01,2.8444,0.9889
2021-01-04,3.341,0.331
2021-01-05,4.2339,0.2111
2021-01-06,3.0427,-0.0005
2021-01-07,3.3196,0.2966
2021-01-08,2.5456,0.1101
2021-01-11,3.6545,0.4857
2021-01-12,3.6207,0.3325
2021-01-13,3.8425,0.8716
2021-01-14,3.5477,0.374
2021-01-15,3.939,0.2637
2021-01-18,3.8712,0.7586
2021-01-19,3.0343,1.0317
2021-01-20,3.4499,0.6558
2021-01-21,2.8749,0.2423
2021-01-22,4.5271,0.5224
2021-01-25,2.8924,0.593
2021-01-26,2.8575,0.829
2021-01-27,3.269,0.9351
2021-01-28,3.8705,0.2888
2021-01-29,2.6795,-0.1526
2021-02-01,2.8674,1.0643
2021-02-02,2.8825,0.3825
2021-02-03,4.0787,0.428
2021-02-04,3.3044,0.732
2021-02-05,3.2635,0.7123
2021-02-08,3.1126,0.6556
2021-02-09,4.4648,0.4753
2021-02-10,2.7743,0.2969
2021-02-11,3.7684,0.3923
2021-02-12,3.6743,0.2731
2021-02-15,2.8288,0.0021
2021-02-16,3.5873,0.6532
2021-02-17,3.6989,0.5835
2021-02-18,2.8753,0.7778
2021-02-19,3.8049,0.2463
2021-02-22,3.0272,0.5975
2021-02-23,2.5977,1.0488
2021-02-24,3.0318,0.7485
2021-02-25,3.4623,1.0084
2021-02-26,2.7278,0.4023
2021-03-01,3.4351,0.9562
2021-03-02,3.4206,0.5657
2021-03-03,2.749,0.581
